Unnamed: 0,NYJ,NYG
First Downs,16,21
Rush-Yds-TDs,25-55-0,39-188-2
Cmp-Att-Yd-TD-INT,21-36-229-1-3,13-25-186-2-1
Sacked-Yards,1-7,0-0
Net Pass Yards,222,186
Total Yards,277,374
Fumbles-Lost,0-0,1-1
Turnovers,3,2
Penalties-Yards,6-40,3-37
Third Down Conv.,9-15,5-12
Fourth Down Conv.,0-1,1-1
Time of Possession,26:15,33:45
