Quarter,Time,Down,ToGo,Location,NYJ,NYG,Detail,EPB,EPA
1,1:28,4,7,NYG 24,7,0,Mike Nugent 42 yard field goal no good,1.870,-1.140
1,1:23,1,10,NYG 33,7,0,Eli Manning up the middle for 6 yards (tackle by Eric Barton),1.140,1.400
1,0:45,2,4,NYG 39,7,0,Eli Manning pass complete short right to Derrick Ward for -4 yards (tackle by David Harris),1.400,0.170
Quarter,Time,Down,ToGo,Location,NYJ,NYG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,8,NYG 35,7,0,Eli Manning right end for 13 yards (tackle by Dewayne Robertson),0.170,2.130
2,14:15,1,10,NYG 48,7,0,Brandon Jacobs left end for 9 yards (tackle by Kerry Rhodes),2.130,2.800
2,13:50,2,1,NYJ 43,7,0,Brandon Jacobs right guard for 6 yards (tackle by Kenyon Coleman),2.800,3.120
2,13:06,1,10,NYJ 37,7,0,Eli Manning pass complete short middle to Jeremy Shockey for 20 yards (tackle by Eric Smith),3.120,4.440
2,12:26,1,10,NYJ 17,7,0,Brandon Jacobs right guard for 6 yards (tackle by Kerry Rhodes and Eric Smith),4.440,4.890
2,11:45,2,4,NYJ 11,7,0,Derrick Ward up the middle for 3 yards (tackle by Bryan Thomas),4.890,4.800
2,11:06,3,1,NYJ 8,7,6,"Derrick Ward left guard for 8 yards, touchdown",4.800,7.000
2,,,,NYJ 2,7,7,Lawrence Tynes kicks extra point good,0.000,0.000
2,,,,NYG 30,7,7,"Lawrence Tynes kicks off 76 yards, touchback",0.000,0.280
2,10:54,1,10,NYJ 20,7,7,Thomas Jones right tackle for 4 yards (tackle by Antonio Pierce and Kevin Dockery),0.280,0.270
2,10:22,2,6,NYJ 24,7,7,Thomas Jones right guard for -2 yards (tackle by Barry Cofield),0.270,-0.690
2,9:37,3,8,NYJ 22,7,7,Chad Pennington pass complete short left to Jerricho Cotchery for 9 yards (tackle by Osi Umenyiora),-0.690,1.000
2,9:15,1,10,NYJ 31,7,7,"Penalty on Chad Pennington: False Start, 5 yards (no play)",1.000,0.670
2,9:02,1,15,NYJ 26,7,7,Thomas Jones left end for 1 yard (tackle by Kawika Mitchell),0.670,-0.080
2,8:31,2,14,NYJ 27,7,7,Thomas Jones up the middle for 2 yards (tackle by Mathias Kiwanuka),-0.080,-0.490
2,7:44,3,12,NYJ 29,7,7,Chad Pennington pass complete deep right to Laveranues Coles for 28 yards (tackle by Gibril Wilson),-0.490,2.720
,,,,,,,"NYG challenged the pass completion ruling, and the play was upheld.",,
2,7:44,1,10,NYG 43,7,7,Leon Washington left end for 2 yards (tackle by Osi Umenyiora),2.720,2.450
2,7:07,2,8,NYG 41,7,7,Thomas Jones left tackle for 7 yards (tackle by Kawika Mitchell and Antonio Pierce),2.450,2.680
2,6:33,3,1,NYG 34,7,7,Chad Pennington up the middle for 2 yards (tackle by Antonio Pierce and Mathias Kiwanuka),2.680,3.450
2,5:56,1,10,NYG 32,7,7,Leon Washington right end for -5 yards (tackle by Justin Tuck),3.450,2.230
2,5:13,2,15,NYG 37,7,7,Chad Pennington pass incomplete short left intended for Jerricho Cotchery is intercepted by Sam Madison at NYG-31 and returned for 25 yards (tackle by Chris Baker),2.230,-2.650
2,4:52,1,10,NYJ 44,7,7,Eli Manning pass incomplete short right intended for Jeremy Shockey,2.650,2.110
2,4:47,2,10,NYJ 44,7,7,Derrick Ward up the middle for 8 yards (tackle by Eric Barton and Victor Hobson),2.110,2.480
2,4:10,3,2,NYJ 36,7,7,Derrick Ward left tackle for 6 yards (tackle by Victor Hobson and Kerry Rhodes),2.480,3.580
2,3:26,1,10,NYJ 30,7,7,Eli Manning pass incomplete short left intended for Plaxico Burress,3.580,3.030
2,3:18,2,10,NYJ 30,7,7,Brandon Jacobs left tackle for 2 yards (tackle by Victor Hobson and Kenyon Coleman),3.030,2.610
2,2:40,3,8,NYJ 28,7,7,"Eli Manning pass incomplete. Penalty on Eli Manning: Intentional Grounding, 12 yards",2.610,0.590
2,2:29,4,20,NYJ 40,7,7,Jeff Feagles punts 33 yards,0.590,0.380
2,2:19,1,10,NYJ 7,7,7,"Leon Washington right tackle for 6 yards (tackle by Sam Madison and James Butler). Penalty on Mathias Kiwanuka: Face Mask (15 Yards), 15 yards",-0.380,0.810
2,2:00,1,10,NYJ 28,7,7,Chad Pennington pass complete short right to Jerricho Cotchery for 6 yards (tackle by Antonio Pierce),0.810,1.070
2,1:49,2,4,NYJ 34,7,7,Chad Pennington pass incomplete short left intended for Leon Washington,1.070,0.370
2,1:47,3,4,NYJ 34,7,7,Chad Pennington pass complete deep left to Laveranues Coles for 21 yards (tackle by James Butler),0.370,2.590
2,1:38,,,,7,7,Timeout #1 by New York Jets,0.000,2.590
2,1:38,1,10,NYG 45,7,7,Leon Washington right guard for 2 yards (tackle by Justin Tuck and Kawika Mitchell),2.590,2.310
2,1:17,2,8,NYG 43,7,7,Chad Pennington pass complete short middle to Brad Smith for 11 yards (tackle by Kawika Mitchell),2.310,3.450
2,1:09,,,,7,7,Timeout #2 by New York Jets,0.000,3.450
2,1:09,1,10,NYG 32,7,7,Chad Pennington pass complete short right to Jerricho Cotchery for 8 yards (tackle by Antonio Pierce),3.450,3.980
2,0:46,2,2,NYG 24,7,7,Chad Pennington pass complete short left to Jerricho Cotchery for 8 yards (tackle by Sam Madison),3.980,4.510
2,0:40,1,10,NYG 16,13,7,"Chad Pennington pass complete deep right to Brad Smith for 16 yards, touchdown",4.510,7.000
2,,,,NYG 2,14,7,Mike Nugent kicks extra point good,0.000,0.000
2,,,,NYJ 30,14,7,"Mike Nugent kicks off 69 yards, returned by Reuben Droughns for 20 yards (tackle by David Harris)",0.000,0.340
2,0:28,1,10,NYG 21,14,7,Eli Manning pass incomplete short middle intended for Amani Toomer is intercepted by Jonathan Vilma at NYG-28 and returned for 1 yard (tackle by Amani Toomer),0.340,-3.780
2,0:23,1,10,NYG 27,14,7,Leon Washington right tackle for -2 yards (tackle by Justin Tuck),3.780,2.960
2,0:04,,,,14,7,Timeout #3 by New York Jets,0.000,2.960
2,0:04,2,12,NYG 29,17,7,Mike Nugent 47 yard field goal good,2.960,3.000
Quarter,Time,Down,ToGo,Location,NYJ,NYG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYJ 30,17,7,"Mike Nugent kicks off 70 yards, touchback",0.000,0.280
3,15:00,1,10,NYG 20,17,7,Brandon Jacobs right tackle for 7 yards (tackle by Eric Hicks),0.280,0.680
3,14:27,2,3,NYG 27,17,7,Brandon Jacobs right end for 8 yards (tackle by Kerry Rhodes and Eric Smith),0.680,1.270
3,13:43,1,10,NYG 35,17,7,Eli Manning pass complete deep middle to Plaxico Burress for 33 yards (tackle by Kerry Rhodes),1.270,3.450
3,12:55,1,10,NYJ 32,17,7,Derrick Ward right tackle for 9 yards (tackle by Darrelle Revis),3.450,4.120
3,12:15,2,1,NYJ 23,17,7,Derrick Ward left guard for 4 yards (tackle by Eric Barton and Kerry Rhodes),4.120,4.310
3,11:29,1,10,NYJ 19,17,13,"Brandon Jacobs right end for 19 yards, touchdown",4.310,7.000
3,,,,NYJ 2,17,14,Lawrence Tynes kicks extra point good,0.000,0.000
3,,,,NYG 30,23,14,"Lawrence Tynes kicks off 68 yards, returned by Leon Washington for 98 yards, touchdown",0.000,7.000
3,,,,NYG 2,24,14,Mike Nugent kicks extra point good,0.000,0.000
3,,,,NYJ 30,24,14,"Mike Nugent kicks off 64 yards, returned by Reuben Droughns for 23 yards (tackle by Wallace Wright)",0.000,0.870
3,10:58,1,10,NYG 29,24,14,Eli Manning pass complete short middle to Derrick Ward for 6 yards (tackle by Victor Hobson),0.870,1.140
3,10:21,2,4,NYG 35,24,14,Derrick Ward right end for 1 yard (tackle by Shaun Ellis and Victor Hobson),1.140,0.560
3,9:38,3,3,NYG 36,24,14,Brandon Jacobs left tackle for 8 yards (tackle by Jonathan Vilma and Eric Smith),0.560,1.860
3,8:54,1,10,NYG 44,24,14,Brandon Jacobs right tackle for 3 yards (tackle by Bryan Thomas),1.860,1.720
3,8:11,2,7,NYG 47,24,14,Brandon Jacobs right tackle for 3 yards (tackle by Kenyon Coleman),1.720,1.420
3,7:29,3,4,,24,14,Eli Manning pass incomplete deep left intended for Amani Toomer,1.420,-0.060
3,7:14,4,4,,24,14,"Jeff Feagles punts 50 yards, touchback",-0.060,-0.280
3,7:05,1,10,NYJ 20,24,14,Thomas Jones left end for -2 yards (tackle by Mathias Kiwanuka),0.280,-0.630
3,6:52,2,12,NYJ 18,24,14,Chad Pennington pass complete short left to Laveranues Coles for 1 yard (tackle by Gibril Wilson),-0.630,-1.140
3,6:30,3,11,NYJ 19,24,14,Chad Pennington for no gain,-1.140,-1.700
3,5:55,4,5,NYJ 25,24,14,"Ben Graham punts 54 yards, returned by R.W. McQuarters for 11 yards (tackle by Rashad Washington)",-1.700,-1.070
3,5:39,1,10,NYG 32,24,14,Eli Manning pass incomplete short middle intended for Brandon Jacobs,1.070,0.530
3,5:32,2,10,NYG 32,24,14,Eli Manning pass complete short left to Plaxico Burress for 6 yards (tackle by David Barrett),0.530,0.630
3,4:56,3,4,NYG 38,24,14,"Eli Manning pass incomplete deep left intended for Plaxico Burress. Penalty on Jonathan Vilma: Defensive Offside, 5 yards (no play)",0.630,1.800
3,4:44,1,10,NYG 43,24,14,Brandon Jacobs right end for 1 yard (tackle by Dewayne Robertson and Eric Barton),1.800,1.390
3,4:08,2,9,NYG 44,24,14,Eli Manning pass complete deep middle to Plaxico Burress for 17 yards (tackle by Darrelle Revis),1.390,2.980
3,3:24,1,10,NYJ 39,24,14,Eli Manning pass complete short left to Plaxico Burress for 15 yards (tackle by David Barrett),2.980,3.970
3,2:52,1,10,NYJ 24,24,14,Derrick Ward right tackle for 2 yards (tackle by David Harris),3.970,3.700
3,2:12,2,8,NYJ 22,24,14,Eli Manning pass complete short right to Sinorice Moss for 10 yards (tackle by Andre Dyson),3.700,4.780
3,1:26,1,10,NYJ 12,24,14,Brandon Jacobs left end for -1 yards (tackle by Kerry Rhodes),4.780,3.940
3,0:42,2,11,NYJ 13,24,20,"Eli Manning pass complete short middle to Jeremy Shockey for 13 yards, touchdown",3.940,7.000
3,,,,NYJ 2,24,21,Lawrence Tynes kicks extra point good,0.000,0.000
3,,,,NYG 30,24,21,"Lawrence Tynes kicks off 64 yards, returned by Brad Smith for 27 yards (tackle by Reuben Droughns)",0.000,1.140
3,0:28,1,10,NYJ 33,24,21,Chad Pennington pass complete short left to Laveranues Coles for 11 yards (tackle by Gibril Wilson),1.140,1.860
Quarter,Time,Down,ToGo,Location,NYJ,NYG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,NYJ 44,24,21,Thomas Jones left guard for 4 yards (tackle by Osi Umenyiora),1.860,1.860
4,14:25,2,6,NYJ 48,24,21,Chad Pennington pass complete short left to Chris Baker for 17 yards (tackle by Gibril Wilson),1.860,3.250
4,14:02,1,10,NYG 35,24,21,Leon Washington left end for -3 yards (tackle by Sam Madison),3.250,2.300
4,13:21,2,13,NYG 38,24,21,Chad Pennington pass incomplete deep left intended for Laveranues Coles,2.300,1.620
4,13:12,3,13,NYG 38,24,21,Chad Pennington pass complete short middle to Laveranues Coles for 15 yards (tackle by James Butler),1.620,4.040
4,12:36,1,10,NYG 23,24,21,Chad Pennington pass incomplete deep right intended for Jerricho Cotchery is intercepted by Aaron Ross at NYG-2,4.040,0.380
,,,,,,,"NYG challenged the touchback ruling, and the play was upheld.",,
4,12:23,1,10,NYG 2,24,21,Brandon Jacobs up the middle for 1 yard (tackle by Kenyon Coleman),-0.380,-0.710
4,11:37,2,9,NYG 3,24,21,"Eli Manning pass incomplete deep left intended for Plaxico Burress. Penalty on Andre Dyson: Illegal Contact, 5 yards (no play)",-0.710,-0.380
4,11:28,1,10,NYG 8,24,21,Brandon Jacobs right tackle for 3 yards (tackle by Shaun Ellis),-0.380,-0.560
4,10:45,2,7,NYG 11,24,21,Eli Manning pass complete short middle to Derrick Ward for 6 yards (tackle by Jonathan Vilma),-0.560,-0.370
4,10:06,3,1,NYG 17,24,21,Derrick Ward left guard for 5 yards (tackle by Kenyon Coleman and Eric Smith),-0.370,0.410
4,9:23,1,10,NYG 22,24,21,Eli Manning pass incomplete deep middle intended for Michael Matthews,0.410,-0.130
4,9:11,2,10,NYG 22,24,21,"Derrick Ward left end for 5 yards (tackle by David Harris). Penalty on David Harris: Unnecessary Roughness, 15 yards",-0.130,1.730
4,8:52,1,10,NYG 42,24,21,Eli Manning pass complete short left to Madison Hedgecock for 5 yards (tackle by Victor Hobson),1.730,1.860
4,8:07,2,5,NYG 47,24,27,"Eli Manning pass complete short left to Plaxico Burress for 53 yards, touchdown",1.860,7.000
4,,,,NYJ 2,24,28,Lawrence Tynes kicks extra point good,0.000,0.000
4,,,,NYG 30,24,28,"Lawrence Tynes kicks off 64 yards, returned by Leon Washington for 32 yards (tackle by R.W. McQuarters)",0.000,1.470
4,7:46,1,10,NYJ 38,24,28,Chad Pennington pass complete short middle to Chris Baker for 18 yards (tackle by Aaron Ross),1.470,2.650
4,7:22,1,10,NYG 44,24,28,Leon Washington right guard for 2 yards (tackle by Antonio Pierce),2.650,2.380
4,7:01,2,8,NYG 42,24,28,Chad Pennington pass incomplete deep right intended for Brad Smith,2.380,1.690
4,6:48,3,8,NYG 42,24,28,Chad Pennington pass incomplete short right intended for Chris Baker (defended by Kevin Dockery),1.690,0.460
4,6:43,4,8,NYG 42,24,28,"Ben Graham punts 32 yards, fair catch by R.W. McQuarters",0.460,0.380
4,6:34,1,10,NYG 10,24,28,Brandon Jacobs left end for 10 yards (tackle by Jonathan Vilma and Eric Barton),-0.380,0.280
4,5:53,1,10,NYG 20,24,28,Eli Manning pass incomplete short right intended for Michael Matthews,0.280,-0.270
4,5:45,2,10,NYG 20,24,28,Brandon Jacobs right guard for 3 yards (tackle by Eric Barton and Shaun Ellis),-0.270,-0.560
4,4:58,,,,24,28,Timeout #2 by New York Giants,0.000,-0.560
4,4:58,3,7,NYG 23,24,28,Eli Manning pass incomplete short middle intended for Jeremy Shockey (defended by Andre Dyson),-0.560,-1.830
4,4:53,4,7,NYG 23,24,28,"Jeff Feagles punts 60 yards, returned by Leon Washington for 6 yards (tackle by Chase Blackburn)",-1.830,-0.480
4,4:40,1,10,NYJ 23,24,28,"Chad Pennington pass incomplete deep middle intended for Laveranues Coles. Penalty on NYJ: Illegal Formation, 5 yards (no play)",0.480,0.000
4,4:34,1,15,NYJ 18,24,28,Chad Pennington pass complete short right to Leon Washington for -1 yards (tackle by Kawika Mitchell),0.000,-1.010
4,4:08,2,16,NYJ 17,24,28,Chad Pennington pass incomplete deep left intended for Laveranues Coles (defended by James Butler),-1.010,-1.760
4,4:00,3,16,NYJ 17,24,28,Chad Pennington pass complete deep middle to Brad Smith for 17 yards (tackle by James Butler),-1.760,1.200
4,3:33,1,10,NYJ 34,24,28,Chad Pennington pass complete short left to Laveranues Coles for 5 yards (tackle by Sam Madison),1.200,1.330
4,3:28,2,5,NYJ 39,24,34,"Chad Pennington pass incomplete short right intended for Jerricho Cotchery is intercepted by Aaron Ross at NYJ-43 and returned for 43 yards, touchdown",1.330,-7.000
4,,,,NYJ 2,24,35,Lawrence Tynes kicks extra point good,0.000,0.000
4,,,,NYG 30,24,35,"Lawrence Tynes kicks off 52 yards, returned by Sean Ryan for 18 yards (tackle by Chase Blackburn)",0.000,1.330
4,3:06,1,10,NYJ 36,24,35,Chad Pennington pass incomplete short left intended for Jerricho Cotchery (defended by Aaron Ross),1.330,0.790
4,3:00,2,10,NYJ 36,24,35,Chad Pennington sacked by Osi Umenyiora for -7 yards,0.790,-0.820
4,2:44,3,17,NYJ 29,24,35,Chad Pennington pass complete short left to Laveranues Coles for 4 yards (tackle by Gibril Wilson),-0.820,-1.180
4,2:10,4,13,NYJ 33,24,35,Chad Pennington pass incomplete short middle intended for Jerricho Cotchery (defended by Antonio Pierce),-1.180,-3.380
4,2:03,1,10,NYJ 33,24,35,Brandon Jacobs right tackle for 2 yards (tackle by Dewayne Robertson),3.380,3.110
4,1:57,2,8,NYJ 31,24,35,Brandon Jacobs left guard for 7 yards (tackle by Eric Smith),3.110,3.340
4,1:50,,,,24,35,Timeout #1 by New York Jets,0.000,3.340
4,1:50,3,1,NYJ 24,24,35,"Brandon Jacobs left end for 24 yards. Penalty on David Diehl: Offensive Holding, 10 yards (no play)",3.340,2.010
4,1:43,3,11,NYJ 34,24,35,Reuben Droughns up the middle for 2 yards (tackle by Jonathan Vilma and David Harris),2.010,1.240
4,1:36,,,,24,35,Timeout #2 by New York Jets,0.000,1.240
4,1:36,4,9,NYJ 32,24,35,Reuben Droughns right tackle for 13 yards (tackle by Kerry Rhodes),1.240,4.310
4,0:55,1,10,NYJ 19,24,35,Eli Manning kneels for -1 yards,4.310,3.630
4,0:26,2,11,NYJ 20,24,35,Eli Manning kneels for -1 yards,3.630,2.810
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
