Unnamed: 0,DEN,KAN
First Downs,14,22
Rush-Yds-TDs,23-115-0,27-96-0
Cmp-Att-Yd-TD-INT,13-22-95-1-2,30-41-306-1-1
Sacked-Yards,4-13,2-13
Net Pass Yards,82,293
Total Yards,197,389
Fumbles-Lost,1-1,2-0
Turnovers,3,1
Penalties-Yards,3-34,7-84
Third Down Conv.,4-10,4-13
Fourth Down Conv.,0-1,0-1
Time of Possession,24:11,35:49
