Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Javonte Williams,DEN,10,52,0,4,32,3.2,20,2.0,0,
Jaleel McLaughlin,DEN,7,30,0,,20,2.9,10,1.4,0,
Russell Wilson,DEN,4,31,0,3,25,6.3,6,1.5,0,
Michael Burton,DEN,2,2,0,1,1,0.5,1,0.5,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Isiah Pacheco,KAN,16,62,0,4,47,2.9,15,0.9,0,
Patrick Mahomes,KAN,6,31,0,2,31,5.2,0,0.0,0,
Clyde Edwards-Helaire,KAN,2,7,0,0,5,2.5,2,1.0,1,2.0
Kadarius Toney,KAN,2,-5,0,0,-5,-2.5,0,0.0,0,
Noah Gray,KAN,1,1,0,0,1,1.0,0,0.0,0,
