Quarter,Time,Tm,Detail,GNB,ATL
1.0,10:09,Packers,Samkon Gado 9 yard rush (Ryan Longwell kick),7,0
,7:50,Packers,Samkon Gado 1 yard pass from Brett Favre (Ryan Longwell kick),14,0
2.0,12:18,Falcons,Warrick Dunn 21 yard pass from Michael Vick (Todd Peterson kick),14,7
,9:28,Falcons,Michael Vick 1 yard rush (Todd Peterson kick),14,14
,0:40,Packers,Ryan Longwell 46 yard field goal,17,14
3.0,9:52,Packers,Ryan Longwell 23 yard field goal,20,14
,1:51,Packers,Ryan Longwell 53 yard field goal,23,14
4.0,10:08,Falcons,Todd Peterson 37 yard field goal,23,17
,4:01,Packers,Ryan Longwell 51 yard field goal,26,17
,3:34,Packers,Samkon Gado 2 yard rush (Ryan Longwell kick),33,17
,1:43,Falcons,Roddy White 19 yard pass from Michael Vick (Brian Finneran pass from Michael Vick),33,25
