Unnamed: 0,GNB,ATL
First Downs,25,19
Rush-Yds-TDs,29-107-2,29-129-1
Cmp-Att-Yd-TD-INT,27-40-256-1-1,20-30-209-2-0
Sacked-Yards,1-12,3-17
Net Pass Yards,244,192
Total Yards,351,321
Fumbles-Lost,2-0,6-3
Turnovers,1,3
Penalties-Yards,4-58,8-58
Third Down Conv.,5-13,4-11
Fourth Down Conv.,0-1,1-1
Time of Possession,32:56,27:04
