Unnamed: 0,ARI,SFO
First Downs,23,30
Rush-Yds-TDs,25-105-0,31-124-4
Cmp-Att-Yd-TD-INT,28-41-265-2-0,20-21-283-1-0
Sacked-Yards,1-8,1-12
Net Pass Yards,257,271
Total Yards,362,395
Fumbles-Lost,1-0,0-0
Turnovers,0,0
Penalties-Yards,9-55,4-21
Third Down Conv.,8-15,3-5
Fourth Down Conv.,2-3,1-1
Time of Possession,30:46,29:14
