Unnamed: 0,SFO,GNB
First Downs,18,26
Rush-Yds-TDs,30-174-1,21-116-1
Cmp-Att-Yd-TD-INT,16-23-245-2-1,25-46-425-2-0
Sacked-Yards,2-18,3-20
Net Pass Yards,227,405
Total Yards,401,521
Fumbles-Lost,2-2,0-0
Turnovers,3,0
Penalties-Yards,2-10,6-54
Third Down Conv.,2-9,4-13
Fourth Down Conv.,0-0,1-2
Time of Possession,28:52,31:08
