Quarter,Time,Tm,Detail,SFO,GNB
1.0,10:59,49ers,Matt Breida 3 yard rush (Robbie Gould kick),7,0
,9:17,Packers,Ty Montgomery 2 yard rush (Mason Crosby kick),7,7
,7:39,Packers,Mason Crosby 29 yard field goal,7,10
,1:58,Packers,Davante Adams 9 yard pass from Aaron Rodgers (Mason Crosby kick),7,17
,0:27,49ers,Marquise Goodwin 67 yard pass from C.J. Beathard (Robbie Gould kick),14,17
2.0,7:34,Packers,Mason Crosby 39 yard field goal,14,20
,6:05,49ers,Marquise Goodwin 30 yard pass from C.J. Beathard (Robbie Gould kick),21,20
,0:00,49ers,Robbie Gould 46 yard field goal,24,20
3.0,11:17,Packers,Mason Crosby 51 yard field goal,24,23
,6:59,49ers,Robbie Gould 44 yard field goal,27,23
4.0,13:08,49ers,Robbie Gould 43 yard field goal,30,23
,1:55,Packers,Davante Adams 16 yard pass from Aaron Rodgers (Mason Crosby kick),30,30
,0:00,Packers,Mason Crosby 27 yard field goal,30,33
