Quarter,Time,Down,ToGo,Location,KAN,GNB,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss and deferred, Packers to receive the opening kickoff.",,
1,15:00,,,KAN 35,0,0,"Cairo Santos kicks off 70 yards, returned by Ty Montgomery for 36 yards (tackle by Jamell Fleming)",0.000,-1.000
1,14:53,1,10,GNB 31,0,0,Aaron Rodgers pass incomplete short left intended for Davante Adams,1.000,0.460
1,14:50,2,10,GNB 31,0,0,Eddie Lacy right tackle for 5 yards (tackle by Phillip Gaines),0.460,0.430
1,14:07,3,5,GNB 36,0,0,Aaron Rodgers pass incomplete deep left intended for Davante Adams,0.430,-0.980
1,14:01,4,5,GNB 36,0,0,"Tim Masthay punts 40 yards, returned by De'Anthony Thomas for no gain",-0.980,-0.540
1,13:53,1,10,KAN 24,0,0,Jamaal Charles middle for 2 yards (tackle by B.J. Raji and Ha Ha Clinton-Dix),0.540,0.270
1,13:17,2,8,KAN 26,0,0,Alex Smith right end for 5 yards (tackle by Ha Ha Clinton-Dix),0.270,0.230
1,12:34,3,3,KAN 31,0,0,Alex Smith pass incomplete short middle intended for Jeremy Maclin (defended by Casey Hayward),0.230,-1.310
1,12:30,4,3,KAN 31,0,0,"Dustin Colquitt punts 45 yards, returned by Micah Hyde for 7 yards (tackle by D.J. Alexander)",-1.310,-1.000
1,12:20,1,10,GNB 31,0,0,Aaron Rodgers pass incomplete deep left intended for Jeff Janis,1.000,0.460
1,12:15,2,10,GNB 31,0,0,Randall Cobb for 12 yards (tackle by Ron Parker),0.460,1.800
1,11:46,1,10,GNB 43,0,0,James Starks left end for 11 yards (tackle by Eric Berry),1.800,2.520
1,11:13,1,10,KAN 46,0,0,Aaron Rodgers pass complete short right to James Jones for 12 yards (tackle by Phillip Gaines),2.520,3.310
1,10:40,1,10,KAN 34,0,0,Aaron Rodgers pass complete short left to Eddie Lacy for 26 yards (tackle by Derrick Johnson),3.310,5.370
1,9:44,1,8,KAN 8,0,6,"Aaron Rodgers pass complete short left to Ty Montgomery for 8 yards, touchdown",5.370,7.000
1,9:44,,,KAN 8,0,7,Mason Crosby kicks extra point good,0.000,0.000
1,9:44,,,GNB 35,0,7,"Mason Crosby kicks off 67 yards, returned by Knile Davis for 54 yards (tackle by Jayrone Elliott)",0.000,-2.390
1,9:36,1,10,GNB 48,0,7,Jamaal Charles right tackle for no gain (tackle by Nate Palmer and Mike Pennel),2.390,1.850
1,9:03,2,10,GNB 48,0,7,Jamaal Charles right end for -3 yards (tackle by Mike Daniels),1.850,0.760
1,8:21,3,13,KAN 49,0,7,Alex Smith pass incomplete short left intended for Jeremy Maclin (defended by Chris Banjo),0.760,-0.130
1,8:16,4,13,KAN 49,0,7,"Dustin Colquitt punts 40 yards, fair catch by Micah Hyde",-0.130,0.370
1,8:09,1,10,GNB 11,0,7,Eddie Lacy middle for 4 yards (tackle by Dontari Poe and Josh Mauga),-0.370,-0.430
1,7:33,2,6,GNB 15,0,7,"Aaron Rodgers pass incomplete short middle intended for Ty Montgomery. Penalty on Marcus Cooper: Defensive Holding, 5 yards (no play)",-0.430,0.280
1,7:29,1,10,GNB 20,0,7,Eddie Lacy left tackle for 9 yards (tackle by Derrick Johnson and Eric Berry),0.280,0.950
1,6:52,2,1,GNB 29,0,7,James Starks right end for no gain (tackle by Jaye Howard),0.950,0.230
1,6:26,3,1,GNB 29,0,7,"Aaron Rodgers pass incomplete deep middle intended for Randall Cobb. Penalty on Jaye Howard: Defensive 12 On-field, 5 yards (no play)",0.230,1.200
1,6:21,1,10,GNB 34,0,7,"Aaron Rodgers pass complete short right to James Jones for 7 yards (tackle by Marcus Peters). Penalty on Eric Berry: Illegal Contact, 5 yards (no play)",1.200,1.530
1,6:02,1,10,GNB 39,0,7,James Starks left tackle for 8 yards (tackle by Derrick Johnson),1.530,2.070
1,5:27,2,2,GNB 47,0,7,James Starks left tackle for 4 yards (tackle by Josh Mauga),2.070,2.320
1,4:57,1,10,KAN 49,0,7,Aaron Rodgers pass complete short middle to James Starks for 19 yards (tackle by Ron Parker),2.320,3.580
1,4:11,1,10,KAN 30,0,7,Aaron Rodgers pass complete short right to Ty Montgomery for 6 yards (tackle by Marcus Peters),3.580,3.840
1,3:37,2,4,KAN 24,0,7,Alonzo Harris left tackle for 16 yards (tackle by Eric Berry),3.840,5.370
1,2:51,1,8,KAN 8,0,7,Aaron Rodgers middle for 5 yards (tackle by Tamba Hali),5.370,5.530
1,2:23,2,3,KAN 3,0,13,"Aaron Rodgers pass complete short right to Randall Cobb for 3 yards, touchdown",5.530,7.000
1,2:23,,,KAN 3,0,14,Mason Crosby kicks extra point good,0.000,0.000
1,2:23,,,GNB 35,0,14,"Mason Crosby kicks off 65 yards, touchback",0.000,-0.280
1,2:18,1,10,KAN 20,0,14,Alex Smith pass complete short left to Jamaal Charles for 1 yard (tackle by Nate Palmer),0.280,-0.130
1,1:42,2,9,KAN 21,0,14,Alex Smith pass incomplete short middle intended for Demetrius Harris,-0.130,-0.820
1,1:38,3,9,KAN 21,0,14,Alex Smith sacked by Joe Thomas for -2 yards,-0.820,-2.140
1,1:00,4,11,KAN 19,0,14,"Dustin Colquitt punts 50 yards, returned by Micah Hyde for 13 yards (tackle by Charcandrick West)",-2.140,-1.860
1,0:48,1,10,GNB 44,0,14,Eddie Lacy left end for 2 yards (tackle by Mike DeVito and Jaye Howard),1.860,1.590
1,0:12,2,8,GNB 46,0,14,"Aaron Rodgers for 6 yards (tackle by Derrick Johnson). Penalty on David Bakhtiari: Offensive Holding, 10 yards (no play)",1.590,0.240
Quarter,Time,Down,ToGo,Location,KAN,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,18,GNB 36,0,14,Aaron Rodgers pass complete deep right to James Jones for 20 yards (tackle by Tyvon Branch),0.240,2.650
2,14:29,1,10,KAN 44,0,14,James Starks right end for -2 yards (tackle by Justin Houston),2.650,1.840
2,13:53,2,12,KAN 46,0,14,Aaron Rodgers pass complete short right to Richard Rodgers for 7 yards (tackle by Ron Parker),1.840,1.840
2,13:16,2,12,KAN 46,0,14,Timeout #1 by Kansas City Chiefs,1.840,2.080
2,13:16,3,5,KAN 39,0,14,Aaron Rodgers pass incomplete short right intended for Richard Rodgers,2.080,0.660
2,13:08,4,5,KAN 39,0,14,Aaron Rodgers pass incomplete short left intended for Randall Cobb,0.660,-1.530
2,13:08,1,10,KAN 39,0,14,"Alex Smith pass complete short left to Jamaal Charles for 6 yards (tackle by Ha Ha Clinton-Dix). Penalty on Jayrone Elliott: Illegal Contact, 5 yards (no play)",1.530,1.860
2,12:52,1,10,KAN 44,0,14,"Alex Smith pass complete deep left to Travis Kelce for 38 yards (tackle by Sam Shields). Penalty on Casey Hayward: Unsportsmanlike Conduct, 9 yards",1.860,5.140
2,12:14,1,9,GNB 9,0,14,Alex Smith pass incomplete short middle intended for Travis Kelce,5.140,4.380
2,12:08,2,9,GNB 9,6,14,"Jamaal Charles left tackle for 9 yards, touchdown",4.380,7.000
2,12:08,,,GNB 9,7,14,Cairo Santos kicks extra point good,0.000,0.000
2,12:08,,,KAN 35,7,14,"Cairo Santos kicks off 70 yards, returned by Ty Montgomery for 28 yards (tackle by Anthony Sherman)",0.000,-0.480
2,11:57,1,10,GNB 23,7,14,Aaron Rodgers pass complete short middle to Andrew Quarless for 7 yards (tackle by Tyvon Branch and Jaye Howard),0.480,0.880
2,11:29,2,3,GNB 30,7,14,Aaron Rodgers pass complete short middle to Randall Cobb for 27 yards (tackle by Eric Berry),0.880,2.720
2,10:50,1,10,KAN 43,7,14,Eddie Lacy left guard for 13 yards (tackle by Justin Houston and Tyvon Branch),2.720,3.580
2,10:03,1,10,KAN 30,7,14,Eddie Lacy right guard for 1 yard (tackle by Justin Houston and Allen Bailey),3.580,3.170
2,9:24,2,9,KAN 29,7,14,Aaron Rodgers pass complete short right to Andrew Quarless for 7 yards (tackle by Marcus Peters),3.170,3.400
2,8:39,3,2,KAN 22,7,14,"Aaron Rodgers sacked by Allen Bailey for -5 yards. Aaron Rodgers fumbles (forced by Allen Bailey), recovered by Tamba Hali at KAN-17. Penalty on Marcus Cooper: Illegal Contact, 5 yards (no play)",3.400,4.440
2,8:29,1,10,KAN 17,7,14,James Starks middle for no gain (tackle by Marcus Peters),4.440,3.850
