Unnamed: 0,KAN,GNB
First Downs,23,26
Rush-Yds-TDs,18-75-3,32-123-0
Cmp-Att-Yd-TD-INT,24-40-290-1-1,24-35-333-5-0
Sacked-Yards,7-39,1-8
Net Pass Yards,251,325
Total Yards,326,448
Fumbles-Lost,2-0,0-0
Turnovers,1,0
Penalties-Yards,7-38,12-89
Third Down Conv.,2-10,4-11
Fourth Down Conv.,2-2,0-1
Time of Possession,26:30,33:30
