Unnamed: 0,PHI,MIA
First Downs,18,11
Rush-Yds-TDs,32-51-2,26-109-0
Cmp-Att-Yd-TD-INT,15-30-208-1-1,17-29-155-1-1
Sacked-Yards,4-20,9-60
Net Pass Yards,188,95
Total Yards,239,204
Fumbles-Lost,1-1,3-2
Turnovers,2,3
Penalties-Yards,7-69,7-81
Third Down Conv.,4-15,3-15
Fourth Down Conv.,0-0,0-3
Time of Possession,31:21,28:39
