Quarter,Time,Down,ToGo,Location,PHI,MIA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Dolphins won the coin toss and deferred, Eagles to receive the opening kickoff.",,
1,15:00,,,MIA 35,0,0,"Dan Carpenter kicks off 65 yards, touchback",0.000,0.280
1,15:00,1,10,PHI 20,0,0,Michael Vick pass incomplete short left intended for LeSean McCoy (defended by Karlos Dansby),0.280,-0.270
1,14:55,2,10,PHI 20,0,0,LeSean McCoy left end for 9 yards (tackle by Yeremiah Bell),-0.270,0.230
1,14:24,3,1,PHI 29,0,0,LeSean McCoy left guard for 11 yards (tackle by Vontae Davis),0.230,1.600
1,13:46,1,10,PHI 40,0,0,Michael Vick pass complete short right to DeSean Jackson for 13 yards (tackle by Vontae Davis),1.600,2.460
1,13:08,1,10,MIA 47,0,0,Michael Vick right end for 5 yards (tackle by Koa Misi),2.460,2.590
1,12:22,2,5,MIA 42,0,0,LeSean McCoy right guard for 2 yards (tackle by Karlos Dansby and Reshad Jones),2.590,2.150
1,11:40,3,3,MIA 40,0,0,"Michael Vick pass incomplete short left intended for Jason Avant. Penalty on Todd Herremans: Offensive Holding, 10 yards (no play)",2.150,0.830
1,11:34,3,13,,0,0,Michael Vick sacked by Jason Taylor for -6 yards,0.830,-0.460
1,11:05,4,19,PHI 44,0,0,Chas Henry punts no gain,-0.460,-4.580
1,10:56,1,10,PHI 15,0,0,Reggie Bush for 5 yards (tackle by Jamar Chaney),4.580,4.840
1,10:32,2,5,PHI 10,0,0,Matt Moore sacked by Brian Rolle for -6 yards,4.840,3.040
1,9:56,3,11,PHI 16,0,6,"Matt Moore pass complete deep left to Brandon Marshall for 16 yards, touchdown",3.040,7.000
1,,,,PHI 2,0,7,Dan Carpenter kicks extra point good,0.000,0.000
1,,,,MIA 35,0,7,"Dan Carpenter kicks off 70 yards, touchback",0.000,0.280
1,9:47,1,10,PHI 20,0,7,LeSean McCoy left tackle for no gain (tackle by Jared Odrick),0.280,-0.270
1,9:07,2,10,PHI 20,0,7,Michael Vick pass incomplete deep middle intended for Jeremy Maclin (defended by Koa Misi),-0.270,-0.960
1,9:00,3,10,PHI 20,0,7,Michael Vick pass complete short middle to Jeremy Maclin for 13 yards (tackle by Yeremiah Bell),-0.960,1.140
1,8:25,1,10,PHI 33,0,7,LeSean McCoy left tackle for -3 yards (tackle by Karlos Dansby),1.140,0.190
1,7:44,2,13,PHI 30,0,7,Michael Vick pass incomplete short middle intended for Jeremy Maclin,0.190,-0.490
1,7:39,3,13,PHI 30,0,7,Michael Vick sacked by Jason Taylor for 0 yards,-0.490,-1.370
1,7:21,4,13,PHI 30,0,7,"Chas Henry punts 52 yards, fair catch by Davone Bess",-1.370,-0.040
1,7:12,1,10,MIA 18,0,7,Matt Moore up the middle for 1 yard (tackle by Jamar Chaney),0.040,-0.320
1,6:41,2,9,MIA 19,0,7,Matt Moore pass complete short right to Reggie Bush for 17 yards (tackle by Darryl Tapp),-0.320,1.330
1,6:15,1,10,MIA 36,0,7,Matt Moore pass complete short left to Reggie Bush for 2 yards (tackle by Jamar Chaney),1.330,1.060
1,5:49,2,8,MIA 38,0,7,Matt Moore pass incomplete short left intended for Reggie Bush,1.060,0.370
1,5:44,3,8,MIA 38,0,7,Matt Moore pass incomplete short right intended for Anthony Fasano,0.370,-0.850
1,5:36,4,8,MIA 38,0,7,Brandon Fields punts 59 yards (tackle by Tyrone Culver),-0.850,0.350
1,5:23,1,10,PHI 12,0,7,"Michael Vick sacked by Tony McDaniel for -10 yards. Penalty on Tony McDaniel: Face Mask (15 Yards), 15 yards",-0.350,-0.060
1,5:02,1,10,PHI 17,0,7,LeSean McCoy right end for -3 yards (tackle by Chris Clemons),-0.060,-0.970
1,4:17,2,13,PHI 14,0,7,"Penalty on Jason Peters: False Start, 5 yards (no play)",-0.970,-1.360
1,4:05,2,18,PHI 9,0,7,"Penalty on Danny Watkins: False Start, 4 yards (no play)",-1.360,-1.660
1,3:49,2,22,PHI 5,0,7,Michael Vick pass incomplete deep right intended for Clay Harbor (defended by Tyrone Culver),-1.660,-2.820
1,3:41,3,22,PHI 5,0,7,LeSean McCoy left guard for 5 yards (tackle by Jared Odrick),-2.820,-2.490
1,3:10,4,17,PHI 10,0,7,"Chas Henry punts 54 yards, returned by Davone Bess for 13 yards (tackle by Casey Matthews). Penalty on PHI: Offensive Holding, 10 yards",-2.490,-2.850
1,2:56,1,10,PHI 41,0,7,Daniel Thomas left guard for 4 yards (tackle by Kurt Coleman),2.850,2.850
1,2:26,2,6,PHI 37,0,7,Daniel Thomas up the middle for no gain (tackle by Cullen Jenkins),2.850,2.150
1,1:46,3,6,PHI 37,0,7,Matt Moore pass incomplete deep left intended for Brandon Marshall,2.150,0.790
1,1:39,4,6,PHI 37,0,7,Dan Carpenter 55 yard field goal no good,0.790,-1.990
1,1:34,1,10,PHI 46,0,7,Michael Vick pass complete short right to LeSean McCoy for 26 yards (tackle by Karlos Dansby),1.990,3.710
1,0:52,1,10,MIA 28,0,7,Michael Vick pass complete short left to Brent Celek for 11 yards (tackle by Tyrone Culver),3.710,4.440
1,0:23,1,10,MIA 17,0,7,Michael Vick pass complete short middle to Brent Celek for 8 yards (tackle by Yeremiah Bell),4.440,5.290
Quarter,Time,Down,ToGo,Location,PHI,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,2,MIA 9,0,7,Michael Vick pass complete short left to DeSean Jackson for 8 yards (tackle by Karlos Dansby),5.290,6.970
2,14:16,1,1,MIA 1,0,7,LeSean McCoy up the middle for -1 yards (tackle by Koa Misi),6.970,5.720
2,13:41,2,2,MIA 2,6,7,"LeSean McCoy left tackle for 2 yards, touchdown",5.720,7.000
2,,,,MIA 2,7,7,Alex Henery kicks extra point good,0.000,0.000
2,,,,PHI 35,7,7,"Alex Henery kicks off 65 yards, touchback",0.000,0.280
2,13:34,1,10,MIA 20,7,7,"Matt Moore left tackle for 7 yards (tackle by Akeem Jordan). Penalty on Mike Pouncey: Offensive Holding, 10 yards (no play)",0.280,-0.760
2,13:12,1,20,MIA 10,7,7,Reggie Bush left end for 3 yards (tackle by Akeem Jordan),-0.760,-1.280
2,12:21,,,,7,7,Timeout #1 by Miami Dolphins,0.000,-1.280
2,12:21,2,17,MIA 13,7,7,Matt Moore pass incomplete deep middle intended for Davone Bess is intercepted by Kurt Coleman at MIA-36 and returned for 35 yards (tackle by Reggie Bush),-1.280,-6.970
2,12:08,1,1,MIA 1,7,7,Michael Vick pass incomplete short left intended for LeSean McCoy,6.970,5.910
2,12:02,2,1,MIA 1,13,7,"LeSean McCoy left guard for 1 yard, touchdown",5.910,7.000
2,,,,MIA 2,14,7,Alex Henery kicks extra point good,0.000,0.000
2,,,,PHI 35,14,7,"Alex Henery kicks off 65 yards, touchback",0.000,0.280
