Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Justin Jefferson,MIN,13,11,159,0,9,123,11.2,36,3.3,10.4,1,11.0,0,0.0,0,117.6
T.J. Hockenson,MIN,8,7,66,2,4,32,4.6,34,4.9,6.9,1,7.0,0,0.0,0,140.6
Jordan Addison,MIN,5,3,72,1,1,48,16.0,24,8.0,19.6,0,,0,0.0,0,143.7
Alexander Mattison,MIN,6,3,11,0,1,-6,-2.0,17,5.7,0.5,0,,1,16.7,0,56.2
K.J. Osborn,MIN,6,3,34,1,3,21,7.0,13,4.3,9.7,0,,2,33.3,0,106.9
Ty Chandler,MIN,2,2,9,0,,-5,-2.5,14,7.0,-2.5,1,2.0,0,0.0,0,85.4
Josh Oliver,MIN,3,2,13,0,1,1,0.5,12,6.0,0.0,0,,0,0.0,0,75.7
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Dallas Goedert,PHI,7,6,22,0,,14,2.3,8,1.3,5.0,0,,0,0.0,0,79.8
A.J. Brown,PHI,6,4,29,0,2,13,3.3,16,4.0,9.2,0,,0,0.0,0,77.8
DeVonta Smith,PHI,5,4,131,1,2,102,25.5,29,7.3,24.6,0,,0,0.0,1,118.7
D'Andre Swift,PHI,3,3,6,0,0,-5,-1.7,11,3.7,-1.7,0,,0,0.0,0,79.2
Rashaad Penny,PHI,1,1,5,0,0,-1,-1.0,6,6.0,-1.0,0,,0,0.0,0,87.5
