Quarter,Time,Tm,Detail,MIN,PHI
1.0,9:48,Eagles,Jake Elliott 24 yard field goal,0,3
2.0,10:39,Vikings,T.J. Hockenson 5 yard pass from Kirk Cousins (Greg Joseph kick),7,3
,2:44,Eagles,Jalen Hurts 1 yard rush (Jake Elliott kick),7,10
,0:00,Eagles,Jake Elliott 61 yard field goal,7,13
3.0,13:53,Eagles,Jalen Hurts 1 yard rush (Jake Elliott kick),7,20
,10:54,Eagles,DeVonta Smith 63 yard pass from Jalen Hurts (Jake Elliott kick),7,27
,9:09,Vikings,Jordan Addison 62 yard pass from Kirk Cousins (Greg Joseph kick),14,27
4.0,7:41,Vikings,K.J. Osborn 10 yard pass from Kirk Cousins (Greg Joseph kick),21,27
,4:13,Eagles,D'Andre Swift 2 yard rush (Jake Elliott kick),21,34
,1:10,Vikings,T.J. Hockenson 5 yard pass from Kirk Cousins (Greg Joseph kick),28,34
