Unnamed: 0,MIN,PHI
First Downs,19,24
Rush-Yds-TDs,9-28-0,48-259-3
Cmp-Att-Yd-TD-INT,31-44-364-4-0,18-23-193-1-1
Sacked-Yards,2-18,4-22
Net Pass Yards,346,171
Total Yards,374,430
Fumbles-Lost,4-4,1-0
Turnovers,4,1
Penalties-Yards,2-15,7-45
Third Down Conv.,6-10,6-14
Fourth Down Conv.,1-1,1-1
Time of Possession,20:32,39:28
