Quarter,Time,Down,ToGo,Location,MIN,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss and deferred, Eagles to receive the opening kickoff.",,
1,15:00,,,MIN 35,0,0,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,PHI 25,0,0,Jalen Hurts pass complete short right to DeVonta Smith for 6 yards (tackle by Byron Murphy and Camryn Bynum),0.610,0.870
1,14:28,2,4,PHI 31,0,0,Jalen Hurts sacked by and Ivan Pace for -1 yards and Harrison Phillips for -1 yards,0.870,0.040
1,13:47,3,5,PHI 30,0,0,Jalen Hurts scrambles right end for 7 yards (tackle by Harrison Phillips),0.040,1.400
1,13:12,1,10,PHI 37,0,0,Jalen Hurts pass complete short left to Dallas Goedert for -1 yards (tackle by Camryn Bynum),1.400,0.720
1,12:29,2,11,PHI 36,0,0,Jalen Hurts pass complete deep right to DeVonta Smith for 54 yards (tackle by Theo Jackson),0.720,4.910
1,11:52,1,10,MIN 10,0,0,Jalen Hurts pass complete short left to A.J. Brown for 1 yard (tackle by Theo Jackson and Camryn Bynum),4.910,4.380
1,11:13,2,9,MIN 9,0,0,D'Andre Swift right guard for 1 yard (tackle by Harrison Phillips and D.J. Wonnum),4.380,3.580
1,10:35,3,8,MIN 8,0,0,Jalen Hurts right tackle for 2 yards (tackle by Jordan Hicks and Camryn Bynum),3.580,2.990
1,9:51,4,6,MIN 6,0,3,Jake Elliott 24 yard field goal good,2.990,3.000
1,9:48,,,PHI 35,0,3,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
1,9:48,1,10,MIN 25,0,3,Kirk Cousins pass complete deep right to Justin Jefferson for 15 yards (tackle by Darius Slay),0.610,1.600
1,9:10,1,10,MIN 40,0,3,Kirk Cousins pass complete short right to Justin Jefferson for 1 yard (tackle by Darius Slay),1.600,1.190
1,8:27,2,9,MIN 41,0,3,Kirk Cousins pass incomplete short right intended for Alexander Mattison,1.190,0.500
1,8:24,3,9,MIN 41,0,3,Kirk Cousins pass incomplete short middle intended for K.J. Osborn,0.500,-0.650
1,8:20,4,9,MIN 41,0,3,"Ryan Wright punts 51 yards, returned by Britain Covey for 2 yards. Britain Covey fumbles (forced by Troy Dye), recovered by Kelee Ringo at PHI-10 (tackle by Troy Dye)",-0.650,0.380
1,8:08,1,10,PHI 10,0,3,Jalen Hurts pass incomplete deep right intended for Dallas Goedert,-0.380,-0.780
1,8:02,2,10,PHI 10,0,3,Jalen Hurts pass complete short right to Dallas Goedert for 6 yards (tackle by Harrison Smith),-0.780,-0.720
1,7:23,3,4,PHI 16,0,3,"Penalty on Lane Johnson: False Start, 5 yards (accepted) (no play)",-0.720,-1.300
1,7:04,3,9,PHI 11,0,3,Jalen Hurts scrambles right tackle for 3 yards (tackle by D.J. Wonnum and Jordan Hicks),-1.300,-2.470
1,6:12,4,6,PHI 14,0,3,"Arryn Siposs punts 40 yards, returned by Brandon Powell for 20 yards. Brandon Powell fumbles (forced by Justin Evans), recovered by Nicholas Morrow at PHI-27 (tackle by Justin Evans)",-2.470,0.740
1,6:09,1,10,PHI 27,0,3,D'Andre Swift left guard for 7 yards (tackle by Harrison Smith),0.740,1.140
1,5:54,2,3,PHI 34,0,3,D'Andre Swift right guard for 4 yards (tackle by Camryn Bynum and Ivan Pace),1.140,1.470
1,5:16,1,10,PHI 38,0,3,D'Andre Swift right end for 12 yards (tackle by Jordan Hicks),1.470,2.260
1,4:30,1,10,PHI 50,0,3,Jalen Hurts sacked by Danielle Hunter for -7 yards,2.260,0.770
1,3:50,2,17,PHI 43,0,3,Jalen Hurts pass complete short left to Dallas Goedert for 1 yard (tackle by Theo Jackson and Akayleb Evans),0.770,0.230
1,3:06,3,16,PHI 44,0,3,Jalen Hurts pass deep middle intended for DeVonta Smith is intercepted by Theo Jackson at MIN-35 and returned for no gain (tackle by DeVonta Smith),0.230,-1.270
1,2:58,1,10,MIN 35,0,3,"Alexander Mattison left tackle for 2 yards. Alexander Mattison fumbles (forced by Avonte Maddox) (tackle by Josh Jobe), recovered by Justin Evans at MIN-39 (tackle by Alexander Mattison)",1.270,-2.980
1,2:50,1,10,MIN 39,0,3,Jalen Hurts left end for no gain (tackle by Jordan Hicks),2.980,2.440
1,2:15,2,10,MIN 39,0,3,Jalen Hurts pass complete short left to A.J. Brown for 5 yards (tackle by Jordan Hicks),2.440,2.410
1,1:31,3,5,MIN 34,0,3,Jalen Hurts for -3 yards (tackle by Jordan Hicks and D.J. Wonnum),2.410,0.790
1,0:48,4,8,MIN 37,0,3,Jake Elliott 55 yard field goal no good,0.790,-1.930
1,0:42,1,10,MIN 45,0,3,Kirk Cousins sacked by Jordan Davis for -7 yards,1.930,0.440
1,0:07,2,17,MIN 38,0,3,"Kirk Cousins pass incomplete deep left intended for Justin Jefferson. Penalty on Fletcher Cox: Defensive Offside, 5 yards (accepted) (no play)",0.440,1.110
Quarter,Time,Down,ToGo,Location,MIN,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,12,MIN 43,0,3,Kirk Cousins pass complete short right to Jordan Addison for 9 yards (tackle by Josh Jobe),1.110,1.620
2,14:27,3,3,PHI 48,0,3,Kirk Cousins pass complete short left to K.J. Osborn for 6 yards (tackle by Josh Jobe),1.620,2.790
2,13:57,1,10,PHI 42,0,3,Alexander Mattison right guard for -2 yards (tackle by Jalen Carter),2.790,1.900
