Quarter,Time,Tm,Detail,DEN,OAK
1.0,7:49,Raiders,"Safety,",0,2
,4:36,Raiders,Sebastian Janikowski 46 yard field goal,0,5
2.0,11:00,Broncos,Shannon Sharpe 4 yard pass from Jake Plummer (Jason Elam kick),7,5
,9:03,Raiders,Sebastian Janikowski 48 yard field goal,7,8
,4:24,Broncos,Clinton Portis 1 yard rush (Jason Elam kick),14,8
4.0,3:15,Broncos,Clinton Portis 1 yard rush (Clinton Portis run),22,8
