Unnamed: 0,DEN,OAK
First Downs,20,12
Rush-Yds-TDs,46-193-2,23-120-0
Cmp-Att-Yd-TD-INT,11-20-105-1-1,13-30-153-0-0
Sacked-Yards,3-11,2-11
Net Pass Yards,94,142
Total Yards,287,262
Fumbles-Lost,0-0,4-3
Turnovers,1,3
Penalties-Yards,6-45,11-89
Third Down Conv.,3-15,3-13
Fourth Down Conv.,1-2,1-2
Time of Possession,37:39,22:21
