Unnamed: 0,KAN,TEN
First Downs,24,30
Rush-Yds-TDs,24-146-3,33-163-1
Cmp-Att-Yd-TD-INT,18-32-244-3-1,29-43-426-4-0
Sacked-Yards,1-7,5-47
Net Pass Yards,237,379
Total Yards,383,542
Fumbles-Lost,1-1,5-4
Turnovers,2,4
Penalties-Yards,7-58,13-104
Third Down Conv.,4-9,6-13
Fourth Down Conv.,0-0,1-1
Time of Possession,22:01,37:59
