Unnamed: 0,SFO,MIA
First Downs,24,11
Rush-Yds-TDs,27-112-0,22-98-0
Cmp-Att-Yd-TD-INT,30-47-233-0-0,12-19-156-2-0
Sacked-Yards,5-27,1-6
Net Pass Yards,206,150
Total Yards,318,248
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,4-22,8-66
Third Down Conv.,8-17,1-7
Fourth Down Conv.,0-1,0-0
Time of Possession,38:13,21:47
