Quarter,Time,Tm,Detail,SFO,MIA
1.0,9:46,Dolphins,David Martin 61 yard pass from Chad Pennington (Dan Carpenter kick),0,7
,3:57,49ers,Joe Nedney 38 yard field goal,3,7
2.0,8:27,Dolphins,Joey Haynos 19 yard pass from Chad Pennington (Dan Carpenter kick),3,14
3.0,2:46,49ers,Joe Nedney 23 yard field goal,6,14
4.0,9:21,49ers,Joe Nedney 28 yard field goal,9,14
