Quarter,Time,Down,ToGo,Location,SFO,MIA,Detail,EPB,EPA
1,3:50,1,10,MIA 35,3,7,Chad Pennington pass complete short right to Ronnie Brown for 9 yards (tackle by Manny Lawson),1.270,1.940
1,3:13,2,1,MIA 44,3,7,Ricky Williams right guard for no gain (tackle by Takeo Spikes),1.940,1.220
1,2:28,3,1,MIA 44,3,7,Lousaka Polite up the middle for 3 yards (tackle by Parys Haralson),1.220,2.060
1,1:49,1,10,MIA 47,3,7,Chad Pennington pass complete short middle to Ted Ginn Jr. for 6 yards (tackle by Parys Haralson),2.060,2.330
1,1:11,2,4,SFO 47,3,7,Chad Pennington pass complete short right to Davone Bess for 8 yards (tackle by Nate Clements),2.330,2.980
1,0:32,1,10,SFO 39,3,7,"Penalty on Samson Satele: False Start, 5 yards (no play)",2.980,2.650
1,0:14,1,15,SFO 44,3,7,Chad Pennington sacked by Aubrayo Franklin for -6 yards,2.650,0.960
Quarter,Time,Down,ToGo,Location,SFO,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,21,,3,7,Chad Pennington pass incomplete short left intended for Ronnie Brown,0.960,0.300
2,14:55,3,21,,3,7,Chad Pennington left end for 5 yards (tackle by Michael Lewis),0.300,0.270
2,14:19,4,16,SFO 45,3,7,"Brandon Fields punts 34 yards, fair catch by Dominique Zeigler",0.270,0.370
2,14:12,1,10,SFO 11,3,7,Shaun Hill pass incomplete short right intended for Isaac Bruce,-0.370,-0.780
2,14:06,2,10,SFO 11,3,7,DeShaun Foster up the middle for 2 yards (tackle by Kendall Langford and Matt Roth),-0.780,-1.190
2,13:26,3,8,SFO 13,3,7,Shaun Hill pass incomplete deep right intended for Isaac Bruce,-1.190,-2.490
2,13:19,4,8,SFO 13,3,7,"Andy Lee punts 51 yards, returned by Davone Bess for 14 yards (tackle by Brian Jennings)",-2.490,-2.260
2,13:08,1,10,,3,7,Chad Pennington pass incomplete deep right intended for Ted Ginn Jr. (defended by Nate Clements),2.260,1.710
2,13:01,2,10,,3,7,Chad Pennington pass incomplete short right intended for Anthony Fasano,1.710,1.030
2,12:56,3,10,,3,7,"Penalty on Ernest Wilford: False Start, 5 yards (no play)",1.030,0.370
2,12:56,3,15,MIA 45,3,7,Chad Pennington pass complete short middle to Ricky Williams for 11 yards (tackle by Takeo Spikes),0.370,0.330
2,12:24,4,4,SFO 44,3,7,"Brandon Fields punts 40 yards, fair catch by Dominique Zeigler",0.330,0.380
2,12:14,1,10,SFO 4,3,7,"Penalty on Billy Bajema: False Start, 2 yards (no play)",-0.380,-0.460
2,12:14,1,12,SFO 2,3,7,DeShaun Foster up the middle for 5 yards (tackle by Yeremiah Bell and Renaldo Hill),-0.460,-0.560
2,11:38,2,7,SFO 7,3,7,Shaun Hill pass incomplete deep left intended for Vernon Davis,-0.560,-1.070
2,11:32,3,7,SFO 7,3,7,Shaun Hill up the middle for 1 yard (tackle by Tyrone Culver),-1.070,-2.490
2,10:57,4,6,SFO 8,3,7,"Andy Lee punts 53 yards, returned by Davone Bess for 27 yards (tackle by Parys Haralson)",-2.490,-3.310
2,10:43,1,10,SFO 34,3,7,Ronnie Brown left tackle for 1 yard (tackle by Mark Roman),3.310,2.910
2,10:05,2,9,SFO 33,3,7,Ronnie Brown left end for 11 yards (tackle by Ray McDonald),2.910,4.110
2,9:23,1,10,SFO 22,3,7,Ricky Williams right guard for 3 yards (tackle by Michael Lewis),4.110,3.970
2,8:34,2,7,SFO 19,3,13,"Chad Pennington pass complete deep middle to Joey Haynos for 19 yards, touchdown",3.970,7.000
2,,,,SFO 2,3,14,Dan Carpenter kicks extra point good,0.000,0.000
2,,,,MIA 30,3,14,"Dan Carpenter kicks off 70 yards, muffed by Delanie Walker, recovered by Delanie Walker at SF-0, and returned for 11 yards",0.000,-0.370
2,8:22,1,10,SFO 11,3,14,DeShaun Foster right guard for 6 yards (tackle by Matt Roth),-0.370,-0.160
2,7:48,2,4,SFO 17,3,14,DeShaun Foster left tackle for 5 yards (tackle by Phillip Merling),-0.160,0.410
2,7:06,1,10,SFO 22,3,14,DeShaun Foster left guard for 6 yards (tackle by Akin Ayodele),0.410,0.680
2,6:20,2,4,SFO 28,3,14,Michael Robinson up the middle for 3 yards (tackle by Akin Ayodele),0.680,0.370
2,5:44,3,1,SFO 31,3,14,Shaun Hill up the middle for 3 yards (tackle by Channing Crowder),0.370,1.200
2,5:04,1,10,SFO 34,3,14,DeShaun Foster right guard for -1 yards (tackle by Channing Crowder and Kendall Langford),1.200,0.520
2,4:25,2,11,SFO 33,3,14,Shaun Hill pass complete short right to Isaac Bruce for 11 yards,0.520,1.860
2,3:58,1,10,SFO 44,3,14,Shaun Hill pass incomplete short left intended for Vernon Davis,1.860,1.320
2,3:53,2,10,SFO 44,3,14,Michael Robinson up the middle for 4 yards (tackle by Jason Ferguson),1.320,1.160
2,3:18,3,6,SFO 48,3,14,Shaun Hill right guard for 13 yards (tackle by Renaldo Hill),1.160,2.980
2,2:50,1,10,MIA 39,3,14,Shaun Hill pass complete short middle to DeShaun Foster for 5 yards (tackle by Channing Crowder),2.980,3.120
2,2:11,2,5,MIA 34,3,14,Shaun Hill pass complete short right to DeShaun Foster for -3 yards (tackle by Yeremiah Bell),3.120,2.020
2,2:00,3,8,MIA 37,3,14,Shaun Hill pass complete short right to Vernon Davis for 9 yards,2.020,3.710
2,1:52,1,10,MIA 28,3,14,Shaun Hill sacked by Charlie Anderson for -1 yards,3.710,3.030
2,1:38,,,,3,14,Timeout #1 by San Francisco 49ers,0.000,3.030
2,1:38,2,11,MIA 29,3,14,"Shaun Hill pass complete short left to Bryant Johnson for 13 yards (tackle by Andre' Goodman). Penalty on Isaac Bruce: Illegal Formation, 5 yards (no play)",3.030,2.360
2,1:31,2,16,MIA 34,3,14,Shaun Hill sacked by Nate Jones for -7 yards,2.360,0.760
2,0:50,3,23,MIA 41,3,14,Shaun Hill pass incomplete deep left intended for Josh Morgan,0.760,0.530
2,0:44,4,23,MIA 41,3,14,"Andy Lee punts 41 yards, touchback",0.530,-0.280
2,0:36,1,10,MIA 20,3,14,Ronnie Brown right tackle for 4 yards (tackle by Michael Lewis),0.280,0.270
Quarter,Time,Down,ToGo,Location,SFO,MIA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SFO 30,3,14,"Joe Nedney kicks off 70 yards, touchback",0.000,0.280
3,15:00,1,10,MIA 20,3,14,Chad Pennington pass complete short right to Davone Bess for 6 yards (tackle by Nate Clements),0.280,0.540
3,14:21,2,4,MIA 26,3,14,Ricky Williams left end for 7 yards (tackle by Mark Roman),0.540,1.140
3,13:51,1,10,MIA 33,3,14,Ricky Williams right end for 2 yards (tackle by Aubrayo Franklin),1.140,0.860
3,13:05,2,8,MIA 35,3,14,Chad Pennington pass complete short right to Davone Bess for 11 yards (tackle by Nate Clements),0.860,1.990
3,12:27,1,10,MIA 46,3,14,Ricky Williams left end for 8 yards (tackle by Takeo Spikes),1.990,2.530
3,11:45,2,2,SFO 46,3,14,Ronnie Brown right tackle for 1 yard (tackle by Patrick Willis),2.530,1.950
3,11:02,3,1,SFO 45,3,14,Ricky Williams up the middle for no gain (tackle by Aubrayo Franklin),1.950,0.270
3,10:18,4,1,SFO 45,3,14,"Brandon Fields punts 32 yards, fair catch by Dominique Zeigler",0.270,0.320
3,10:15,1,10,SFO 13,3,14,DeShaun Foster left tackle for 3 yards (tackle by Akin Ayodele),-0.320,-0.440
3,9:36,2,7,SFO 16,3,14,Shaun Hill pass complete short right to Bryant Johnson for 18 yards (tackle by Renaldo Hill),-0.440,1.200
3,8:56,1,10,SFO 34,3,14,Isaac Bruce pass incomplete short right intended for Bryant Johnson,1.200,0.660
3,8:48,2,10,SFO 34,3,14,Shaun Hill pass incomplete short right intended for Isaac Bruce,0.660,-0.030
3,8:42,3,10,SFO 34,3,14,"Shaun Hill pass incomplete short left intended for Jason Hill. Penalty on Tyrone Culver: Defensive Pass Interference, 5 yards (no play)",-0.030,1.530
3,8:36,1,10,SFO 39,3,14,Shaun Hill pass complete short right to Isaac Bruce for 5 yards (tackle by Channing Crowder),1.530,1.660
3,7:57,2,5,SFO 44,3,14,Shaun Hill pass complete short middle to Michael Robinson for 9 yards (tackle by Yeremiah Bell),1.660,2.460
3,7:12,1,10,MIA 47,3,14,DeShaun Foster left tackle for 6 yards (tackle by Channing Crowder),2.460,2.720
3,6:29,2,4,MIA 41,3,14,DeShaun Foster left tackle for 3 yards (tackle by Jason Ferguson),2.720,2.410
3,5:43,3,1,MIA 38,3,14,Shaun Hill pass complete short left to Bryant Johnson for 3 yards (tackle by Renaldo Hill),2.410,3.250
3,5:04,1,10,MIA 35,3,14,"Michael Robinson right end for -2 yards (tackle by Joey Porter). Penalty on Akin Ayodele: Personal Foul, 15 yards",3.250,4.110
3,4:43,1,10,MIA 22,3,14,Shaun Hill pass complete short right to Sean Ryan for 8 yards (tackle by Channing Crowder),4.110,4.850
3,4:03,2,2,MIA 14,3,14,DeShaun Foster right end for 2 yards (tackle by Matt Roth and Channing Crowder),4.850,4.780
3,3:39,1,10,MIA 12,3,14,Shaun Hill pass incomplete short left intended for Jason Hill,4.780,4.100
3,3:34,2,10,MIA 12,3,14,DeShaun Foster up the middle for 7 yards (tackle by Joey Porter and Renaldo Hill),4.100,4.610
3,2:54,3,3,MIA 5,3,14,Shaun Hill pass incomplete short middle intended for DeShaun Foster (defended by Channing Crowder),4.610,3.020
3,2:50,4,3,MIA 5,6,14,Joe Nedney 23 yard field goal good,3.020,3.000
3,,,,SFO 30,6,14,"Joe Nedney kicks off 75 yards, returned by Ted Ginn Jr. for 23 yards (tackle by Jason Hill). Penalty on Erik Walden: Offensive Holding, 9 yards",0.000,-0.380
3,2:39,1,10,MIA 9,6,14,Chad Pennington pass incomplete short right intended for Ronnie Brown,-0.380,-0.780
3,2:34,2,10,MIA 9,6,14,Ronnie Brown left end for 8 yards (tackle by Parys Haralson),-0.780,-0.480
3,1:47,3,2,MIA 17,6,14,Chad Pennington pass complete short middle to Ted Ginn Jr. for no gain,-0.480,-2.320
3,1:16,4,2,MIA 17,6,14,"Brandon Fields punts 52 yards, returned by Dominique Zeigler for no gain. Penalty on Jeff Ulbrich: Offensive Holding, 10 yards",-2.320,-0.340
3,1:05,1,10,SFO 21,6,14,Shaun Hill pass complete short left to Jason Hill for 11 yards (tackle by Renaldo Hill),0.340,1.070
3,0:26,1,10,SFO 32,6,14,Shaun Hill pass incomplete short right intended for Delanie Walker (defended by Renaldo Hill),1.070,0.530
3,0:21,2,10,SFO 32,6,14,DeShaun Foster left guard for 10 yards (tackle by Tyrone Culver),0.530,1.730
Quarter,Time,Down,ToGo,Location,SFO,MIA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,SFO 42,6,14,Shaun Hill pass complete short left to Vernon Davis for 1 yard (tackle by Paul Soliai),1.730,1.320
4,14:17,2,9,SFO 43,6,14,Vernon Davis left end for 11 yards (tackle by Akin Ayodele),1.320,2.520
4,13:43,1,10,MIA 46,6,14,Shaun Hill pass complete deep right to Isaac Bruce for 20 yards (tackle by Renaldo Hill),2.520,3.840
4,13:02,1,10,MIA 26,6,14,Shaun Hill pass complete short middle to DeShaun Foster for 4 yards (tackle by Akin Ayodele),3.840,3.840
4,12:19,2,6,MIA 22,6,14,Shaun Hill pass complete short right to Vernon Davis for no gain,3.840,3.140
4,11:38,3,6,MIA 22,6,14,Shaun Hill pass complete short left to Isaac Bruce for 7 yards (tackle by Andre' Goodman),3.140,4.580
4,10:50,1,10,MIA 15,6,14,Shaun Hill sacked by Nate Jones for -5 yards,4.580,3.350
4,10:16,2,15,MIA 20,6,14,Shaun Hill pass incomplete short left intended for Isaac Bruce,3.350,2.680
4,10:10,3,15,MIA 20,6,14,Shaun Hill pass complete short middle to Michael Robinson for 10 yards (tackle by Tyrone Culver),2.680,2.810
4,9:26,4,5,MIA 10,9,14,Joe Nedney 28 yard field goal good,2.810,3.000
4,,,,SFO 30,9,14,"Joe Nedney kicks off 66 yards, returned by Ted Ginn Jr. for 13 yards (tackle by Billy Bajema)",0.000,-0.060
4,9:16,1,10,MIA 17,9,14,"Chad Pennington pass incomplete short left intended for Brandon London. Penalty on Brandon London: Offensive Pass Interference, 8 yards (no play)",-0.060,-0.680
4,9:11,1,18,MIA 9,9,14,Chad Pennington pass incomplete short right intended for David Martin,-0.680,-1.360
4,9:05,2,18,MIA 9,9,14,Ronnie Brown up the middle for 5 yards (tackle by Nate Clements),-1.360,-1.720
4,8:22,3,13,MIA 14,9,14,Chad Pennington pass incomplete short middle intended for Ricky Williams,-1.720,-2.470
4,8:15,4,13,MIA 14,9,14,"Brandon Fields punts 46 yards, returned by Dominique Zeigler for 11 yards (tackle by Erik Walden). Penalty on Keith Lewis: Running Into the Kicker, 5 yards (no play)",-2.470,-2.140
4,8:05,4,8,MIA 19,9,14,"Brandon Fields punts 47 yards, returned by Dominique Zeigler for no gain",-2.140,-1.200
4,7:54,1,10,SFO 34,9,14,Shaun Hill pass incomplete deep middle intended for Bryant Johnson (defended by Kendall Langford),1.200,0.660
4,7:50,2,10,SFO 34,9,14,Shaun Hill pass complete short right to DeShaun Foster for 2 yards (tackle by Yeremiah Bell),0.660,0.230
4,7:07,3,8,SFO 36,9,14,Shaun Hill pass complete short right to Isaac Bruce for 10 yards (tackle by Will Allen),0.230,1.990
4,6:30,1,10,SFO 46,9,14,Shaun Hill pass incomplete short right intended for Bryant Johnson,1.990,1.450
4,6:27,2,10,SFO 46,9,14,Shaun Hill pass complete short right to Vernon Davis for 4 yards (tackle by Tyrone Culver),1.450,1.290
4,5:42,3,6,,9,14,Shaun Hill pass incomplete short left intended for Vernon Davis,1.290,-0.060
4,5:38,4,6,,9,14,"Andy Lee punts 50 yards, touchback",-0.060,-0.280
4,5:29,1,10,MIA 20,9,14,Chad Pennington pass incomplete short right intended for Ted Ginn Jr.,0.280,-0.270
4,5:22,2,10,MIA 20,9,14,Ronnie Brown right end for 16 yards (tackle by Justin Smith),-0.270,1.330
4,4:42,1,10,MIA 36,9,14,Ricky Williams right end for 3 yards (tackle by Patrick Willis),1.330,1.200
4,3:53,2,7,MIA 39,9,14,Chad Pennington pass complete short right to Anthony Fasano for 8 yards (tackle by Michael Lewis),1.200,2.060
4,3:47,1,10,MIA 47,9,14,Ronnie Brown left end for 18 yards (tackle by Nate Clements),2.060,3.250
4,2:57,1,10,SFO 35,9,14,Ronnie Brown right end for 5 yards (tackle by Patrick Willis),3.250,3.380
4,2:50,,,,9,14,Timeout #1 by San Francisco 49ers,0.000,3.380
4,2:50,2,5,SFO 30,9,14,Lousaka Polite up the middle for 1 yard (tackle by Justin Smith),3.380,2.810
4,2:45,,,,9,14,Timeout #2 by San Francisco 49ers,0.000,2.810
4,2:45,3,4,SFO 29,9,14,Ronnie Brown left end for -2 yards (tackle by Manny Lawson),2.810,1.340
4,2:41,,,,9,14,Timeout #3 by San Francisco 49ers,0.000,1.340
4,2:41,4,6,SFO 31,9,14,Dan Carpenter 49 yard field goal no good,1.340,-1.530
4,2:36,1,10,SFO 39,9,14,Shaun Hill pass complete short right to Bryant Johnson for 5 yards (tackle by Will Allen),1.530,1.660
4,2:09,2,5,SFO 44,9,14,Shaun Hill pass complete short right to Jason Hill for 3 yards (tackle by Nate Jones),1.660,1.360
4,2:04,3,2,SFO 47,9,14,Shaun Hill pass complete short right to Isaac Bruce for 11 yards,1.360,2.790
4,1:58,1,10,MIA 42,9,14,Shaun Hill pass complete short right to Bryant Johnson for 8 yards (tackle by Tyrone Culver),2.790,3.320
4,1:35,2,2,MIA 34,9,14,Shaun Hill pass complete short middle to Michael Robinson for 13 yards (tackle by Tyrone Culver),3.320,4.170
4,1:20,1,10,MIA 21,9,14,Shaun Hill spiked the ball,4.170,3.630
4,1:18,2,10,MIA 21,9,14,Shaun Hill pass incomplete short middle intended for DeShaun Foster (defended by Channing Crowder),3.630,2.940
4,1:13,3,10,MIA 21,9,14,Shaun Hill pass incomplete deep left intended for Isaac Bruce,2.940,2.060
4,1:07,4,10,MIA 21,9,14,"Shaun Hill sacked by Joey Porter for -7 yards. Penalty on Joey Porter: Unsportsmanlike Conduct, 14 yards",2.060,0.280
4,1:02,1,10,MIA 14,9,14,Chad Pennington kneels for no gain,-0.280,-0.750
4,0:19,2,10,MIA 14,9,14,Chad Pennington kneels for -1 yards,-0.750,-1.530
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
