Quarter,Time,Tm,Detail,PIT,GNB
1.0,10:04,Steelers,Diontae Johnson 45 yard pass from Ben Roethlisberger (Chris Boswell kick),7,0
2.0,13:22,Packers,Aaron Rodgers 4 yard rush (Mason Crosby kick),7,7
,10:55,Packers,Randall Cobb 23 yard pass from Aaron Rodgers (Mason Crosby kick),7,14
,5:41,Steelers,Chris Boswell 52 yard field goal,10,14
,0:05,Packers,Mason Crosby 26 yard field goal,10,17
3.0,9:31,Packers,Mason Crosby 29 yard field goal,10,20
,4:46,Packers,Randall Cobb 1 yard pass from Aaron Rodgers (Mason Crosby kick),10,27
4.0,4:04,Steelers,Najee Harris 1 yard rush (Chris Boswell kick),17,27
