Quarter,Time,Down,ToGo,Location,PIT,GNB,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Packers won the coin toss and deferred, Steelers to receive the opening kickoff.",,
1,15:00,,,GNB 35,0,0,"Mason Crosby kicks off 65 yards, touchback.",,
1,15:00,1,10,PIT 25,0,0,Ben Roethlisberger pass complete short left to Diontae Johnson for 3 yards (tackle by Eric Stokes),,
1,14:30,2,7,PIT 28,0,0,Najee Harris right guard for 10 yards (tackle by Darnell Savage),,
1,13:44,1,10,PIT 38,0,0,Benny Snell left end for no gain (tackle by Rashan Gary),,
1,13:01,2,10,PIT 38,0,0,Ben Roethlisberger pass complete short left to JuJu Smith-Schuster for 9 yards (tackle by Eric Stokes),,
1,12:21,3,1,PIT 47,0,0,Najee Harris right guard for 2 yards (tackle by Dean Lowry),,
1,11:42,1,10,PIT 49,0,0,Najee Harris left tackle for 4 yards (tackle by Ty Summers),,
1,10:57,2,6,GNB 47,0,0,Ben Roethlisberger pass complete short right to Ray-Ray McCloud for 2 yards (tackle by Chandon Sullivan),,
1,10:10,3,4,GNB 45,6,0,"Ben Roethlisberger pass complete deep right to Diontae Johnson for 45 yards, touchdown. Penalty on Rashan Gary: Defensive Offside, 5 yards (declined)",,
1,10:04,,,GNB 15,7,0,Chris Boswell kicks extra point good,,
1,10:04,,,PIT 35,7,0,"Chris Boswell kicks off 64 yards, returned by Kylin Hill for 21 yards (tackle by Robert Spillane and Miles Killebrew)",,
1,9:59,1,10,GNB 22,7,0,Aaron Rodgers pass complete short left to Allen Lazard for 5 yards (tackle by Terrell Edmunds),,
1,9:27,2,5,GNB 27,7,0,Aaron Jones left end for 4 yards (tackle by Alex Highsmith and Joe Schobert),,
1,8:49,3,1,GNB 31,7,0,Aaron Jones up the middle for 4 yards (tackle by Terrell Edmunds),,
1,8:07,1,10,GNB 35,7,0,Aaron Jones left tackle for 3 yards (tackle by Joe Schobert and Isaiah Buggs),,
1,7:25,2,7,GNB 38,7,0,Aaron Rodgers pass complete deep left to Davante Adams for 21 yards (tackle by Cameron Sutton),,
1,6:44,1,10,PIT 41,7,0,Aaron Rodgers pass complete short middle to Davante Adams for 7 yards (tackle by T.J. Watt),,
1,6:06,2,3,PIT 34,7,0,Aaron Jones left end for no gain (tackle by Alex Highsmith and Cameron Heyward),,
1,5:19,3,3,PIT 34,7,0,Aaron Rodgers sacked by Devin Bush for -6 yards,,
1,4:33,4,9,PIT 40,7,0,Penalty on GNB: Delay of Game (declined) (no play),,
1,4:20,4,9,PIT 40,7,0,Corey Bojorquez punts 36 yards downed by Malik Taylor,,
1,4:10,1,10,PIT 4,7,0,Najee Harris right tackle for 5 yards (tackle by Oren Burks and Rashan Gary),,
1,3:31,2,5,PIT 9,7,0,Ben Roethlisberger pass incomplete short left intended for Diontae Johnson,,
1,3:27,3,5,PIT 9,7,0,Ben Roethlisberger pass incomplete short left intended for JuJu Smith-Schuster (defended by Eric Stokes),,
1,3:23,4,5,PIT 9,7,0,"Pressley Harvin punts 45 yards, returned by Amari Rodgers for no gain (tackle by Christian Kuntz). Penalty on Equanimeous St. Brown: Offensive Holding, 10 yards (accepted)",,
1,3:13,1,10,GNB 36,7,0,AJ Dillon left tackle for 7 yards (tackle by Minkah Fitzpatrick),,
1,2:44,2,3,GNB 43,7,0,Aaron Rodgers pass incomplete short right intended for Robert Tonyan,,
1,2:41,3,3,GNB 43,7,0,AJ Dillon up the middle for 3 yards (tackle by Cameron Heyward and Alex Highsmith),,
1,1:55,1,10,GNB 46,7,0,Aaron Rodgers pass incomplete deep middle intended for Randall Cobb,,
1,1:50,2,10,GNB 46,7,0,Aaron Rodgers pass complete short left to AJ Dillon for 16 yards (tackle by Arthur Maulet),,
1,1:23,1,10,PIT 38,7,0,Aaron Rodgers pass complete short right to Davante Adams for 4 yards (tackle by Devin Bush),,
1,0:52,2,6,PIT 34,7,0,Aaron Rodgers pass incomplete deep right intended for Marcedes Lewis,,
1,0:46,3,6,PIT 34,7,0,Aaron Rodgers pass complete short middle to Randall Cobb for 8 yards (tackle by Devin Bush),,
1,0:05,1,10,PIT 26,7,0,Aaron Rodgers pass incomplete short right intended for Equanimeous St. Brown,,
1,0:01,2,10,PIT 26,7,0,AJ Dillon right end for 6 yards (tackle by Chris Wormley and Joe Haden),,
Quarter,Time,Down,ToGo,Location,PIT,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,4,PIT 20,7,0,Aaron Rodgers pass complete short middle to Randall Cobb for 12 yards (tackle by Minkah Fitzpatrick),,
2,14:12,1,8,PIT 8,7,0,Aaron Jones up the middle for 4 yards (tackle by Minkah Fitzpatrick and Cameron Heyward),,
2,13:28,2,4,PIT 4,7,6,"Aaron Rodgers scrambles right end for 4 yards, touchdown",,
2,13:22,,,PIT 15,7,7,Mason Crosby kicks extra point good,,
2,13:22,,,GNB 35,7,7,"Mason Crosby kicks off 65 yards, touchback.",,
2,13:22,1,10,PIT 25,7,7,Najee Harris left tackle for 4 yards (tackle by Kenny Clark and Adrian Amos),,
2,12:41,2,6,PIT 29,7,7,Ben Roethlisberger pass incomplete short middle intended for JuJu Smith-Schuster,,
2,12:38,3,6,PIT 29,7,7,"Ben Roethlisberger sacked by Kingsley Keke for -6 yards. Ben Roethlisberger fumbles (forced by Kingsley Keke), recovered by Kenny Clark at PIT-23 (tackle by Kingsley Keke)",,
2,12:28,1,10,PIT 23,7,7,"Aaron Rodgers pass complete short left to Aaron Jones for 6 yards (tackle by Devin Bush). Penalty on Josiah Deguara: Offensive Illegal Block Above the Waist, 10 yards (accepted)",,
2,12:05,1,14,PIT 27,7,7,Aaron Rodgers pass complete short middle to Robert Tonyan for 6 yards (tackle by Melvin Ingram),,
2,11:18,2,8,PIT 21,7,7,Aaron Jones left tackle for -2 yards (tackle by Arthur Maulet),,
2,11:03,,,,,,Timeout #1 by Pittsburgh Steelers,,
2,11:03,3,10,PIT 23,7,13,"Aaron Rodgers pass complete short left to Randall Cobb for 23 yards, touchdown",,
2,10:55,,,PIT 15,7,14,Mason Crosby kicks extra point good,,
2,10:55,,,GNB 35,7,14,"Mason Crosby kicks off 65 yards, touchback.",,
2,10:55,1,10,PIT 25,7,14,Najee Harris left guard for 8 yards (tackle by Dean Lowry and Tedarrell Slaton),,
2,10:15,2,2,PIT 33,7,14,Ben Roethlisberger pass complete short left to Diontae Johnson for 6 yards (tackle by Eric Stokes),,
2,9:34,1,10,PIT 39,7,14,"Najee Harris right tackle for no gain (tackle by Darnell Savage and Kingsley Keke). Penalty on Dan Moore: Offensive Holding, 10 yards (accepted) (no play)",,
2,9:03,1,20,PIT 29,7,14,Ben Roethlisberger pass complete short left to Diontae Johnson for 8 yards (tackle by Eric Stokes),,
2,8:27,2,12,PIT 37,7,14,"Ben Roethlisberger pass complete short middle to Zach Gentry for 10 yards (tackle by Eric Stokes and De'Vondre Campbell). Penalty on Preston Smith: Defensive Offside, 5 yards (declined)",,
2,8:00,3,2,PIT 47,7,14,Ben Roethlisberger pass complete short middle to Eric Ebron for 4 yards (tackle by Adrian Amos and Oren Burks),,
2,7:17,1,10,GNB 49,7,14,Ben Roethlisberger pass complete short left to James Washington for 17 yards (tackle by De'Vondre Campbell),,
2,6:40,1,10,GNB 32,7,14,Ben Roethlisberger pass incomplete deep right intended for JuJu Smith-Schuster,,
2,6:34,2,10,GNB 32,7,14,Najee Harris right guard for -2 yards (tackle by Kenny Clark),,
2,5:51,3,12,GNB 34,7,14,Ben Roethlisberger pass incomplete short right intended for James Washington,,
2,5:46,4,12,GNB 34,10,14,Chris Boswell 52 yard field goal good,,
2,5:41,,,PIT 35,10,14,"Chris Boswell kicks off 65 yards, returned by Kylin Hill for 16 yards (tackle by Miles Killebrew)",,
2,5:36,1,10,GNB 16,10,14,Aaron Jones right end for 15 yards (tackle by Chris Wormley and Arthur Maulet),,
2,5:02,1,10,GNB 31,10,14,Aaron Rodgers pass complete short middle to Marcedes Lewis for 7 yards (tackle by Joe Schobert and Joe Haden),,
2,4:19,2,3,GNB 38,10,14,AJ Dillon right end for 9 yards (tackle by Minkah Fitzpatrick and Henry Mondeaux),,
2,3:33,,,,,,Timeout #1 by Green Bay Packers,,
2,3:33,1,10,GNB 47,10,14,Aaron Jones left end for 6 yards (tackle by Cameron Heyward),,
2,2:48,2,4,PIT 47,10,14,Aaron Jones up the middle for 5 yards (tackle by Devin Bush),,
2,2:00,1,10,PIT 42,10,14,Aaron Rodgers pass incomplete deep middle intended for Robert Tonyan,,
2,1:57,2,10,PIT 42,10,14,Aaron Rodgers pass complete short left to Aaron Jones for 19 yards (tackle by Terrell Edmunds),,
2,1:09,1,10,PIT 23,10,14,Aaron Rodgers pass incomplete short left intended for Davante Adams,,
2,1:06,2,10,PIT 23,10,14,Aaron Rodgers pass complete short right to Davante Adams for 10 yards (tackle by Minkah Fitzpatrick),,
2,0:32,1,10,PIT 13,10,14,Aaron Rodgers pass incomplete short left intended for Davante Adams (defended by Cameron Sutton),,
2,0:28,2,10,PIT 13,10,14,Aaron Rodgers pass incomplete short middle intended for Robert Tonyan,,
2,0:24,,,,,,Timeout #2 by Pittsburgh Steelers,,
2,0:24,3,10,PIT 13,10,14,Aaron Rodgers pass incomplete short left intended for Aaron Jones (defended by Joe Schobert),,
2,0:20,4,10,PIT 13,10,14,"Mason Crosby yard field goal no good blocked by Minkah Fitzpatrick, touchdown. Penalty on Joe Haden: Defensive Offside, 5 yards (accepted) (no play)",,
2,0:08,4,5,PIT 8,10,17,Mason Crosby 26 yard field goal good,,
2,0:05,,,GNB 35,10,17,"Mason Crosby kicks off 73 yards, returned by Ray-Ray McCloud for 38 yards (tackle by Isaac Yiadom)",,
Quarter,Time,Down,ToGo,Location,PIT,GNB,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PIT 35,10,17,"Chris Boswell kicks off 65 yards, touchback.",,
3,15:00,1,10,GNB 25,10,17,Aaron Jones right end for 3 yards (tackle by Chris Wormley),,
3,14:20,2,7,GNB 28,10,17,Aaron Rodgers pass incomplete deep right,,
3,14:15,3,7,GNB 28,10,17,Aaron Rodgers pass complete deep middle to Randall Cobb for 25 yards (tackle by Terrell Edmunds),,
3,13:31,1,10,PIT 47,10,17,Aaron Jones up the middle for 6 yards (tackle by Joe Haden and Terrell Edmunds),,
3,12:51,2,4,PIT 41,10,17,Aaron Jones left end for 3 yards (tackle by Devin Bush and Minkah Fitzpatrick),,
3,12:08,3,1,PIT 38,10,17,AJ Dillon left guard for 1 yard (tackle by Cameron Heyward),,
3,11:26,1,10,PIT 37,10,17,Aaron Rodgers pass incomplete short middle intended for Davante Adams,,
3,11:23,2,10,PIT 37,10,17,"Aaron Rodgers pass complete short middle to Aaron Jones for 26 yards (tackle by Joe Schobert and Alex Highsmith). Penalty on T.J. Watt: Roughing the Passer, 6 yards (accepted)",,
3,10:48,1,5,PIT 5,10,17,Aaron Jones left end for -3 yards (tackle by Arthur Maulet),,
3,9:53,2,8,PIT 8,10,17,Aaron Rodgers sacked by T.J. Watt for -3 yards,,
3,9:39,3,11,PIT 11,10,17,Aaron Rodgers pass incomplete short middle intended for Allen Lazard,,
3,9:35,4,11,PIT 11,10,20,Mason Crosby 29 yard field goal good,,
3,9:31,,,GNB 35,10,20,"Mason Crosby kicks off 70 yards, returned by Ray-Ray McCloud for 21 yards (tackle by Equanimeous St. Brown). Penalty on Benny Snell: Offensive Holding, 8 yards (accepted)",,
3,9:31,1,10,PIT 8,10,20,Ben Roethlisberger pass complete short left to Najee Harris for 4 yards (tackle by Eric Stokes),,
3,8:45,2,6,PIT 12,10,20,Ben Roethlisberger pass complete short left to Najee Harris for 6 yards (tackle by Adrian Amos and De'Vondre Campbell),,
3,8:04,1,10,PIT 18,10,20,Najee Harris left guard for 2 yards (tackle by Kenny Clark and De'Vondre Campbell),,
3,7:17,2,8,PIT 20,10,20,Ben Roethlisberger pass incomplete deep left intended for JuJu Smith-Schuster,,
3,7:12,3,8,PIT 20,10,20,Ben Roethlisberger pass incomplete short middle intended for Benny Snell,,
3,7:08,4,8,PIT 20,10,20,Pressley Harvin punts 20 yards out of bounds,,
3,7:01,1,10,PIT 40,10,20,Aaron Rodgers pass complete short right to Davante Adams for 11 yards (tackle by Terrell Edmunds),,
3,6:19,1,10,PIT 29,10,20,AJ Dillon right tackle for 3 yards (tackle by Joe Schobert),,
3,5:40,2,7,PIT 26,10,20,AJ Dillon right tackle for 25 yards (tackle by Minkah Fitzpatrick),,
3,4:51,1,1,PIT 1,10,26,"Aaron Rodgers pass complete short right to Randall Cobb for 1 yard, touchdown",,
3,4:46,,,PIT 15,10,27,Mason Crosby kicks extra point good,,
3,4:46,,,GNB 35,10,27,"Mason Crosby kicks off 69 yards, returned by Ray-Ray McCloud for 40 yards (tackle by Isaac Yiadom)",,
