Unnamed: 0,PIT,GNB
First Downs,17,23
Rush-Yds-TDs,16-62-1,33-131-1
Cmp-Att-Yd-TD-INT,26-40-232-1-1,20-36-248-2-0
Sacked-Yards,2-12,3-12
Net Pass Yards,220,236
Total Yards,282,367
Fumbles-Lost,1-1,1-1
Turnovers,2,1
Penalties-Yards,5-34,3-25
Third Down Conv.,4-11,9-15
Fourth Down Conv.,0-2,0-1
Time of Possession,25:19,34:41
