Unnamed: 0,CAR,NOR
First Downs,20,13
Rush-Yds-TDs,33-106-1,17-61-2
Cmp-Att-Yd-TD-INT,23-27-207-2-0,20-29-254-1-1
Sacked-Yards,0-0,5-18
Net Pass Yards,207,236
Total Yards,313,297
Fumbles-Lost,0-0,4-1
Turnovers,0,2
Penalties-Yards,2-19,4-38
Third Down Conv.,4-12,4-10
Fourth Down Conv.,1-1,1-1
Time of Possession,34:39,25:21
