Quarter,Time,Tm,Detail,KAN,DEN
1.0,7:30,Chiefs,Connor Barth 26 yard field goal,3,0
,5:53,Chiefs,Maurice Leggett 27 yard interception return (Connor Barth kick),10,0
,0:26,Broncos,Peyton Hillis 18 yard rush (Matt Prater kick),10,7
2.0,8:02,Chiefs,Tony Gonzalez 13 yard pass from Tyler Thigpen (Connor Barth kick),17,7
,1:05,Broncos,Brandon Marshall 12 yard pass from Jay Cutler (Matt Prater kick),17,14
3.0,8:17,Broncos,Matt Prater 33 yard field goal,17,17
4.0,10:10,Broncos,Brandon Marshall 6 yard pass from Jay Cutler (Matt Prater kick),17,24
