Unnamed: 0,KAN,DEN
First Downs,14,27
Rush-Yds-TDs,18-83-0,30-139-1
Cmp-Att-Yd-TD-INT,17-32-187-1-0,32-40-286-2-1
Sacked-Yards,1-10,0-0
Net Pass Yards,177,286
Total Yards,260,425
Fumbles-Lost,0-0,1-0
Turnovers,0,1
Penalties-Yards,1-5,1-5
Third Down Conv.,5-12,9-14
Fourth Down Conv.,1-2,0-0
Time of Possession,23:22,36:38
