Quarter,Time,Tm,Detail,BAL,CLE
1.0,9:06,Browns,Nick Chubb 7 yard rush (Cody Parkey kick),0,7
,3:04,Ravens,Lamar Jackson 5 yard rush (Justin Tucker kick),7,7
2.0,7:49,Ravens,Gus Edwards 11 yard rush (Justin Tucker kick),14,7
,4:16,Browns,Nick Chubb 14 yard rush (Cody Parkey kick),14,14
,0:30,Ravens,Lamar Jackson 17 yard rush (Justin Tucker kick),21,14
3.0,12:47,Ravens,Gus Edwards 19 yard rush (Justin Tucker kick),28,14
,9:06,Browns,Kareem Hunt 5 yard rush (Cody Parkey kick failed),28,20
,4:21,Ravens,J.K. Dobbins 1 yard rush (Justin Tucker kick failed),34,20
4.0,13:36,Browns,Rashard Higgins 21 yard pass from Baker Mayfield (Donovan Peoples-Jones pass from Baker Mayfield),34,28
,6:33,Browns,Baker Mayfield 5 yard rush (Cody Parkey kick),34,35
,1:51,Ravens,Marquise Brown 44 yard pass from Lamar Jackson (J.K. Dobbins run),42,35
,1:04,Browns,Kareem Hunt 22 yard pass from Baker Mayfield (Cody Parkey kick),42,42
,0:02,Ravens,Justin Tucker 55 yard field goal,45,42
,0:00,Ravens,"Safety, Marlon Humphrey tackled Jarvis Landry in end zone",47,42
