Unnamed: 0,BAL,CLE
First Downs,25,33
Rush-Yds-TDs,32-231-5,28-138-4
Cmp-Att-Yd-TD-INT,12-21-176-1-0,29-48-355-2-1
Sacked-Yards,4-22,0-0
Net Pass Yards,154,355
Total Yards,385,493
Fumbles-Lost,1-0,7-0
Turnovers,0,1
Penalties-Yards,8-69,8-75
Third Down Conv.,6-11,5-12
Fourth Down Conv.,1-1,2-2
Time of Possession,28:03,31:57
