Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Damien Harris,NWE,11,37,1,4,18,1.6,19,1.7,2,5.5
Brandon Bolden,NWE,7,46,1,3,5,0.7,41,5.9,0,
Rhamondre Stevenson,NWE,4,34,0,1,4,1.0,30,7.5,0,
Mac Jones,NWE,3,4,0,1,1,0.3,3,1.0,0,
Kendrick Bourne,NWE,1,8,0,1,8,8.0,0,0.0,0,
Jonnu Smith,NWE,1,5,0,1,0,0.0,5,5.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Duke Johnson,MIA,25,117,1,5,38,1.5,79,3.2,3,8.3
Phillip Lindsay,MIA,11,40,0,2,17,1.5,23,2.1,1,11.0
Tua Tagovailoa,MIA,5,38,0,5,26,5.2,12,2.4,0,
Myles Gaskin,MIA,1,-1,0,0,-1,-1.0,0,0.0,0,
Michael Palardy,MIA,1,1,0,,1,1.0,0,0.0,0,
