Quarter,Time,Tm,Detail,NWE,MIA
1.0,7:34,Dolphins,Jaylen Waddle 7 yard pass from Tua Tagovailoa (Jason Sanders kick),0,7
,6:07,Dolphins,Xavien Howard 37 yard interception return (Jason Sanders kick),0,14
2.0,11:09,Dolphins,Jason Sanders 30 yard field goal,0,17
,7:36,Patriots,Brandon Bolden 15 yard rush (Nick Folk kick),7,17
3.0,8:27,Patriots,Nick Folk 43 yard field goal,10,17
,4:31,Dolphins,Duke Johnson 1 yard rush (Jason Sanders kick),10,24
4.0,10:55,Dolphins,Jason Sanders 49 yard field goal,10,27
,6:32,Patriots,Brandon Bolden 18 yard pass from Mac Jones (Nick Folk kick),17,27
,2:53,Patriots,Damien Harris 1 yard rush (Nick Folk kick),24,27
,0:00,Dolphins,Samuel Eguavoen fumble recovery in end zone,24,33
