Unnamed: 0,SFO,ARI
First Downs,21,19
Rush-Yds-TDs,31-101-0,23-153-1
Cmp-Att-Yd-TD-INT,28-37-317-4-0,17-24-241-2-0
Sacked-Yards,1-7,3-37
Net Pass Yards,310,204
Total Yards,411,357
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,8-75,9-65
Third Down Conv.,11-17,2-8
Fourth Down Conv.,1-1,0-0
Time of Possession,34:31,25:29
