Quarter,Time,Tm,Detail,STL,SFO
1.0,10:51,Rams,Torry Holt 3 yard pass from Marc Bulger (Jeff Wilkins kick),7,0
,4:21,49ers,Joe Nedney 28 yard field goal,7,3
2.0,9:42,Rams,Jeff Wilkins 49 yard field goal,10,3
4.0,10:22,Rams,Jeff Wilkins 35 yard field goal,13,3
,6:07,49ers,Joe Nedney 38 yard field goal,13,6
,1:51,49ers,Joe Nedney 46 yard field goal,13,9
