Unnamed: 0,STL,SFO
First Downs,15,13
Rush-Yds-TDs,29-102-0,16-32-0
Cmp-Att-Yd-TD-INT,21-32-155-1-0,20-42-231-0-2
Sacked-Yards,6-50,3-19
Net Pass Yards,105,212
Total Yards,207,244
Fumbles-Lost,1-0,2-0
Turnovers,0,2
Penalties-Yards,3-20,7-39
Third Down Conv.,6-18,3-14
Fourth Down Conv.,1-1,0-0
Time of Possession,34:18,25:42
