Unnamed: 0,CHI,GNB
First Downs,21,21
Rush-Yds-TDs,24-55-0,32-132-0
Cmp-Att-Yd-TD-INT,23-40-283-1-2,19-32-319-6-0
Sacked-Yards,4-27,0-0
Net Pass Yards,256,319
Total Yards,311,451
Fumbles-Lost,2-1,1-1
Turnovers,3,1
Penalties-Yards,11-163,5-50
Third Down Conv.,3-12,6-13
Fourth Down Conv.,0-4,2-2
Time of Possession,30:19,29:41
