Quarter,Time,Tm,Detail,DET,CHI
1.0,6:35,Bears,Eddie Royal 4 yard pass from Brian Hoyer (Connor Barth kick),0,7
2.0,2:19,Lions,Matt Prater 50 yard field goal,3,7
3.0,7:18,Lions,Matt Prater 21 yard field goal,6,7
,3:34,Bears,Zach Miller 6 yard pass from Brian Hoyer (Connor Barth kick),6,14
4.0,10:09,Bears,Connor Barth 25 yard field goal,6,17
,1:52,Lions,Andre Roberts 85 yard punt return (Golden Tate pass from Matthew Stafford),14,17
