Unnamed: 0,DET,CHI
First Downs,16,23
Rush-Yds-TDs,18-66-0,29-114-0
Cmp-Att-Yd-TD-INT,23-36-213-0-2,28-36-302-2-0
Sacked-Yards,2-16,2-8
Net Pass Yards,197,294
Total Yards,263,408
Fumbles-Lost,0-0,0-0
Turnovers,2,0
Penalties-Yards,10-76,8-55
Third Down Conv.,4-12,5-13
Fourth Down Conv.,0-0,0-1
Time of Possession,26:46,33:14
