Quarter,Time,Tm,Detail,KAN,PIT
1,8:37,Chiefs,Jamaal Charles 12 yard rush (Ryan Succop kick),7,0
2,14:20,Chiefs,Ryan Succop 22 yard field goal,10,0
,9:02,Steelers,Shaun Suisham 35 yard field goal,10,3
,3:16,Steelers,Mike Wallace 7 yard pass from Ben Roethlisberger (Shaun Suisham kick),10,10
4,12:37,Steelers,Shaun Suisham 31 yard field goal,10,13
,0:00,Chiefs,Ryan Succop 46 yard field goal,13,13
OT,14:05,Steelers,Shaun Suisham 23 yard field goal,13,16
