Unnamed: 0,KAN,PIT
First Downs,14,14
Rush-Yds-TDs,35-142-1,29-95-0
Cmp-Att-Yd-TD-INT,11-26-154-0-1,16-32-157-1-0
Sacked-Yards,2-6,1-3
Net Pass Yards,148,154
Total Yards,290,249
Fumbles-Lost,1-0,3-1
Turnovers,1,1
Penalties-Yards,6-76,2-19
Third Down Conv.,2-13,6-16
Fourth Down Conv.,1-1,0-1
Time of Possession,29:18,31:37
