Quarter,Time,Down,ToGo,Location,JAX,PIT,Detail,EPB,EPA
1,8:25,4,1,PIT 45,0,0,"Chris Gardocki punts 43 yards, returned by Alvin Pearman for 7 yards (tackle by Sean Morey)",-0.390,-0.150
1,8:15,1,10,JAX 19,0,0,Greg Jones right guard for 12 yards (tackle by Larry Foote and Chris Hope),0.150,1.000
1,7:37,1,10,JAX 31,0,0,Byron Leftwich pass complete to Jimmy Smith for 1 yard (tackle by Deshea Townsend),1.000,0.600
1,6:59,2,9,JAX 32,0,0,Greg Jones right end for 25 yards (tackle by Chris Hope),0.600,2.720
1,6:18,1,10,PIT 43,0,0,Greg Jones up the middle for 5 yards (tackle by Troy Polamalu),2.720,2.850
1,5:39,2,5,PIT 38,0,0,Byron Leftwich right guard for 1 yard (tackle by James Harrison),2.850,2.280
1,4:57,3,4,PIT 37,0,0,Byron Leftwich pass complete to Alvin Pearman for 6 yards (tackle by James Harrison and Travis Kirschke),2.280,3.510
1,4:07,1,10,PIT 31,0,0,Byron Leftwich pass incomplete intended for Derrick Wimbush (defended by James Harrison),3.510,2.970
1,4:02,2,10,PIT 31,0,0,Greg Jones left end for 8 yards (tackle by Troy Polamalu and Chris Hope),2.970,3.340
1,3:18,3,2,PIT 23,0,0,Greg Jones up the middle for no gain (tackle by Larry Foote and Joey Porter),3.340,2.050
1,2:33,4,2,PIT 23,0,0,Greg Jones up the middle for no gain,2.050,-0.540
1,2:29,1,10,PIT 24,0,0,"Willie Parker right guard for no gain (tackle by Marcus Stroud). Penalty on Marvel Smith: Offensive Holding, 10 yards (no play)",0.540,-0.500
1,2:07,1,20,PIT 14,0,0,Tommy Maddox sacked by Reggie Hayward for -7 yards,-0.500,-2.020
1,1:30,2,27,PIT 7,0,0,Tommy Maddox pass incomplete intended for Cedrick Wilson,-2.020,-3.410
1,1:27,3,27,PIT 7,0,0,Tommy Maddox pass incomplete intended for Quincy Morgan is intercepted by Mike Peterson at PIT-21 and returned for 14 yards,-3.410,-5.600
1,1:19,1,7,PIT 7,6,0,"Greg Jones right guard for 7 yards, touchdown",5.600,7.000
1,,,,PIT 2,7,0,Josh Scobee kicks extra point good,0.000,0.000
1,,,,JAX 30,7,0,"Josh Scobee kicks off 38 yards, returned by Dan Kreider for 3 yards (tackle by Jamie Winborn)",0.000,1.270
1,1:08,1,10,PIT 35,7,0,Willie Parker right end for 4 yards (tackle by Mike Peterson and Rashean Mathis),1.270,1.260
1,0:35,2,6,PIT 39,7,0,Tommy Maddox pass incomplete intended for Heath Miller,1.260,0.560
1,0:31,3,6,PIT 39,7,0,"Tommy Maddox pass incomplete intended for Cedrick Wilson. Penalty on Rob Meier: Roughing the Passer, 15 yards (no play)",0.560,2.520
1,0:26,1,10,JAX 46,7,0,"Tommy Maddox pass incomplete intended for Antwaan Randle El. Penalty on Kenny Wright: Defensive Pass Interfere, 29 yards (no play)",2.520,4.440
1,0:20,1,10,JAX 17,7,0,Willie Parker up the middle for 2 yards (tackle by Marcus Stroud and Daryl Smith),4.440,4.150
Quarter,Time,Down,ToGo,Location,JAX,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,JAX 15,7,6,"Tommy Maddox pass complete to Heath Miller for 15 yards, touchdown",4.150,7.000
2,,,,JAX 2,7,7,Jeff Reed kicks extra point good,0.000,0.000
2,,,,PIT 30,7,7,"Jeff Reed kicks off 70 yards, touchback",0.000,0.280
2,14:52,1,10,JAX 20,7,7,Greg Jones up the middle for 3 yards (tackle by Aaron Smith),0.280,0.140
2,14:21,2,7,JAX 23,7,7,Byron Leftwich pass incomplete intended for Reggie Williams,0.140,-0.560
2,14:13,3,7,JAX 23,7,7,Byron Leftwich pass incomplete intended for Jimmy Smith (defended by James Farrior),-0.560,-1.830
2,14:08,4,7,JAX 23,7,13,"Chris Hanson punts 49 yards, returned by Antwaan Randle El for 72 yards, touchdown",-1.830,-7.000
2,,,,JAX 2,7,14,Jeff Reed kicks extra point good,0.000,0.000
2,,,,PIT 30,7,14,"Jeff Reed kicks off 71 yards, returned by Derrick Wimbush for 20 yards (tackle by Sean Morey)",0.000,0.150
2,13:44,1,10,JAX 19,7,14,Byron Leftwich pass complete to Kyle Brady for 8 yards (tackle by Larry Foote and Joey Porter),0.150,0.750
2,13:04,2,2,JAX 27,7,14,Greg Jones left guard for 3 yards (tackle by Aaron Smith),0.750,0.940
2,12:24,1,10,JAX 30,7,14,Byron Leftwich pass complete to Alvin Pearman for 6 yards (tackle by Troy Polamalu and Larry Foote),0.940,1.200
2,11:43,2,4,JAX 36,7,14,Alvin Pearman up the middle for no gain (tackle by James Farrior and Larry Foote),1.200,0.500
2,11:01,3,4,JAX 36,7,14,Byron Leftwich pass complete to Ernest Wilford for 10 yards (tackle by Mike Logan),0.500,1.990
2,10:25,1,10,JAX 46,7,14,Greg Jones up the middle for no gain (tackle by Brett Keisel and Travis Kirschke),1.990,1.450
2,9:46,2,10,JAX 46,7,14,Byron Leftwich pass complete to Alvin Pearman for 6 yards (tackle by Ike Taylor),1.450,1.550
2,9:02,3,4,PIT 48,7,14,Alvin Pearman up the middle for 1 yard (tackle by Mike Logan and Joey Porter),1.550,0.130
2,8:25,4,3,PIT 47,7,14,"Chris Hanson punts 47 yards, touchback",0.130,-0.280
2,8:16,1,10,PIT 20,7,14,Tommy Maddox pass incomplete intended for Antwaan Randle El,0.280,-0.270
2,8:11,2,10,PIT 20,7,14,"Jerome Bettis up the middle for 2 yards (tackle by Mike Peterson and Deke Cooper). Penalty on Kendall Simmons: Offensive Holding, 10 yards (no play)",-0.270,-1.510
2,7:52,2,20,PIT 10,7,14,Tommy Maddox pass incomplete intended for Antwaan Randle El (defended by Reggie Hayward),-1.510,-2.590
2,7:48,3,20,PIT 10,7,14,Tommy Maddox pass complete to Verron Haynes for 11 yards (tackle by Marcus Stroud). Penalty on Quincy Morgan: Illegal Shift (Declined),-2.590,-1.960
2,7:27,4,9,PIT 21,7,14,Chris Gardocki punts 35 yards,-1.960,-1.860
2,7:17,1,10,JAX 44,7,14,"Byron Leftwich sacked by Joey Porter for -10 yards. Byron Leftwich fumbles (forced by Joey Porter), recovered by Chris Naeole at JAX-34",1.860,-0.030
2,6:31,2,20,JAX 34,7,14,Greg Jones up the middle for 2 yards (tackle by Casey Hampton and Troy Polamalu),-0.030,-0.430
2,5:55,3,18,JAX 36,7,14,Byron Leftwich pass incomplete intended for Reggie Williams,-0.430,-0.980
2,5:49,4,18,JAX 36,7,14,"Chris Hanson punts 49 yards, returned by Antwaan Randle El for 11 yards (tackle by Tony Gilbert)",-0.980,-0.670
2,5:37,1,10,PIT 26,7,14,Jerome Bettis up the middle for 2 yards (tackle by John Henderson),0.670,0.400
2,5:00,2,8,PIT 28,7,14,Tommy Maddox pass incomplete intended for Antwaan Randle El (defended by Deon Grant),0.400,-0.300
2,4:53,,,,7,14,Timeout #1 by Pittsburgh Steelers,0.000,-0.300
2,4:53,3,8,PIT 28,7,14,Tommy Maddox pass incomplete intended for Antwaan Randle El,-0.300,-1.500
2,4:48,4,8,PIT 28,7,14,"Chris Gardocki punts 33 yards, returned by Alvin Pearman for 9 yards (tackle by Mike Logan)",-1.500,-2.130
2,4:38,1,10,JAX 48,7,14,Byron Leftwich pass complete to Reggie Williams for 2 yards (tackle by Willie Williams),2.130,1.850
2,4:12,2,8,PIT 50,7,14,Alvin Pearman right end for no gain (tackle by Ike Taylor),1.850,1.160
2,3:30,3,8,PIT 50,7,14,Byron Leftwich pass incomplete intended for Jimmy Smith,1.160,-0.060
2,3:25,4,8,PIT 50,7,14,Chris Hanson punts 47 yards,-0.060,0.380
2,3:17,1,10,PIT 3,7,14,Jerome Bettis left guard for 2 yards (tackle by Daryl Smith and Mike Peterson),-0.380,-0.630
2,2:34,2,8,PIT 5,7,14,Jerome Bettis left tackle for no gain (tackle by Mike Peterson),-0.630,-1.190
2,2:00,3,8,PIT 5,7,14,Verron Haynes left end for 2 yards (tackle by Kenny Wright),-1.190,-2.490
2,1:50,,,,7,14,Timeout #1 by Jacksonville Jaguars,0.000,-2.490
2,1:50,4,6,PIT 7,7,14,Chris Gardocki punts 9 yards,-2.490,-4.510
2,1:43,1,10,PIT 16,7,14,Alvin Pearman left guard for 8 yards (tackle by Willie Williams and Chris Hope),4.510,5.350
2,0:33,2,2,PIT 8,7,14,Greg Jones left tackle for 7 yards (tackle by Larry Foote and Chris Hope),5.350,6.970
2,0:27,1,1,PIT 1,7,14,Greg Jones left guard for no gain (tackle by Larry Foote and Mike Logan),6.970,5.910
2,0:23,,,,7,14,Timeout #2 by Jacksonville Jaguars,0.000,5.910
2,0:23,2,1,PIT 1,7,14,Byron Leftwich pass incomplete intended for John Henderson,5.910,5.170
2,0:19,3,1,PIT 1,7,14,Greg Jones up the middle for no gain (tackle by Joey Porter and James Harrison),5.170,3.550
2,0:03,,,,7,14,Timeout #3 by Jacksonville Jaguars,0.000,3.550
2,0:03,4,1,PIT 1,7,14,"Penalty on Chris Naeole: False Start, 5 yards (no play)",3.550,2.990
2,0:03,4,6,PIT 6,10,14,Josh Scobee 23 yard field goal good,2.990,3.000
Quarter,Time,Down,ToGo,Location,JAX,PIT,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PIT 30,10,14,"Jeff Reed kicks off 61 yards, returned by Derrick Wimbush for 20 yards (tackle by Sean Morey)",0.000,0.870
3,14:55,1,10,JAX 29,10,14,Alvin Pearman up the middle for -4 yards (tackle by Joey Porter),0.870,-0.210
3,14:13,2,14,JAX 25,10,14,Alvin Pearman up the middle for 1 yard,-0.210,-0.760
3,13:34,3,13,JAX 26,10,14,"Byron Leftwich pass complete to Reggie Williams for 41 yards (tackle by Troy Polamalu). Penalty on Troy Polamalu: Unnecessary Roughness, 15 yards",-0.760,4.370
3,12:45,1,10,PIT 18,10,14,Alvin Pearman up the middle for 8 yards (tackle by Willie Williams and Troy Polamalu),4.370,5.230
3,12:27,2,2,PIT 10,10,14,Alvin Pearman up the middle for no gain (tackle by James Farrior),5.230,4.510
3,11:51,,,,10,14,Timeout #1 by Jacksonville Jaguars,0.000,4.510
3,11:51,3,2,PIT 10,16,14,"Byron Leftwich pass complete to Matt Jones for 10 yards, touchdown. Penalty on Troy Polamalu: Roughing the Passer, 15 yards",4.510,7.000
,,,,,,,"PIT challenged the ruling, and the play was upheld.",,
3,,,,PIT 2,17,14,Josh Scobee kicks extra point good,0.000,0.000
3,,,,JAX 45,17,14,"Josh Scobee kicks off 55 yards, touchback",0.000,0.280
3,11:46,1,10,PIT 20,17,14,Tommy Maddox pass complete to Cedrick Wilson for 11 yards,0.280,1.000
3,11:23,1,10,PIT 31,17,14,Willie Parker left tackle for 4 yards (tackle by Akin Ayodele),1.000,1.000
3,10:50,2,6,PIT 35,17,14,Willie Parker up the middle for 12 yards (tackle by Deon Grant),1.000,2.060
3,10:09,1,10,PIT 47,17,14,Willie Parker right end for -3 yards (tackle by Daryl Smith),2.060,1.110
3,9:35,2,13,PIT 44,17,14,Willie Parker left end for -4 yards (tackle by Paul Spicer),1.110,-0.100
3,8:57,3,17,PIT 40,17,14,Tommy Maddox pass incomplete intended for Antwaan Randle El,-0.100,-0.720
3,8:50,4,17,PIT 40,17,14,"Chris Gardocki punts 36 yards, returned by Alvin Pearman for -1 yards (tackle by Andre Frazier)",-0.720,-0.480
3,8:40,1,10,JAX 23,17,14,Byron Leftwich pass complete to Jimmy Smith for 18 yards (tackle by Chris Hope),0.480,1.660
3,8:01,1,10,JAX 41,17,14,Greg Jones up the middle for 2 yards (tackle by Larry Foote and James Farrior),1.660,1.390
3,7:22,2,8,JAX 43,17,14,Alvin Pearman up the middle for 1 yard (tackle by James Harrison and Casey Hampton),1.390,0.830
3,6:42,3,7,JAX 44,17,14,Byron Leftwich pass incomplete intended for Reggie Williams (defended by Ike Taylor),0.830,-0.460
3,6:36,4,7,JAX 44,17,14,"Chris Hanson punts 44 yards, fair catch by Antwaan Randle El",-0.460,0.350
3,6:28,1,10,PIT 12,17,14,Willie Parker left guard for 2 yards (tackle by Akin Ayodele and John Henderson),-0.350,-0.610
3,5:51,2,8,PIT 14,17,14,"Tommy Maddox pass incomplete intended for Antwaan Randle El. Penalty on Rashean Mathis: Defensive Pass Interfere, 17 yards (no play)",-0.610,1.000
3,5:46,1,10,PIT 31,17,14,"Tommy Maddox up the middle for 16 yards (tackle by Deke Cooper). Penalty on Deke Cooper: Unnecessary Roughness, 15 yards",1.000,3.050
3,5:01,1,10,JAX 38,17,14,Willie Parker right end for 4 yards (tackle by Mike Peterson),3.050,3.050
3,4:42,2,6,JAX 34,17,14,Tommy Maddox pass incomplete intended for Antwaan Randle El,3.050,2.340
3,4:35,3,6,JAX 34,17,14,Tommy Maddox pass incomplete intended for Cedrick Wilson,2.340,1.070
3,4:30,4,6,JAX 34,17,14,"Chris Gardocki punts 34 yards, touchback",1.070,-0.280
3,4:23,1,10,JAX 20,17,14,Greg Jones right guard for 1 yard (tackle by James Harrison and Casey Hampton),0.280,-0.130
3,3:43,2,9,JAX 21,17,14,Byron Leftwich pass complete to Kyle Brady for 7 yards (tackle by Joey Porter),-0.130,0.100
3,3:03,3,2,JAX 28,17,14,Byron Leftwich pass complete to Ernest Wilford for 5 yards,0.100,1.140
3,2:37,1,10,JAX 33,17,14,Byron Leftwich pass incomplete intended for Derrick Wimbush,1.140,0.590
3,2:30,2,10,JAX 33,17,14,Alvin Pearman up the middle for 2 yards (tackle by Troy Polamalu and Larry Foote),0.590,0.170
3,1:46,3,8,JAX 35,17,14,Byron Leftwich pass complete to Jimmy Smith for 13 yards,0.170,2.130
3,1:21,1,10,JAX 48,17,14,Alvin Pearman up the middle for -2 yards (tackle by Joey Porter),2.130,1.310
3,0:44,2,12,JAX 46,17,14,Byron Leftwich pass complete to Greg Jones for 10 yards (tackle by James Farrior and Willie Williams),1.310,1.950
3,0:08,,,,17,14,Timeout #2 by Jacksonville Jaguars,0.000,1.950
3,0:08,3,2,PIT 44,17,14,Alvin Pearman right end for -3 yards (tackle by James Farrior),1.950,0.130
Quarter,Time,Down,ToGo,Location,JAX,PIT,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,5,PIT 47,17,14,"Chris Hanson punts 47 yards, touchback",0.130,-0.280
4,14:52,1,10,PIT 20,17,14,Tommy Maddox pass complete to Heath Miller for 5 yards (tackle by Deke Cooper),0.280,0.410
4,14:24,2,5,PIT 25,17,14,"Tommy Maddox pass incomplete intended for Heath Miller. Penalty on Terry Cousin: Illegal Contact, 5 yards (no play)",0.410,0.940
4,14:19,1,10,PIT 30,17,14,Tommy Maddox pass complete to Antwaan Randle El for 5 yards (tackle by Deke Cooper),0.940,1.070
4,13:58,2,5,PIT 35,17,14,Willie Parker up the middle for 6 yards (tackle by Daryl Smith and John Henderson),1.070,1.660
4,13:31,1,10,PIT 41,17,14,Tommy Maddox pass complete to Quincy Morgan for 7 yards (tackle by Rashean Mathis),1.660,2.070
4,13:00,2,3,PIT 48,17,14,Tommy Maddox pass complete to Heath Miller for 27 yards (tackle by Deke Cooper and Terry Cousin),2.070,3.910
4,12:29,1,10,JAX 25,17,14,Tommy Maddox pass incomplete intended for Antwaan Randle El (defended by Rashean Mathis),3.910,3.360
4,12:23,2,10,JAX 25,17,14,Willie Parker left end for 5 yards (tackle by Nick Sorensen and Akin Ayodele),3.360,3.340
4,11:42,3,5,JAX 20,17,14,"Tommy Maddox pass incomplete intended for Quincy Morgan (defended by Kenny Wright). Penalty on Kenny Wright: Defensive Pass Interfere, 5 yards (no play)",3.340,4.580
4,11:38,1,10,JAX 15,17,14,Willie Parker right end for 5 yards (tackle by Rashean Mathis and Akin Ayodele),4.580,4.840
4,11:02,2,5,JAX 10,17,14,Willie Parker up the middle for 2 yards (tackle by John Henderson),4.840,4.450
4,10:23,3,3,JAX 8,17,14,Verron Haynes left end for -3 yards (tackle by Daryl Smith),4.450,2.720
4,9:39,4,6,JAX 11,17,17,Jeff Reed 29 yard field goal good,2.720,3.000
4,,,,PIT 30,17,17,"Jeff Reed kicks off 70 yards, touchback",0.000,0.280
4,9:38,1,10,JAX 20,17,17,Byron Leftwich pass complete to Reggie Williams for 7 yards (tackle by Ike Taylor),0.280,0.680
4,9:05,2,3,JAX 27,17,17,Alvin Pearman up the middle for 7 yards (tackle by Aaron Smith),0.680,1.200
4,8:29,1,10,JAX 34,17,17,Byron Leftwich pass incomplete intended for Jimmy Smith,1.200,0.660
4,8:24,2,10,JAX 34,17,17,Byron Leftwich pass complete to Alvin Pearman for 6 yards (tackle by Casey Hampton and Ike Taylor),0.660,0.760
4,7:39,3,4,JAX 40,17,17,Byron Leftwich sacked by Aaron Smith for -7 yards,0.760,-1.180
4,7:22,4,11,JAX 33,17,17,"Chris Hanson punts 45 yards, returned by Antwaan Randle El for 1 yard (tackle by Gerald Sensabaugh). Penalty on Sean Morey: Illegal Block Above the , 10 yards",-1.180,0.320
4,7:09,1,10,PIT 13,17,17,Tommy Maddox pass incomplete intended for Cedrick Wilson (defended by Mike Peterson),-0.320,-0.770
4,7:06,2,10,PIT 13,17,17,"Tommy Maddox pass complete to Heath Miller for 25 yards (tackle by Deke Cooper and Kenny Wright). Penalty on Deke Cooper: Face Mask (5 Yards), 5 yards",-0.770,1.800
4,6:37,1,10,PIT 43,17,17,Willie Parker right tackle for 2 yards (tackle by Daryl Smith),1.800,1.520
4,5:59,2,8,PIT 45,17,17,Tommy Maddox pass incomplete intended for Willie Parker,1.520,0.830
4,5:54,3,8,PIT 45,17,17,Tommy Maddox pass complete to Quincy Morgan for 26 yards (tackle by Deon Grant),0.830,3.640
4,5:24,1,10,JAX 29,17,17,Willie Parker left end for 4 yards (tackle by Mike Peterson and Kenny Wright),3.640,3.640
4,4:48,2,6,JAX 25,17,17,Willie Parker left guard for -1 yards (tackle by Akin Ayodele),3.640,2.810
4,4:11,3,7,JAX 26,17,17,Tommy Maddox sacked by Reggie Hayward for -2 yards,2.810,1.590
4,3:32,4,9,JAX 28,17,17,Jeff Reed 46 yard field goal no good,1.590,-1.330
4,3:28,1,10,JAX 36,17,17,Byron Leftwich pass incomplete intended for George Wrighster,1.330,0.790
4,3:21,2,10,JAX 36,17,17,Byron Leftwich pass complete to Alvin Pearman for 11 yards (tackle by Willie Williams and Larry Foote),0.790,2.060
4,2:44,1,10,JAX 47,17,17,Alvin Pearman right end for 1 yard (tackle by Ike Taylor and Larry Foote),2.060,1.650
4,2:04,2,9,JAX 48,17,17,Byron Leftwich sacked by James Harrison for -7 yards,1.650,0.040
4,1:59,3,16,JAX 41,17,17,"Byron Leftwich pass incomplete intended for Reggie Williams. Penalty on Aaron Smith: Roughing the Passer, 15 yards (no play)",0.040,2.650
4,1:55,1,10,PIT 44,17,17,Byron Leftwich pass complete to Kyle Brady for no gain,2.650,2.110
4,1:50,2,10,PIT 44,17,17,Byron Leftwich pass incomplete intended for Derrick Wimbush,2.110,1.420
4,1:46,3,10,PIT 44,17,17,Byron Leftwich pass complete to Matt Jones for 10 yards (tackle by Willie Williams),1.420,3.310
4,1:11,1,10,PIT 34,17,17,Alvin Pearman up the middle for 2 yards (tackle by James Farrior),3.310,3.040
4,0:31,2,8,PIT 32,17,17,Byron Leftwich pass incomplete intended for Jimmy Smith (defended by Ike Taylor),3.040,2.350
4,0:26,3,8,PIT 32,17,17,Byron Leftwich pass incomplete intended for Reggie Williams is intercepted by Bryant McFadden at PIT-0,2.350,-0.280
4,0:19,1,10,PIT 20,17,17,Tommy Maddox kneels for -1 yards,0.280,0.940
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,JAX,PIT,Detail,EPB,EPA
,,,,,,,"Steelers won the coin toss, Steelers to receive the overtime kickoff.",,
OT,15:00,1,10,JAX 30,17,17,"Josh Scobee kicks off 70 yards, returned by Quincy Morgan for 74 yards (tackle by Rashean Mathis)",0.940,3.840
OT,14:51,1,10,JAX 26,17,17,"Willie Parker left end for -3 yards (tackle by Akin Ayodele). Willie Parker fumbles (forced by Akin Ayodele), recovered by Willie Parker at JAX-29",3.840,2.890
OT,14:04,2,13,JAX 29,17,17,Willie Parker right guard for 2 yards (tackle by Marcus Stroud and Deke Cooper),2.890,2.480
OT,13:37,3,11,JAX 27,17,17,"Tommy Maddox for no gain. Tommy Maddox fumbles, recovered by Reggie Hayward at JAX-36 (tackle by Tommy Maddox)",2.480,-1.330
OT,13:31,1,10,JAX 36,17,17,Byron Leftwich pass incomplete intended for Jimmy Smith,1.330,0.790
OT,13:26,2,10,JAX 36,17,17,Matt Jones right end for -7 yards (tackle by Willie Williams),0.790,-0.820
OT,12:43,3,17,JAX 29,17,17,"Penalty on Derrick Fletcher: False Start, 5 yards (no play)",-0.820,-1.480
OT,12:04,3,22,JAX 24,17,17,Byron Leftwich pass incomplete intended for Reggie Williams,-1.480,-1.770
OT,11:59,4,22,JAX 24,17,17,"Chris Hanson punts 49 yards, returned by Antwaan Randle El for no gain. Penalty on Derrick Wimbush: Ineligible Downfield Kic, 5 yards (no play)",-1.770,-2.140
OT,11:48,4,27,JAX 19,17,17,"Chris Hanson punts 48 yards, returned by Antwaan Randle El for 2 yards (tackle by Nick Sorensen)",-2.140,-1.270
OT,11:39,1,10,PIT 35,17,17,Tommy Maddox pass incomplete intended for Heath Miller (defended by Mike Peterson),1.270,0.720
OT,11:34,2,10,PIT 35,23,17,"Tommy Maddox pass incomplete intended for Quincy Morgan is intercepted by Rashean Mathis at PIT-41 and returned for 41 yards, touchdown",0.720,-6.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
