Unnamed: 0,JAX,PIT
First Downs,17,16
Rush-Yds-TDs,35-93-1,30-73-0
Cmp-Att-Yd-TD-INT,19-35-177-1-1,11-28-154-1-3
Sacked-Yards,3-24,2-9
Net Pass Yards,153,145
Total Yards,246,218
Fumbles-Lost,1-0,2-1
Turnovers,1,4
Penalties-Yards,10-106,7-80
Third Down Conv.,7-19,1-12
Fourth Down Conv.,0-1,0-0
Time of Possession,36:09,27:27
