Quarter,Time,Tm,Detail,JAX,PIT
1,1:12,Jaguars,Greg Jones 7 yard rush (Josh Scobee kick),7,0
2,14:52,Steelers,Heath Miller 15 yard pass from Tommy Maddox (Jeff Reed kick),7,7
,13:50,Steelers,Antwaan Randle El 72 yard punt return (Jeff Reed kick),7,14
,0:00,Jaguars,Josh Scobee 23 yard field goal,10,14
3,11:46,Jaguars,Matt Jones 10 yard pass from Byron Leftwich (Josh Scobee kick),17,14
4,9:38,Steelers,Jeff Reed 29 yard field goal,17,17
OT,11:24,Jaguars,Rashean Mathis 41 yard interception return,23,17
