Unnamed: 0,PIT,BAL
First Downs,18,12
Rush-Yds-TDs,27-91-0,31-112-0
Cmp-Att-Yd-TD-INT,22-40-246-1-0,11-28-115-0-2
Sacked-Yards,3-26,2-25
Net Pass Yards,220,90
Total Yards,311,202
Fumbles-Lost,3-2,1-0
Turnovers,2,2
Penalties-Yards,6-48,6-40
Third Down Conv.,8-17,4-14
Fourth Down Conv.,0-0,0-0
Time of Possession,31:38,28:22
