Quarter,Time,Tm,Detail,LAR,GNB
1.0,2:11,Packers,Aaron Rodgers 1 yard rush (Mason Crosby kick),0,7
2.0,13:29,Packers,Mason Crosby 45 yard field goal,0,10
,12:42,Rams,Van Jefferson 79 yard pass from Matthew Stafford (Matt Gay kick),7,10
,9:40,Packers,Mason Crosby 28 yard field goal,7,13
,7:20,Rams,Matt Gay 36 yard field goal,10,13
,4:21,Packers,Randall Cobb 7 yard pass from Aaron Rodgers (Mason Crosby kick),10,20
,1:28,Rams,Darrell Henderson 6 yard pass from Matthew Stafford (Matt Gay kick),17,20
3.0,7:18,Packers,AJ Dillon 5 yard pass from Aaron Rodgers (Mason Crosby kick),17,27
,2:28,Packers,Mason Crosby 29 yard field goal,17,30
,1:52,Packers,Rasul Douglas 33 yard interception return (pass failed),17,36
4.0,14:52,Rams,Odell Beckham Jr. 54 yard pass from Matthew Stafford (Cooper Kupp pass from Matthew Stafford),25,36
,0:18,Rams,Matt Gay 39 yard field goal,28,36
