Unnamed: 0,LAR,GNB
First Downs,15,21
Rush-Yds-TDs,20-68-0,32-92-1
Cmp-Att-Yd-TD-INT,21-39-302-3-1,28-45-307-2-0
Sacked-Yards,2-17,1-0
Net Pass Yards,285,307
Total Yards,353,399
Fumbles-Lost,2-2,3-1
Turnovers,3,1
Penalties-Yards,4-30,3-32
Third Down Conv.,4-13,7-19
Fourth Down Conv.,0-1,2-2
Time of Possession,20:20,39:40
