Quarter,Time,Down,ToGo,Location,LAR,GNB,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Packers won the coin toss and deferred, Rams to receive the opening kickoff.",,
1,15:00,,,GNB 35,0,0,"Mason Crosby kicks off 62 yards, returned by Sony Michel for 23 yards (tackle by Dominique Dafney and Isaiah McDuffie)",,
1,14:53,1,10,LAR 26,0,0,Darrell Henderson right end for 5 yards (tackle by De'Vondre Campbell),,
1,14:15,2,5,LAR 31,0,0,Darrell Henderson right end for 6 yards (tackle by De'Vondre Campbell),,
1,13:36,1,10,LAR 37,0,0,Matthew Stafford pass complete short left to Darrell Henderson for 4 yards (tackle by Krys Barnes),,
1,12:53,2,6,LAR 41,0,0,Matthew Stafford pass incomplete short right intended for Tyler Higbee,,
1,12:46,3,6,LAR 41,0,0,Matthew Stafford pass incomplete short middle intended for Odell Beckham (defended by Preston Smith),,
1,12:43,4,6,LAR 41,0,0,Johnny Hekker punts 53 yards downed by Robert Rochell,,
1,12:31,1,10,GNB 6,0,0,Aaron Jones right guard for 3 yards (tackle by Leonard Floyd),,
1,11:54,2,7,GNB 9,0,0,Aaron Rodgers pass complete short right to Marquez Valdes-Scantling for 8 yards (tackle by Jordan Fuller),,
1,11:12,1,10,GNB 17,0,0,Aaron Jones up the middle for 6 yards (tackle by Troy Reeder and Jalen Ramsey),,
1,10:38,2,4,GNB 23,0,0,Aaron Jones right guard for 2 yards (tackle by Aaron Donald),,
1,9:55,3,2,GNB 25,0,0,Aaron Rodgers pass complete short left to Davante Adams for 15 yards (tackle by Troy Reeder),,
1,9:13,1,10,GNB 40,0,0,Aaron Rodgers pass complete short left to AJ Dillon for no gain (tackle by Troy Reeder),,
1,8:34,2,10,GNB 40,0,0,Aaron Rodgers pass complete short middle to AJ Dillon for 2 yards (tackle by Ernest Jones),,
1,7:58,3,8,GNB 42,0,0,Aaron Rodgers pass complete short middle to Randall Cobb for 7 yards (tackle by Donte Deayon and Nick Scott),,
1,7:12,4,1,GNB 49,0,0,AJ Dillon left guard for 2 yards (tackle by Greg Gaines),,
1,6:32,1,10,LAR 49,0,0,AJ Dillon up the middle for 4 yards (tackle by Leonard Floyd and Troy Reeder),,
1,5:59,2,6,LAR 45,0,0,Aaron Jones up the middle for 1 yard (tackle by Von Miller and Greg Gaines),,
1,5:32,3,5,LAR 44,0,0,"Aaron Rodgers pass complete short left to Davante Adams for 7 yards (tackle by Ernest Jones). Penalty on Jalen Ramsey: Illegal Use of Hands / Defense, 5 yards (declined)",,
1,5:13,1,10,LAR 37,0,0,Aaron Jones left guard for -1 yards (tackle by A'Shawn Robinson),,
