Unnamed: 0,KAN,LVR
First Downs,23,16
Rush-Yds-TDs,23-69-2,23-123-1
Cmp-Att-Yd-TD-INT,27-34-298-2-0,23-34-248-1-0
Sacked-Yards,1-7,1-13
Net Pass Yards,291,235
Total Yards,360,358
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,4-40,0-0
Third Down Conv.,5-11,7-14
Fourth Down Conv.,0-0,0-2
Time of Possession,30:45,29:15
