Quarter,Time,Down,ToGo,Location,KAN,LVR,Detail,EPB,EPA
1,3:25,1,10,KAN 34,0,7,Aidan O'Connell pass complete short left to Hunter Renfrow for 6 yards (tackle by L'Jarius Sneed),3.310,3.580
1,3:06,2,4,KAN 28,0,7,Aidan O'Connell pass complete short right to Hunter Renfrow for 7 yards (tackle by Chamarri Conner),3.580,4.170
1,2:42,1,10,KAN 21,0,7,Josh Jacobs up the middle for 1 yard (tackle by Chamarri Conner and Charles Omenihu),4.170,3.630
1,2:04,2,10,KAN 21,0,7,Josh Jacobs right tackle for -2 yards (tackle by Drue Tranquill),3.630,2.810
1,1:24,3,11,KAN 22,0,7,Aidan O'Connell pass complete short right to Davante Adams for 10 yards (tackle by L'Jarius Sneed),2.810,2.780
1,0:35,4,1,KAN 12,0,7,Daniel Carlson 30 yard field goal no good,2.780,-0.280
1,0:32,1,10,KAN 20,0,7,Patrick Mahomes pass complete short left to Isiah Pacheco for 11 yards (tackle by Nate Hobbs),0.280,1.000
Quarter,Time,Down,ToGo,Location,KAN,LVR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,KAN 31,0,7,Isiah Pacheco left end for 1 yard (tackle by Nate Hobbs and Robert Spillane),1.000,0.600
2,14:23,2,9,KAN 32,0,7,Patrick Mahomes pass complete short right to Rashee Rice for 1 yard (tackle by Nate Hobbs),0.600,0.040
2,13:41,3,8,KAN 33,0,7,Patrick Mahomes pass incomplete deep left intended for Justin Watson,0.040,-1.180
2,13:35,4,8,KAN 33,0,7,"Tommy Townsend punts 57 yards, returned by DeAndre Carter for 13 yards (tackle by Chamarri Conner)",-1.180,-0.480
2,13:23,1,10,LVR 23,0,7,"Aidan O'Connell pass complete short middle to Davante Adams for 14 yards (tackle by L'Jarius Sneed). Penalty on L'Jarius Sneed: Defensive Pass Interference, 15 yards (declined)",0.480,1.400
2,12:51,1,10,LVR 37,0,13,"Josh Jacobs left end for 63 yards, touchdown",1.400,7.000
2,12:41,,,KAN 15,0,14,Daniel Carlson kicks extra point good,0.000,0.000
2,12:41,,,LVR 35,0,14,"Daniel Carlson kicks off 65 yards, returned by Richie James for 29 yards (tackle by Curtis Bolton)",0.000,0.870
2,12:35,1,10,KAN 29,0,14,Patrick Mahomes pass incomplete short right intended for Rashee Rice,0.870,0.330
2,12:33,2,10,KAN 29,0,14,Patrick Mahomes pass complete short left to Travis Kelce for 12 yards (tackle by Nate Hobbs),0.330,1.660
2,11:55,1,10,KAN 41,0,14,Isiah Pacheco left tackle for 4 yards (tackle by Janarius Robinson and John Jenkins),1.660,1.660
2,11:17,2,6,KAN 45,0,14,Patrick Mahomes scrambles left tackle for 7 yards (tackle by Jack Jones),1.660,2.390
2,10:38,1,10,LVR 48,0,14,Patrick Mahomes pass complete short middle to Noah Gray for 12 yards (tackle by Nate Hobbs and Robert Spillane),2.390,3.180
2,9:58,1,10,LVR 36,0,14,Patrick Mahomes pass complete short right to Skyy Moore for 18 yards (tackle by Tre'von Moehrig),3.180,4.370
2,9:24,1,10,LVR 18,0,14,Patrick Mahomes pass incomplete short right,4.370,3.800
2,9:18,2,10,LVR 18,0,14,Patrick Mahomes scrambles left end for 2 yards (tackle by Malcolm Koonce),3.800,3.300
2,8:44,,,,,,Timeout #1 by Kansas City Chiefs,,
2,8:44,3,8,LVR 16,0,14,Patrick Mahomes pass complete short middle to Rashee Rice for 10 yards (tackle by Jack Jones),3.300,5.830
2,8:03,1,6,LVR 6,0,14,Clyde Edwards-Helaire left tackle for 5 yards (tackle by John Jenkins and Marcus Epps),5.830,5.910
2,7:21,2,1,LVR 1,0,14,Clyde Edwards-Helaire up the middle for no gain (tackle by Malik Reed and Robert Spillane),5.910,5.170
2,6:44,,,,,,Timeout #2 by Las Vegas Raiders,,
2,6:44,3,1,LVR 1,6,14,"Isiah Pacheco up the middle for 1 yard, touchdown",5.170,7.000
2,6:38,,,LVR 15,7,14,Harrison Butker kicks extra point good,0.000,0.000
2,6:38,,,KAN 35,7,14,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
2,6:38,1,10,LVR 25,7,14,Aidan O'Connell pass complete short left to Josh Jacobs for 8 yards (tackle by L'Jarius Sneed),0.610,1.140
2,5:56,2,2,LVR 33,7,14,Josh Jacobs up the middle for 3 yards (tackle by Bryan Cook and L'Jarius Sneed),1.140,1.330
2,5:12,1,10,LVR 36,7,14,Aidan O'Connell pass incomplete short right intended for Jakobi Meyers,1.330,0.790
2,5:07,2,10,LVR 36,7,14,Zamir White left guard for no gain (tackle by Derrick Nnadi),0.790,0.100
2,4:25,3,10,LVR 36,7,14,Aidan O'Connell pass complete short left to Ameer Abdullah for 2 yards (tackle by Michael Danna),0.100,-0.850
2,3:49,4,8,LVR 38,7,14,"AJ Cole punts 51 yards, returned by Richie James for 10 yards (tackle by Malcolm Koonce)",-0.850,-0.340
2,3:37,1,10,KAN 21,7,14,Patrick Mahomes pass complete short right to Isiah Pacheco for 10 yards (tackle by Divine Deablo),0.340,1.000
2,3:06,1,10,KAN 31,7,14,Patrick Mahomes pass complete short left to Rashee Rice for 9 yards (tackle by Robert Spillane and Tre'von Moehrig),1.000,1.680
2,2:37,2,1,KAN 40,7,14,Isiah Pacheco left guard for 3 yards (tackle by John Jenkins and Jerry Tillery),1.680,1.800
2,2:15,,,,,,Timeout #2 by Kansas City Chiefs,,
2,2:15,1,10,KAN 43,7,14,Patrick Mahomes pass complete deep left to Travis Kelce for 27 yards (tackle by Divine Deablo),1.800,3.580
2,2:00,1,10,LVR 30,7,14,Patrick Mahomes pass complete deep right to Travis Kelce for 23 yards (tackle by Jack Jones),3.580,5.600
2,1:14,1,7,LVR 7,7,14,Patrick Mahomes pass incomplete short left,5.600,4.760
2,1:08,2,7,LVR 7,7,14,Isiah Pacheco up the middle for 4 yards (tackle by Adam Butler),4.760,4.720
2,0:30,3,3,LVR 3,13,14,"Patrick Mahomes pass complete short left to Justin Watson for 3 yards, touchdown",4.720,7.000
2,0:25,,,LVR 15,14,14,Harrison Butker kicks extra point good,0.000,0.000
2,0:25,,,KAN 35,14,14,"Penalty on Justin Watson: Taunting / Offense, 15 yards (accepted) (no play)",0.000,0.000
2,0:25,,,KAN 20,14,14,"Harrison Butker kicks off 78 yards, returned by DeAndre Carter for 25 yards (tackle by Jack Cochrane)",0.000,0.740
2,0:19,1,10,LVR 27,14,14,Aidan O'Connell pass incomplete short right intended for Michael Mayer,0.740,0.200
2,0:14,2,10,LVR 27,14,14,Ameer Abdullah left guard for 11 yards (tackle by Mike Edwards and Justin Reid),0.200,1.470
Quarter,Time,Down,ToGo,Location,KAN,LVR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LVR 35,14,14,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,KAN 25,14,14,Isiah Pacheco right guard for 4 yards (tackle by Malcolm Koonce and Robert Spillane),0.610,0.600
3,14:26,2,6,KAN 29,14,14,Patrick Mahomes pass complete short middle to Travis Kelce for 8 yards (tackle by Divine Deablo),0.600,1.400
3,13:53,1,10,KAN 37,14,14,Patrick Mahomes pass complete short middle to Noah Gray for 13 yards (tackle by Robert Spillane and Divine Deablo),1.400,2.260
3,13:15,1,10,KAN 50,14,14,Isiah Pacheco up the middle for 3 yards (tackle by Robert Spillane and Bilal Nichols),2.260,2.120
3,12:35,2,7,LVR 47,14,14,Isiah Pacheco up the middle for 6 yards (tackle by Luke Masterson),2.120,2.210
3,12:16,3,1,LVR 41,14,14,Isiah Pacheco left guard for 6 yards (tackle by John Jenkins and Luke Masterson),2.210,3.250
3,11:38,1,10,LVR 35,14,14,Patrick Mahomes pass complete short right to Rashee Rice for 1 yard (tackle by Luke Masterson),3.250,2.840
3,10:54,2,9,LVR 34,14,14,Patrick Mahomes pass complete short middle to Rashee Rice for 19 yards (tackle by Amik Robertson),2.840,4.580
3,10:03,1,10,LVR 15,14,14,Patrick Mahomes pass complete short left to Isiah Pacheco for 14 yards (tackle by Nate Hobbs),4.580,6.970
3,9:18,1,1,LVR 1,20,14,"Isiah Pacheco up the middle for 1 yard, touchdown",6.970,7.000
3,9:15,,,LVR 15,21,14,Harrison Butker kicks extra point good,0.000,0.000
3,9:15,,,KAN 35,21,14,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
3,9:15,1,10,LVR 25,21,14,Josh Jacobs right guard for 3 yards (tackle by Justin Reid),0.610,0.470
3,8:40,2,7,LVR 28,21,14,Josh Jacobs right guard for 3 yards (tackle by Drue Tranquill),0.470,0.170
3,7:57,3,4,LVR 31,21,14,Aidan O'Connell pass incomplete deep left intended for Davante Adams,0.170,-1.310
3,7:51,4,4,LVR 31,21,14,AJ Cole punts 29 yards out of bounds,-1.310,-1.600
3,7:44,1,10,KAN 40,21,14,Isiah Pacheco left end for 2 yards (tackle by Robert Spillane),1.600,1.320
3,7:07,2,8,KAN 42,21,14,Patrick Mahomes pass incomplete short left intended for Rashee Rice,1.320,0.630
3,7:03,3,8,KAN 42,21,14,Patrick Mahomes sacked by Maxx Crosby for -7 yards,0.630,-1.040
3,6:23,4,15,KAN 35,21,14,"Tommy Townsend punts 41 yards, fair catch by DeAndre Carter at LV-24",-1.040,-0.540
3,6:14,1,10,LVR 24,21,14,Aidan O'Connell pass complete short right to Michael Mayer for 17 yards (tackle by Trent McDuffie),0.540,1.660
3,5:30,1,10,LVR 41,21,14,Josh Jacobs left guard for 4 yards (tackle by Justin Reid and Willie Gay),1.660,1.660
3,4:48,2,6,LVR 45,21,14,Josh Jacobs up the middle for 2 yards (tackle by Jaylen Watson),1.660,1.220
3,4:08,3,4,LVR 47,21,14,Aidan O'Connell pass complete deep right to Jakobi Meyers for 33 yards (tackle by Trent McDuffie),1.220,4.240
3,3:40,1,10,KAN 20,21,14,Aidan O'Connell pass complete short right to Josh Jacobs for 4 yards (tackle by Joshua Williams),4.240,4.280
3,3:01,2,6,KAN 16,21,14,Josh Jacobs right end for no gain (tackle by Justin Reid),4.280,3.520
3,2:16,3,6,KAN 16,21,14,Aidan O'Connell pass incomplete short middle intended for Davante Adams,3.520,2.400
3,2:13,4,6,KAN 16,21,17,Daniel Carlson 34 yard field goal good,2.400,3.000
3,2:09,,,LVR 35,21,17,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
3,2:09,1,10,KAN 25,21,17,Patrick Mahomes pass complete short middle to Travis Kelce for 16 yards (tackle by Marcus Epps),0.610,1.660
3,1:32,1,10,KAN 41,21,17,Isiah Pacheco right guard for 6 yards (tackle by Robert Spillane),1.660,1.930
3,0:53,2,4,KAN 47,21,17,Patrick Mahomes pass complete short right to Isiah Pacheco for 10 yards (tackle by Robert Spillane),1.930,2.720
3,0:12,1,10,LVR 43,21,17,"Clyde Edwards-Helaire right guard for no gain (tackle by Divine Deablo). Penalty on Jawaan Taylor: Offensive Holding, 10 yards (accepted) (no play)",2.720,2.060
Quarter,Time,Down,ToGo,Location,KAN,LVR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,20,KAN 47,21,17,Patrick Mahomes pass complete short right to Rashee Rice for 9 yards (tackle by Jack Jones),2.060,2.040
4,14:25,2,11,LVR 44,21,17,Patrick Mahomes pass complete short middle to Travis Kelce for 5 yards (tackle by Tre'von Moehrig),2.040,2.010
4,13:48,3,6,LVR 39,27,17,"Patrick Mahomes pass complete short left to Rashee Rice for 39 yards, touchdown",2.010,7.000
4,13:40,,,LVR 15,28,17,Harrison Butker kicks extra point good,0.000,0.000
4,13:40,,,KAN 35,28,17,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
4,13:40,1,10,LVR 25,28,17,Josh Jacobs right guard for 5 yards (tackle by Matt Dickerson and Drue Tranquill),0.610,0.740
4,12:56,2,5,LVR 30,28,17,Aidan O'Connell pass complete short left to Austin Hooper for 14 yards (tackle by Justin Reid),0.740,1.860
4,12:11,1,10,LVR 44,28,17,Aidan O'Connell pass complete short left to Josh Jacobs for 1 yard (tackle by Matt Dickerson),1.860,1.450
4,11:26,2,9,LVR 45,28,17,Josh Jacobs left tackle for 1 yard (tackle by Charles Omenihu),1.450,0.890
4,10:40,3,8,LVR 46,28,17,Aidan O'Connell pass complete short right to Michael Mayer for 10 yards (tackle by Justin Reid),0.890,2.650
4,9:56,1,10,KAN 44,28,17,Aidan O'Connell pass incomplete short middle intended for Josh Jacobs,2.650,2.110
4,9:51,2,10,KAN 44,28,17,Jakobi Meyers pass incomplete short right,2.110,1.420
4,9:45,3,10,KAN 44,28,17,Aidan O'Connell pass incomplete short left intended for Michael Mayer (defended by Trent McDuffie),1.420,0.330
4,9:42,4,10,KAN 44,28,17,AJ Cole punts 37 yards out of bounds,0.330,0.380
4,9:33,1,10,KAN 7,28,17,Patrick Mahomes pass complete deep left to Rashee Rice for 19 yards (tackle by Amik Robertson),-0.380,0.670
4,9:01,1,10,KAN 26,28,17,Isiah Pacheco up the middle for 2 yards (tackle by Malcolm Koonce),0.670,0.400
4,8:25,2,8,KAN 28,28,17,Patrick Mahomes pass complete short middle to Noah Gray for 5 yards (tackle by Robert Spillane),0.400,0.370
4,7:42,3,3,KAN 33,28,17,Patrick Mahomes pass incomplete short right intended for Justin Watson,0.370,-1.180
4,7:36,4,3,KAN 33,28,17,"Tommy Townsend punts 57 yards, fair catch by DeAndre Carter at LV-10",-1.180,0.380
4,7:28,1,10,LVR 10,28,17,Aidan O'Connell pass incomplete short left intended for Josh Jacobs,-0.380,-0.780
4,7:24,2,10,LVR 10,28,17,Aidan O'Connell pass incomplete short right intended for Tre Tucker,-0.780,-1.420
4,7:20,3,10,LVR 10,28,17,Aidan O'Connell pass complete short left to Hunter Renfrow for 9 yards (tackle by Drue Tranquill),-1.420,-2.140
4,6:32,4,1,LVR 19,28,17,Josh Jacobs up the middle for -2 yards (tackle by Drue Tranquill and Chris Jones),-2.140,-4.440
4,6:29,1,10,LVR 17,28,17,Isiah Pacheco right tackle for 8 yards (tackle by Jack Jones),4.440,5.290
4,5:48,2,2,LVR 9,28,17,Isiah Pacheco right end for 4 yards (tackle by Tre'von Moehrig),5.290,6.060
4,5:13,,,,,,Timeout #1 by Las Vegas Raiders,,
4,5:13,1,5,LVR 5,28,17,"Isiah Pacheco right guard for no gain (tackle by Divine Deablo). Penalty on Creed Humphrey: Offensive Holding, 10 yards (accepted) (no play)",6.060,4.370
4,4:44,1,15,LVR 15,28,17,Patrick Mahomes scrambles up the middle for 2 yards (tackle by Jerry Tillery),4.370,3.720
4,4:02,2,13,LVR 13,28,17,Patrick Mahomes pass complete short left to Skyy Moore for 5 yards (tackle by Amik Robertson),3.720,3.580
4,3:20,3,8,LVR 8,28,17,"Penalty on Jawaan Taylor: False Start, 5 yards (accepted) (no play)",3.580,3.060
4,3:20,3,13,LVR 13,28,17,"Patrick Mahomes pass complete short right to Marquez Valdes-Scantling for -1 yards (tackle by Nate Hobbs). Penalty on Trey Smith: Ineligible Downfield Pass, 5 yards (declined)",3.060,2.510
4,3:14,4,14,LVR 14,31,17,Harrison Butker 32 yard field goal good,2.510,3.000
4,3:11,,,KAN 35,31,17,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
4,3:11,1,10,LVR 25,31,17,Aidan O'Connell pass complete short right to Hunter Renfrow for 16 yards (tackle by Bryan Cook),0.610,1.660
4,2:43,1,10,LVR 41,31,17,Aidan O'Connell pass complete short right to Josh Jacobs for 2 yards (tackle by L'Jarius Sneed),1.660,1.390
4,2:39,2,8,LVR 43,31,17,Aidan O'Connell pass incomplete short right intended for Austin Hooper (defended by Jaylen Watson),1.390,0.700
4,2:35,3,8,LVR 43,31,17,Aidan O'Connell sacked by George Karlaftis for -13 yards,0.700,-1.370
4,2:00,4,21,LVR 30,31,17,Aidan O'Connell pass complete short right to Jakobi Meyers for 4 yards (tackle by Michael Danna),-1.370,-3.310
4,1:51,1,10,LVR 34,31,17,Clyde Edwards-Helaire left guard for no gain (tackle by Tyree Wilson),3.310,2.770
4,1:09,2,10,LVR 34,31,17,Patrick Mahomes kneels for -1 yards,2.770,1.950
4,0:36,3,11,LVR 35,31,17,Patrick Mahomes kneels for -1 yards,1.950,0.880
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
