Quarter,Time,Down,ToGo,Location,PHI,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss and deferred, Cowboys to receive the opening kickoff.",,
1,15:00,,,PHI 35,0,0,"Jake Elliott kicks off 63 yards, returned by Ryan Switzer for 61 yards (tackle by Jake Elliott)",0.000,-3.120
1,14:48,1,10,PHI 37,0,0,Dak Prescott pass complete short middle to Jason Witten for 7 yards (tackle by Jalen Mills),3.120,3.520
1,14:13,2,3,PHI 30,0,0,Alfred Morris middle for no gain (tackle by Fletcher Cox),3.520,2.810
1,13:32,3,3,PHI 30,0,0,Dak Prescott pass incomplete short middle intended for Dez Bryant,2.810,1.480
1,13:27,4,3,PHI 30,0,3,Mike Nugent 48 yard field goal good,1.480,3.000
1,13:22,,,DAL 35,0,3,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.610
1,13:22,1,10,PHI 25,0,3,Carson Wentz pass complete short right to Torrey Smith for 10 yards (tackle by Anthony Brown),0.610,1.270
1,12:49,1,10,PHI 35,0,3,Carson Wentz pass complete short right to Torrey Smith for 7 yards (tackle by Jourdan Lewis),1.270,1.670
1,12:18,2,3,PHI 42,0,3,Jay Ajayi left guard for 6 yards (tackle by Demarcus Lawrence),1.670,2.130
1,11:39,1,10,PHI 48,0,3,Carson Wentz pass complete short left to Jay Ajayi for 10 yards (tackle by Anthony Hitchens),2.130,2.790
1,10:54,1,10,DAL 42,0,3,"Penalty on Demarcus Lawrence: Neutral Zone Infraction, 5 yards (no play)",2.790,3.520
1,10:32,1,5,DAL 37,0,3,LeGarrette Blount left tackle for 4 yards (tackle by Justin Durant and Anthony Hitchens),3.520,3.460
1,9:55,2,1,DAL 33,0,3,LeGarrette Blount middle for 7 yards (tackle by Justin Durant),3.460,3.840
1,9:16,1,10,DAL 26,0,3,Carson Wentz pass complete deep left to Kenjon Barner for 22 yards,3.840,6.280
1,9:11,1,4,DAL 4,6,3,"Kenjon Barner left guard for 4 yards, touchdown",6.280,7.000
1,9:03,,,DAL 15,7,3,Jake Elliott kicks extra point good,0.000,0.000
1,9:03,,,PHI 35,7,3,"Jake Elliott kicks off 64 yards, returned by Ryan Switzer for 25 yards (tackle by Patrick Robinson)",0.000,-0.670
1,8:58,1,10,DAL 26,7,3,Alfred Morris left guard for no gain (tackle by Joe Walker and Mychal Kendricks),0.670,0.130
1,8:23,2,10,DAL 26,7,3,Alfred Morris right end for 22 yards (tackle by Brandon Graham),0.130,2.130
1,7:42,1,10,DAL 48,7,3,Dak Prescott pass complete short right to Noah Brown for 14 yards (tackle by Malcolm Jenkins),2.130,3.050
1,7:13,1,10,PHI 38,7,3,Alfred Morris left tackle for 1 yard (tackle by Brandon Graham and Vinny Curry),3.050,2.640
