Quarter,Time,Down,ToGo,Location,NYG,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss, Browns to receive the opening kickoff.",,
1,15:00,,,NYG 30,0,0,"John Carney kicks off 70 yards, touchback",0.000,0.280
1,14:59,1,10,CLE 20,0,0,Derek Anderson pass incomplete short left intended for Donte' Stallworth. Penalty on Ryan Tucker: Illegal Formation (Declined),0.280,-0.270
1,14:58,2,10,CLE 20,0,0,Jamal Lewis right guard for 6 yards (tackle by Justin Tuck),-0.270,-0.160
1,14:20,3,4,CLE 26,0,0,Derek Anderson pass complete short left to Braylon Edwards for 49 yards (tackle by James Butler),-0.160,3.910
1,13:48,1,10,NYG 25,0,0,Jamal Lewis right guard for 8 yards (tackle by James Butler and Antonio Pierce),3.910,4.550
1,13:11,2,2,NYG 17,0,0,Jamal Lewis right guard for 5 yards (tackle by Justin Tuck),4.550,4.780
1,12:29,1,10,NYG 12,0,0,"Penalty on Eric Steinbach: False Start, 5 yards (no play)",4.780,4.320
1,12:10,1,15,NYG 17,0,0,Jamal Lewis right guard for 1 yard (tackle by Justin Tuck and Mathias Kiwanuka),4.320,3.530
1,11:29,2,14,NYG 16,0,0,"Derek Anderson for no gain. Derek Anderson fumbles, recovered by Derek Anderson at NYG-17",3.530,2.840
1,10:51,3,15,NYG 17,0,0,Derek Anderson pass complete short right to Donte' Stallworth for 6 yards (tackle by Kevin Dockery),2.840,2.700
1,10:11,4,9,NYG 11,0,3,Phil Dawson 28 yard field goal good,2.700,3.000
1,10:11,,,CLE 30,0,3,"Phil Dawson kicks off 44 yards, returned by Darcy Johnson for 2 yards (tackle by Brandon McDonald)",0.000,0.810
1,10:05,1,10,NYG 28,0,3,Brandon Jacobs left end for 7 yards (tackle by Mike Adams and Andra Davis),0.810,1.210
1,9:23,2,3,NYG 35,0,3,Eli Manning pass complete short middle to Steve Smith for 10 yards (tackle by D'Qwell Jackson),1.210,1.930
1,8:44,1,10,NYG 45,0,3,Brandon Jacobs left tackle for 6 yards (tackle by Andra Davis),1.930,2.190
1,8:02,2,4,CLE 49,0,3,Eli Manning pass complete short right to Michael Matthews for 13 yards (tackle by Brodney Pool and D'Qwell Jackson),2.190,3.180
1,7:16,1,10,CLE 36,0,3,Eli Manning pass incomplete deep middle intended for Kevin Boss,3.180,2.640
1,7:10,2,10,CLE 36,0,3,Brandon Jacobs left guard for 5 yards (tackle by D'Qwell Jackson and Andra Davis),2.640,2.610
1,6:27,3,5,CLE 31,0,3,Eli Manning pass incomplete deep left intended for Plaxico Burress is intercepted by Brodney Pool at CLE-5 and returned for 24 yards,2.610,-0.870
1,6:12,1,10,CLE 29,0,3,Josh Cribbs left tackle for 12 yards (tackle by Gerris Wilkinson),0.870,1.660
1,5:30,1,10,CLE 41,0,3,Derek Anderson pass complete short right to Jamal Lewis for 4 yards (tackle by Barry Cofield),1.660,1.660
1,4:52,2,6,CLE 45,0,3,Jamal Lewis right tackle for 4 yards (tackle by Justin Tuck),1.660,1.490
1,4:14,3,2,CLE 49,0,3,Jamal Lewis right tackle for 3 yards (tackle by Kenny Phillips and Chase Blackburn),1.490,2.390
1,4:14,1,10,NYG 48,0,3,"Penalty on Rex Hadnot: False Start, 5 yards (no play)",2.390,2.060
1,3:09,1,15,CLE 47,0,3,Derek Anderson pass incomplete short left intended for Donte' Stallworth,2.060,1.170
1,3:04,2,15,CLE 47,0,3,Derek Anderson pass complete short middle to Donte' Stallworth for 13 yards (tackle by James Butler),1.170,2.210
1,2:22,3,2,NYG 40,0,3,Derek Anderson pass complete short right to Steve Heiden for 9 yards (tackle by Aaron Ross and Kevin Dockery),2.210,3.510
1,1:35,1,10,NYG 31,0,3,Jamal Lewis right guard for 2 yards (tackle by Chase Blackburn),3.510,3.240
1,0:53,2,8,NYG 29,0,3,"Derek Anderson pass incomplete short right intended for Steve Heiden. Penalty on Braylon Edwards: Illegal Shift, 5 yards (no play)",3.240,2.560
1,0:47,2,13,NYG 34,0,3,Derek Anderson pass incomplete short left intended for Donte' Stallworth (defended by Jay Alford),2.560,1.880
1,0:43,3,13,NYG 34,0,3,Derek Anderson pass incomplete short middle intended for Donte' Stallworth,1.880,1.060
1,0:38,4,13,NYG 34,0,3,Phil Dawson 51 yard field goal no good,1.060,-1.730
1,0:33,1,10,NYG 42,0,3,Eli Manning pass complete deep middle to Kevin Boss for 24 yards (tackle by Mike Adams),1.730,3.310
Quarter,Time,Down,ToGo,Location,NYG,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CLE 34,0,3,Derrick Ward left guard for 17 yards (tackle by D'Qwell Jackson),3.310,4.440
2,14:19,1,10,CLE 17,0,3,Derrick Ward left tackle for 3 yards (tackle by Mike Adams),4.440,4.320
2,13:45,2,7,CLE 14,0,3,Derrick Ward right guard for 3 yards (tackle by Shaun Rogers),4.320,4.100
2,12:58,3,4,CLE 11,0,3,Eli Manning pass complete short middle to Steve Smith for 4 yards (tackle by Brandon McDonald),4.100,5.600
2,12:16,1,7,CLE 7,6,3,"Brandon Jacobs left tackle for 7 yards, touchdown",5.600,7.000
2,12:16,,,CLE 2,7,3,John Carney kicks extra point good,0.000,0.000
2,12:16,,,NYG 30,7,3,"John Carney kicks off 66 yards, returned by Josh Cribbs for 22 yards (tackle by Zak DeOssie)",0.000,0.670
2,12:03,1,10,CLE 26,7,3,Derek Anderson pass complete deep right to Braylon Edwards for 70 yards (tackle by Aaron Ross),0.670,6.280
2,11:17,1,10,CLE 26,7,3,Timeout #1 by Cleveland Browns,0.670,6.280
2,11:17,1,4,NYG 4,7,3,Derek Anderson pass incomplete short middle intended for Syndric Steptoe (defended by Antonio Pierce),6.280,5.340
2,11:14,2,4,NYG 4,7,9,"Jamal Lewis right end for 4 yards, touchdown",5.340,7.000
2,11:14,,,NYG 2,7,10,Phil Dawson kicks extra point good,0.000,0.000
2,11:14,,,CLE 30,7,10,"Phil Dawson kicks off 73 yards, returned by Ahmad Bradshaw for 33 yards (tackle by Travis Daniels)",0.000,0.940
2,11:01,1,10,NYG 30,7,10,Eli Manning pass incomplete short right intended for Amani Toomer (defended by Eric Wright),0.940,0.390
2,10:58,1,10,NYG 30,7,10,Timeout #1 by New York Giants,0.940,0.390
2,10:58,2,10,NYG 30,7,10,Brandon Jacobs right tackle for 4 yards (tackle by Corey Williams and Andra Davis),0.390,0.230
2,10:16,3,6,NYG 34,7,10,"Eli Manning pass complete short middle to Plaxico Burress for 25 yards (tackle by Terry Cousin). Penalty on Domenik Hixon: Illegal Block Above the Waist, 10 yards",0.230,2.190
2,9:45,1,10,NYG 49,7,10,Derrick Ward left tackle for 4 yards (tackle by Leon Williams and Terry Cousin),2.190,2.190
2,9:03,2,6,CLE 47,7,10,"Eli Manning pass incomplete deep right intended for Plaxico Burress. Penalty on Rich Seubert: Offensive Holding, 10 yards (no play)",2.190,0.840
2,8:55,2,16,NYG 43,7,10,Eli Manning pass incomplete deep left intended for Plaxico Burress (defended by Brandon McDonald),0.840,0.170
2,8:49,3,16,NYG 43,7,10,Eli Manning pass complete short right to Derrick Ward for no gain,0.170,-0.520
2,8:12,4,16,NYG 43,7,10,"Penalty on Reuben Droughns: False Start, 5 yards (no play)",-0.520,-0.850
2,7:59,4,21,NYG 38,7,10,"Jeff Feagles punts 39 yards, out of bounds",-0.850,-0.480
2,7:51,1,10,CLE 23,7,10,Lawrence Vickers left guard for 2 yards (tackle by Antonio Pierce),0.480,0.200
2,7:12,2,8,CLE 25,7,10,"Penalty on Rex Hadnot: False Start, 5 yards (no play)",0.200,-0.470
2,6:47,2,8,CLE 25,7,10,Timeout #2 by Cleveland Browns,0.200,-0.470
2,6:47,2,13,CLE 20,7,10,Derek Anderson pass complete short right to Steve Heiden for 8 yards (tackle by Antonio Pierce),-0.470,-0.100
2,6:08,3,5,CLE 28,7,10,Derek Anderson pass complete short right to Braylon Edwards for 10 yards (tackle by Corey Webster),-0.100,1.470
2,5:30,1,10,CLE 38,7,10,Jamal Lewis right guard for 3 yards (tackle by Antonio Pierce),1.470,1.330
2,4:53,2,7,CLE 41,7,10,Derek Anderson pass complete short right to Steve Heiden for 14 yards (tackle by Corey Webster),1.330,2.590
2,4:16,1,10,NYG 45,7,10,Jamal Lewis left tackle for 1 yard (tackle by Danny Clark),2.590,2.180
2,3:39,2,9,NYG 44,7,10,Jamal Lewis left guard for 2 yards (tackle by Jay Alford and Gerris Wilkinson),2.180,1.750
2,3:10,3,7,NYG 42,7,10,Derek Anderson pass complete short right to Syndric Steptoe for 20 yards (tackle by James Butler),1.750,4.110
2,2:23,1,10,NYG 22,7,16,"Derek Anderson pass complete deep middle to Darnell Dinkins for 22 yards, touchdown",4.110,7.000
2,2:23,,,NYG 2,7,17,Phil Dawson kicks extra point good,0.000,0.000
2,2:23,,,CLE 30,7,17,"Phil Dawson kicks off 70 yards, touchback",0.000,0.280
2,2:15,1,10,NYG 20,7,17,Eli Manning pass complete short middle to Steve Smith for 13 yards (tackle by D'Qwell Jackson),0.280,1.140
2,2:00,1,10,NYG 33,7,17,Derrick Ward right tackle for 3 yards (tackle by D'Qwell Jackson),1.140,1.000
2,1:39,2,7,NYG 36,7,17,Eli Manning pass complete short middle to Steve Smith for 8 yards (tackle by Brodney Pool). Penalty on Willie McGinest: Defensive Holding (Declined),1.000,1.860
2,1:33,1,10,NYG 44,7,17,Eli Manning pass complete deep right to Steve Smith for 21 yards (tackle by Leon Williams),1.860,3.250
2,1:25,1,10,NYG 44,7,17,Timeout #2 by New York Giants,1.860,3.250
2,1:25,1,10,CLE 35,7,17,Eli Manning pass complete short right to Steve Smith for 14 yards (tackle by Brodney Pool),3.250,4.170
2,1:01,1,10,CLE 21,7,17,Eli Manning pass incomplete short right intended for Domenik Hixon (defended by Eric Wright),4.170,3.630
2,0:58,2,10,CLE 21,7,17,Eli Manning pass incomplete short right intended for Domenik Hixon,3.630,2.940
2,0:54,3,10,CLE 21,7,17,"Eli Manning sacked by Corey Williams for -4 yards. Eli Manning fumbles (forced by Corey Williams), recovered by D'Qwell Jackson at CLE-21 (tackle by Rich Seubert). Penalty on Mike Adams: Illegal Contact, 5 yards (no play)",2.940,4.510
,,,,,,,"Replay Assistant challenged the fumble ruling, and the play was upheld.",,
2,0:47,1,10,CLE 16,7,17,Derrick Ward right guard for 7 yards (tackle by Nick Sorensen),4.510,5.160
2,0:25,2,3,CLE 9,7,17,Eli Manning pass complete short right to Domenik Hixon for 6 yards (tackle by Eric Wright),5.160,6.510
2,0:17,2,3,CLE 9,7,17,Timeout #3 by New York Giants,5.160,6.510
2,0:17,1,3,CLE 3,13,17,"Eli Manning pass complete short left to Plaxico Burress for 3 yards, touchdown",6.510,7.000
2,0:17,,,CLE 2,14,17,John Carney kicks extra point good,0.000,0.000
2,,,,NYG 30,,,"John Carney kicks off 43 yards, returned by Darnell Dinkins for 12 yards (tackle by Zak DeOssie)",,
2,0:08,1,10,CLE 39,14,17,Derek Anderson pass incomplete short left intended for Steve Heiden,1.530,0.990
2,0:05,2,10,CLE 39,14,17,Derek Anderson pass incomplete short left intended for Steve Heiden,0.990,0.300
2,0:01,3,10,CLE 39,14,17,Derek Anderson kneels for -1 yards,0.300,-0.850
Quarter,Time,Down,ToGo,Location,NYG,CLE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 30,14,17,"Phil Dawson kicks off 70 yards, touchback",0.000,0.280
3,15:00,1,10,NYG 20,14,17,Eli Manning pass incomplete deep middle intended for Plaxico Burress is intercepted by Brandon McDonald at CLE-33 and returned for 21 yards,0.280,-2.520
3,14:48,1,10,NYG 46,14,17,Jamal Lewis left guard for no gain (tackle by Fred Robbins and Danny Clark),2.520,1.980
3,14:07,2,10,NYG 46,14,17,Jerome Harrison left end for 33 yards (tackle by Barry Cofield),1.980,4.710
3,13:20,1,10,NYG 13,14,17,Jamal Lewis left guard for 3 yards (tackle by Bryan Kehl),4.710,4.580
3,12:46,2,7,NYG 10,14,17,Jamal Lewis left guard for 2 yards (tackle by Bryan Kehl and Michael Johnson),4.580,4.100
3,12:03,3,5,NYG 8,14,17,Derek Anderson pass incomplete short left intended for Donte' Stallworth,4.100,2.970
3,11:58,4,5,NYG 8,14,20,Phil Dawson 26 yard field goal good,2.970,3.000
3,11:58,,,CLE 30,14,20,"Phil Dawson kicks off 70 yards, touchback",0.000,0.280
3,11:55,1,10,NYG 20,14,20,Brandon Jacobs for 4 yards (tackle by D'Qwell Jackson),0.280,0.270
3,11:25,2,6,NYG 24,14,20,Eli Manning pass incomplete deep left intended for Plaxico Burress,0.270,-0.430
3,11:19,2,6,NYG 24,14,20,Timeout #1 by New York Giants,0.270,-0.430
3,11:19,3,6,NYG 24,14,20,Eli Manning middle for 13 yards (tackle by Brodney Pool),-0.430,1.400
3,10:36,1,10,NYG 37,14,20,Brandon Jacobs for 11 yards (tackle by Brandon McDonald),1.400,2.130
3,10:09,1,10,NYG 48,14,20,Brandon Jacobs right tackle for -2 yards (tackle by Brodney Pool),2.130,1.310
3,9:26,2,12,NYG 46,14,20,Brandon Jacobs right tackle for 2 yards (tackle by Corey Williams and Willie McGinest),1.310,0.890
3,8:42,3,10,NYG 48,14,20,Eli Manning sacked by Alex Hall for -4 yards,0.890,-0.460
3,8:20,4,14,NYG 44,14,20,"Jeff Feagles punts 46 yards, returned by Josh Cribbs for 3 yards (tackle by Terrell Thomas)",-0.460,0.320
3,8:11,1,10,CLE 13,14,20,"Penalty on Lawrence Vickers: False Start, 5 yards (no play)",-0.320,-0.570
3,8:11,1,15,CLE 8,14,20,"Penalty on Justin Tuck: Neutral Zone Infraction, 5 yards (no play)",-0.570,-0.320
3,8:10,1,10,CLE 13,14,20,Jamal Lewis right guard for 5 yards (tackle by Bryan Kehl),-0.320,-0.140
3,7:36,2,5,CLE 18,14,20,Jamal Lewis left guard for 11 yards (tackle by Bryan Kehl),-0.140,0.870
3,6:51,1,10,CLE 29,14,20,Derek Anderson pass incomplete short right intended for Darnell Dinkins,0.870,0.330
3,6:43,2,10,CLE 29,14,20,Jerome Harrison left guard for 8 yards (tackle by Danny Clark),0.330,0.700
3,6:06,3,2,CLE 37,14,20,Jason Wright left guard for 3 yards (tackle by Mathias Kiwanuka),0.700,1.600
3,5:20,1,10,CLE 40,14,20,Derek Anderson pass incomplete short right intended for Darnell Dinkins,1.600,1.050
3,5:20,2,10,CLE 40,14,20,"Penalty on Braylon Edwards: False Start, 5 yards (no play)",1.050,0.380
3,5:12,2,15,CLE 35,14,20,Derek Anderson pass complete short right to Steve Heiden for 11 yards (tackle by James Butler),0.380,1.160
3,4:32,3,4,CLE 46,14,20,Derek Anderson pass complete short middle to Steve Heiden for 17 yards (tackle by Kenny Phillips and Michael Johnson),1.160,3.120
3,3:47,1,10,NYG 37,14,20,"Jamal Lewis left guard for 5 yards (tackle by Bryan Kehl). Penalty on Ryan Tucker: Offensive Holding, 10 yards (no play)",3.120,2.460
3,3:30,1,20,NYG 47,14,20,Derek Anderson pass complete short right to Braylon Edwards for 14 yards (tackle by Kenny Phillips),2.460,3.110
3,2:50,2,6,NYG 33,14,20,Derek Anderson pass incomplete deep right intended for Braylon Edwards,3.110,2.410
3,2:43,3,6,NYG 33,14,20,Derek Anderson pass complete short right to Jason Wright for 6 yards (tackle by Kenny Phillips and Jay Alford),2.410,3.780
3,2:43,1,10,NYG 27,14,20,"Penalty on Derek Anderson: Delay of Game, 5 yards (no play)",3.780,3.450
3,1:31,1,15,NYG 32,14,20,Derek Anderson pass complete short right to Jerome Harrison for 8 yards (tackle by Renaldo Wynn),3.450,3.640
3,1:31,2,7,NYG 24,14,20,"Penalty on Hank Fraley: False Start, 5 yards (no play)",3.640,2.960
3,0:44,2,12,NYG 29,14,20,Derek Anderson pass complete deep right to Jerome Harrison for 18 yards (tackle by Corey Webster),2.960,4.840
Quarter,Time,Down,ToGo,Location,NYG,CLE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,NYG 11,14,26,"Derek Anderson pass complete short right to Braylon Edwards for 11 yards, touchdown",4.840,7.000
4,15:00,,,NYG 2,14,27,Phil Dawson kicks extra point good,0.000,0.000
4,15:00,,,CLE 30,14,27,"Phil Dawson kicks off 68 yards, returned by Ahmad Bradshaw for 12 yards (tackle by Shantee Orr)",0.000,-0.280
4,14:48,1,10,NYG 14,14,27,Brandon Jacobs left tackle for 3 yards (tackle by Shaun Rogers),-0.280,-0.370
4,14:11,2,7,NYG 17,14,27,"Eli Manning pass complete short left to Plaxico Burress for 14 yards (tackle by Brandon McDonald). Penalty on Brandon Jacobs: Face Mask (15 Yards), 8 yards (no play)",-0.370,-1.150
4,14:11,2,15,NYG 9,14,27,Eli Manning pass complete short right to Steve Smith for 11 yards,-1.150,-0.680
4,12:53,3,4,NYG 20,14,27,Eli Manning pass complete short middle to Steve Smith for 12 yards (tackle by Mike Adams),-0.680,1.070
4,12:15,1,10,NYG 32,14,27,Brandon Jacobs right guard for no gain (tackle by Eric Wright),1.070,0.530
4,11:33,2,10,NYG 32,14,27,Brandon Jacobs left tackle for 8 yards (tackle by D'Qwell Jackson),0.530,0.890
4,10:52,3,2,NYG 40,14,27,Eli Manning pass complete short left to Plaxico Burress for 17 yards (tackle by Travis Daniels),0.890,2.720
4,10:30,1,10,CLE 43,14,27,Derrick Ward right guard for 13 yards (tackle by Leon Williams and Brodney Pool),2.720,3.580
4,9:51,1,10,CLE 30,14,27,Derrick Ward left guard for 15 yards (tackle by Terry Cousin),3.580,4.580
4,9:05,1,10,CLE 15,14,27,Brandon Jacobs left tackle for 6 yards (tackle by Mike Adams),4.580,5.030
4,8:22,2,4,CLE 9,14,33,"Eli Manning pass incomplete short right intended for Amani Toomer is intercepted by Eric Wright at CLE-6 and returned for 94 yards, touchdown",5.030,-7.000
4,8:07,2,4,CLE 9,14,33,Timeout #1 by Cleveland Browns,5.030,0.000
4,8:07,,,,14,35,"Two Point Attempt: Derek Anderson pass complete to Braylon Edwards, conversion succeeds",1.000,1.000
4,8:07,,,CLE 30,14,35,"Phil Dawson kicks off 54 yards, returned by Ahmad Bradshaw for 21 yards (tackle by Jerome Harrison)",0.000,1.400
4,7:58,1,10,NYG 37,14,35,Derrick Ward right guard for 18 yards (tackle by Nick Sorensen),1.400,2.590
4,7:28,1,10,CLE 45,14,35,Eli Manning pass complete short left to Plaxico Burress for 13 yards (tackle by Nick Sorensen),2.590,3.450
4,6:59,1,10,CLE 32,14,35,Derrick Ward right guard for 18 yards (tackle by Nick Sorensen),3.450,4.650
4,6:14,1,10,CLE 14,14,35,Eli Manning pass complete short right to Steve Smith for 1 yard (tackle by Brandon McDonald),4.650,4.160
4,5:26,1,10,CLE 14,14,35,Timeout #2 by New York Giants,4.650,4.160
4,5:26,2,9,CLE 13,14,35,Eli Manning pass complete short right to Derrick Ward for 1 yard (tackle by D'Qwell Jackson),4.160,3.430
4,4:45,3,8,CLE 12,14,35,Brandon Jacobs right guard for 6 yards (tackle by Alex Hall and D'Qwell Jackson),3.430,3.010
4,4:05,4,2,CLE 6,14,35,Eli Manning pass incomplete short right intended for Steve Smith,3.010,0.380
4,3:58,1,10,CLE 6,14,35,Jamal Lewis right guard for 1 yard (tackle by Barry Cofield),-0.380,-0.710
4,3:15,2,9,CLE 7,14,35,Jamal Lewis right guard for 2 yards (tackle by Justin Tuck and Fred Robbins),-0.710,-1.070
4,3:04,2,9,CLE 7,14,35,Timeout #3 by New York Giants,-0.710,-1.070
4,3:04,3,7,CLE 9,14,35,Jamal Lewis right tackle for 13 yards (tackle by Bryan Kehl),-1.070,0.410
4,2:22,1,10,CLE 22,14,35,Jamal Lewis right tackle for 4 yards (tackle by Kevin Dockery),0.410,0.410
4,2:00,2,6,CLE 26,14,35,Jamal Lewis right guard for 8 yards (tackle by Kevin Dockery and Bryan Kehl),0.410,1.200
4,1:17,1,10,CLE 34,14,35,Derek Anderson kneels for no gain,1.200,0.660
4,0:38,2,10,CLE 34,14,35,Derek Anderson kneels for -1 yards,0.660,-0.160
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
