Quarter,Time,Tm,Detail,NYG,CLE
1.0,10:08,Browns,Phil Dawson 28 yard field goal,0,3
2.0,12:09,Giants,Brandon Jacobs 7 yard rush (John Carney kick),7,3
,11:10,Browns,Jamal Lewis 4 yard rush (Phil Dawson kick),7,10
,2:15,Browns,Darnell Dinkins 22 yard pass from Derek Anderson (Phil Dawson kick),7,17
,0:12,Giants,Plaxico Burress 3 yard pass from Eli Manning (John Carney kick),14,17
3.0,11:55,Browns,Phil Dawson 26 yard field goal,14,20
4.0,14:55,Browns,Braylon Edwards 11 yard pass from Derek Anderson (Phil Dawson kick),14,27
,8:07,Browns,Eric Wright 94 yard interception return (Braylon Edwards pass from Derek Anderson),14,35
