Quarter,Time,Tm,Detail,CHI,BUF
2.0,12:06,Bears,Greg Olsen 4 yard pass from Jay Cutler (Robbie Gould kick),7,0
,0:13,Bills,Roscoe Parrish 14 yard pass from Ryan Fitzpatrick (Rian Lindell kick),7,7
3.0,6:18,Bears,Chester Taylor 1 yard rush (Robbie Gould kick),14,7
,2:59,Bills,Fred Jackson 4 yard rush (Rian Lindell kick failed),14,13
4.0,10:24,Bills,Corey McIntyre 1 yard rush (run failed),14,19
,6:41,Bears,Earl Bennett 2 yard pass from Jay Cutler (Matt Forte pass from Jay Cutler),22,19
