Quarter,Time,Down,ToGo,Location,CHI,BUF,Detail,EPB,EPA
1,2:27,2,10,CHI 49,0,0,Jay Cutler pass complete short right to Matt Forte for 6 yards (tackle by Reggie Torbor),1.650,1.750
1,1:49,3,4,BUF 45,0,0,Jay Cutler pass complete short right to Johnny Knox for 24 yards (tackle by Donte Whitner),1.750,4.170
1,1:14,1,10,BUF 21,0,0,Devin Hester left end for -1 yards (tackle by Drayton Florence),4.170,3.490
1,0:35,2,11,BUF 22,0,0,Chester Taylor left end for 4 yards (tackle by Reggie Torbor and Chris Kelsay),3.490,3.310
Quarter,Time,Down,ToGo,Location,CHI,BUF,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,7,BUF 18,0,0,"Penalty on Frank Omiyale: False Start, 5 yards (no play)",3.310,2.680
2,15:00,3,12,BUF 23,0,0,"Jay Cutler pass complete short left to Chester Taylor for no gain. Penalty on Reggie Corner: Illegal Use of Hands, 5 yards (no play)",2.680,4.370
2,14:36,1,10,BUF 18,0,0,Chester Taylor right guard for no gain (tackle by Paul Posluszny),4.370,3.800
2,13:56,2,10,BUF 18,0,0,Jay Cutler pass complete short right to Chester Taylor for 14 yards (tackle by Jairus Byrd and Donte Whitner),3.800,6.280
2,13:19,1,4,BUF 4,0,0,"Penalty on Greg Olsen: False Start, 5 yards (no play)",6.280,5.140
2,13:00,,,,0,0,Timeout #1 by Chicago Bears,0.000,5.140
2,13:00,1,9,BUF 9,0,0,Jay Cutler pass incomplete short right intended for Greg Olsen,5.140,4.380
2,12:53,2,9,BUF 9,0,0,Jay Cutler pass complete short middle to Matt Forte for 5 yards (tackle by Chris Kelsay),4.380,4.490
2,12:10,3,4,BUF 4,6,0,"Jay Cutler pass complete short middle to Greg Olsen for 4 yards, touchdown",4.490,7.000
2,,,,BUF 2,7,0,Robbie Gould kicks extra point good,0.000,0.000
2,,,,CHI 30,7,0,Robbie Gould kicks off 68 yards,0.000,1.600
2,12:06,1,10,BUF 40,7,0,"Ryan Fitzpatrick pass complete short left to C.J. Spiller for 30 yards (tackle by D.J. Moore). Penalty on Geoff Hangartner: Offensive Holding, 10 yards (no play)",1.600,0.940
2,11:40,1,20,BUF 30,7,0,Ryan Fitzpatrick pass complete short middle to David Martin for 11 yards (tackle by Brian Urlacher),0.940,1.190
2,11:07,2,9,BUF 41,7,0,C.J. Spiller left end for 1 yard (tackle by Danieal Manning),1.190,0.630
2,10:27,3,8,BUF 42,7,0,Ryan Fitzpatrick pass complete short middle to David Nelson for 9 yards (tackle by Brian Urlacher),0.630,2.320
2,9:45,1,10,CHI 49,7,0,C.J. Spiller right guard for 1 yard (tackle by Brian Urlacher and Anthony Adams),2.320,1.920
2,9:05,2,9,CHI 48,7,0,Ryan Fitzpatrick pass complete short middle to Lee Evans for 14 yards (tackle by Danieal Manning and Tim Jennings),1.920,3.310
2,8:29,1,10,CHI 34,7,0,C.J. Spiller middle for -4 yards (tackle by Julius Peppers),3.310,2.230
2,7:52,2,14,CHI 38,7,0,Ryan Fitzpatrick pass incomplete short left intended for C.J. Spiller,2.230,1.550
2,7:44,3,14,CHI 38,7,0,Ryan Fitzpatrick pass incomplete deep right intended for Lee Evans,1.550,0.720
2,7:39,4,14,CHI 38,7,0,"Brian Moorman punts 25 yards, fair catch by Devin Hester",0.720,0.320
2,7:31,1,10,CHI 13,7,0,Matt Forte right tackle for -2 yards (tackle by Akin Ayodele and Spencer Johnson),-0.320,-0.930
2,6:46,2,12,CHI 11,7,0,Jay Cutler pass complete short middle to Johnny Knox for 13 yards (tackle by Donte Whitner),-0.930,0.540
2,6:05,1,10,CHI 24,7,0,Jay Cutler pass incomplete short middle intended for Johnny Knox,0.540,0.000
2,6:02,2,10,CHI 24,7,0,Jay Cutler pass incomplete short right intended for Johnny Knox,0.000,-0.690
2,5:58,3,10,CHI 24,7,0,Jay Cutler pass complete deep left to Earl Bennett for 26 yards (tackle by Leodis McKelvin and Drayton Florence),-0.690,2.260
2,5:09,1,10,,7,0,Jay Cutler pass complete short right to Johnny Knox for 12 yards (tackle by Leodis McKelvin),2.260,3.050
2,4:37,1,10,BUF 38,7,0,Jay Cutler pass incomplete deep right intended for Matt Forte (defended by Reggie Torbor),3.050,2.510
2,4:31,2,10,BUF 38,7,0,Chester Taylor left tackle for 3 yards (tackle by Spencer Johnson and Paul Posluszny),2.510,2.210
2,3:51,3,7,BUF 35,7,0,Jay Cutler middle for 14 yards (tackle by Donte Whitner),2.210,4.170
2,3:03,1,10,BUF 21,7,0,Chester Taylor right tackle for -2 yards (tackle by Kyle Williams),4.170,3.360
2,2:24,2,12,BUF 23,7,0,"Jay Cutler pass complete short left to Greg Olsen for 5 yards (tackle by Reggie Corner). Penalty on Devin Hester: Illegal Shift, 5 yards (no play)",3.360,2.680
2,2:02,2,17,BUF 28,7,0,Jay Cutler pass complete short middle to Earl Bennett for 14 yards (tackle by Jairus Byrd),2.680,4.020
2,1:55,3,3,BUF 14,7,0,"Penalty on Roberto Garza: False Start, 5 yards (no play)",4.020,3.180
2,1:55,3,8,BUF 19,7,0,"Penalty on Jay Cutler: False Start, 5 yards (no play)",3.180,2.540
2,1:55,3,13,BUF 24,7,0,Jay Cutler pass incomplete deep middle intended for Matt Forte (defended by Bryan Scott),2.540,1.870
2,1:50,4,13,BUF 24,7,0,Robbie Gould 42 yard field goal no good,1.870,-1.070
2,1:45,1,10,BUF 32,7,0,"Ryan Fitzpatrick left end for 7 yards (tackle by Charles Tillman). Penalty on Charles Tillman: Unnecessary Roughness, 15 yards",1.070,2.520
2,1:38,1,10,CHI 46,7,0,Ryan Fitzpatrick pass incomplete short left intended for Lee Evans,2.520,1.980
2,1:34,2,10,CHI 46,7,0,Ryan Fitzpatrick pass incomplete deep left intended for Lee Evans (defended by Charles Tillman),1.980,1.290
2,1:28,3,10,CHI 46,7,0,Ryan Fitzpatrick pass complete short right to Steve Johnson for 8 yards (tackle by Danieal Manning and Brian Urlacher),1.290,0.720
2,1:21,,,,7,0,Timeout #2 by Buffalo Bills,0.000,0.720
2,1:21,4,2,CHI 38,7,0,Ryan Fitzpatrick pass complete short left to David Nelson for 10 yards (tackle by Danieal Manning),0.720,3.710
2,0:59,1,10,CHI 28,7,0,Ryan Fitzpatrick pass complete short left to Fred Jackson for 7 yards (tackle by Lance Briggs),3.710,4.110
2,0:35,2,3,CHI 21,7,0,Ryan Fitzpatrick pass incomplete short middle intended for Fred Jackson,4.110,3.400
2,0:33,3,3,CHI 21,7,0,Ryan Fitzpatrick pass complete short left to Fred Jackson for 7 yards (tackle by Brian Urlacher),3.400,4.650
2,0:27,1,10,CHI 14,7,0,Ryan Fitzpatrick pass incomplete short right intended for Lee Evans (defended by Tim Jennings),4.650,4.000
2,0:23,2,10,CHI 14,7,0,Ryan Fitzpatrick pass incomplete short middle intended for David Nelson (defended by Brian Urlacher),4.000,3.110
2,0:18,3,10,CHI 14,7,6,"Ryan Fitzpatrick pass complete short right to Roscoe Parrish for 14 yards, touchdown",3.110,7.000
2,,,,CHI 2,7,7,Rian Lindell kicks extra point good,0.000,0.000
2,,,,BUF 30,7,7,"Rian Lindell kicks off 57 yards, returned by Johnny Knox for 25 yards (tackle by Arthur Moats)",0.000,1.470
2,0:07,1,10,CHI 38,7,7,Jay Cutler kneels for -1 yards,1.470,0.790
Quarter,Time,Down,ToGo,Location,CHI,BUF,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CHI 30,7,7,"Robbie Gould kicks off 75 yards, touchback",0.000,0.280
3,15:00,1,10,BUF 20,7,7,Ryan Fitzpatrick pass incomplete short right intended for Roscoe Parrish,0.280,-0.270
3,14:57,2,10,BUF 20,7,7,"Penalty on Israel Idonije: Encroachment, 5 yards (no play)",-0.270,0.410
3,14:57,2,5,BUF 25,7,7,Ryan Fitzpatrick pass complete short left to Steve Johnson for 9 yards (tackle by Charles Tillman),0.410,1.200
3,14:51,1,10,BUF 34,7,7,Fred Jackson middle for 2 yards (tackle by Danieal Manning),1.200,0.930
3,14:10,2,8,BUF 36,7,7,Ryan Fitzpatrick pass complete short right to Steve Johnson for 2 yards (tackle by Danieal Manning),0.930,0.500
3,13:30,3,6,BUF 38,7,7,Ryan Fitzpatrick pass complete short left to Steve Johnson for 13 yards (tackle by Charles Tillman),0.500,2.320
3,12:47,1,10,CHI 49,7,7,Fred Jackson middle for 4 yards (tackle by Julius Peppers and Danieal Manning),2.320,2.320
3,12:08,2,6,CHI 45,7,7,Ryan Fitzpatrick pass complete short right to Roscoe Parrish for 5 yards (tackle by D.J. Moore),2.320,2.280
3,11:20,3,1,CHI 40,7,7,"Fred Jackson middle for no gain (tackle by Lance Briggs). Fred Jackson fumbles (forced by Lance Briggs), recovered by Brian Urlacher at CHI-40",2.280,-1.600
3,11:12,1,10,CHI 40,7,7,Matt Forte left guard for 2 yards (tackle by Kyle Williams),1.600,1.320
3,10:35,2,8,CHI 42,7,7,Matt Forte middle for 4 yards (tackle by Reggie Torbor and Paul Posluszny),1.320,1.160
3,9:50,3,4,CHI 46,7,7,Jay Cutler right end for 9 yards (tackle by Jairus Byrd),1.160,2.590
3,9:21,1,10,BUF 45,7,7,Jay Cutler pass complete short middle to Devin Hester for 7 yards (tackle by Jairus Byrd),2.590,2.990
3,8:43,2,3,BUF 38,7,7,Earl Bennett left end for 5 yards (tackle by Drayton Florence),2.990,3.380
3,8:07,1,10,BUF 33,7,7,Jay Cutler pass complete short right to Greg Olsen for 7 yards (tackle by Reggie Torbor),3.380,3.780
3,7:36,2,3,BUF 26,7,7,Matt Forte left tackle for 22 yards (tackle by Donte Whitner),3.780,6.280
3,7:00,1,4,BUF 4,7,7,Chester Taylor middle for 3 yards (tackle by Paul Posluszny and Jairus Byrd),6.280,5.910
3,6:21,2,1,BUF 1,13,7,"Chester Taylor left guard for 1 yard, touchdown",5.910,7.000
3,,,,BUF 2,14,7,Robbie Gould kicks extra point good,0.000,0.000
3,,,,CHI 30,14,7,"Robbie Gould kicks off 75 yards, touchback",0.000,0.280
3,6:18,1,10,BUF 20,14,7,Ryan Fitzpatrick pass complete deep right to Steve Johnson for 16 yards (tackle by Tim Jennings),0.280,1.330
3,5:43,1,10,BUF 36,14,7,C.J. Spiller left end for -1 yards (tackle by D.J. Moore and Charles Tillman),1.330,0.660
3,5:00,2,11,BUF 35,14,7,Ryan Fitzpatrick pass complete short left to C.J. Spiller for 5 yards (tackle by Lance Briggs),0.660,0.630
3,4:23,3,6,BUF 40,14,7,Ryan Fitzpatrick pass complete short middle to Roscoe Parrish for 11 yards (tackle by Brian Urlacher). Penalty on Danieal Manning: Illegal Contact (Declined),0.630,2.320
3,4:00,1,10,CHI 49,14,7,Ryan Fitzpatrick pass incomplete deep middle intended for Roscoe Parrish,2.320,1.780
3,3:52,2,10,CHI 49,14,7,Ryan Fitzpatrick pass incomplete short left intended for Fred Jackson,1.780,1.090
3,3:49,3,10,CHI 49,14,7,Ryan Fitzpatrick pass complete deep middle to Steve Johnson for 45 yards (tackle by Tim Jennings and Charles Tillman),1.090,6.280
3,3:03,1,4,CHI 4,14,13,"Fred Jackson left guard for 4 yards, touchdown",6.280,7.000
3,,,,CHI 2,14,13,Rian Lindell kicks extra point no good,0.000,-1.000
3,,,,BUF 30,14,13,"Rian Lindell kicks off 66 yards, returned by Johnny Knox for 17 yards (tackle by Bryan Scott)",0.000,0.340
3,2:54,1,10,CHI 21,14,13,Matt Forte middle for 1 yard (tackle by Kyle Williams and Spencer Johnson),0.340,-0.070
3,2:15,2,9,CHI 22,14,13,Jay Cutler pass complete short middle to Devin Hester for 16 yards (tackle by Jairus Byrd),-0.070,1.470
3,1:32,1,10,CHI 38,14,13,Matt Forte middle for 1 yard (tackle by Spencer Johnson and Kyle Williams),1.470,1.060
3,0:47,2,9,CHI 39,14,13,Jay Cutler pass complete short middle to Brandon Manumaleuna for 9 yards (tackle by Antonio Coleman and Reggie Torbor),1.060,2.130
3,0:05,1,10,CHI 48,14,13,Jay Cutler pass incomplete deep right intended for Greg Olsen (defended by Leodis McKelvin),2.130,1.580
Quarter,Time,Down,ToGo,Location,CHI,BUF,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,10,CHI 48,14,13,Jay Cutler pass incomplete short right intended for Devin Aromashodu (defended by Marcus Stroud),1.580,0.890
4,14:55,3,10,CHI 48,14,13,"Jay Cutler pass incomplete short right intended for Earl Bennett (defended by Donte Whitner). Penalty on Donte Whitner: Defensive Pass Interfere, 13 yards (no play)",0.890,2.980
4,14:49,1,10,BUF 39,14,13,"Jay Cutler sacked by Spencer Johnson for -7 yards. Jay Cutler fumbles (forced by Spencer Johnson), recovered by Spencer Johnson at BUF-49",2.980,-2.190
4,14:45,1,10,BUF 49,14,13,Ryan Fitzpatrick pass complete short right to Steve Johnson for 7 yards (tackle by Brian Urlacher),2.190,2.590
4,14:12,2,3,CHI 44,14,13,Ryan Fitzpatrick pass complete short left to Fred Jackson for no gain,2.590,1.880
4,13:36,3,3,CHI 44,14,13,Ryan Fitzpatrick pass complete short right to Lee Evans for 4 yards (tackle by Tim Jennings),1.880,2.920
4,13:05,1,10,CHI 40,14,13,C.J. Spiller middle for 5 yards (tackle by Henry Melton and Israel Idonije),2.920,3.050
4,12:29,2,5,CHI 35,14,13,C.J. Spiller right guard for 15 yards (tackle by Chris Harris and Danieal Manning),3.050,4.240
4,11:50,1,10,CHI 20,14,13,Ryan Fitzpatrick pass complete short right to Lee Evans for 13 yards (tackle by Tim Jennings),4.240,5.600
4,11:08,1,7,CHI 7,14,13,Ryan Fitzpatrick pass complete short right to Steve Johnson for 6 yards (tackle by Tim Jennings),5.600,5.910
4,10:27,2,1,CHI 1,14,19,"Corey McIntyre middle for 1 yard, touchdown",5.910,7.000
4,,,,,14,19,"Two Point Attempt: Fred Jackson middle, conversion fails",1.000,-1.000
4,,,,BUF 30,14,19,"Rian Lindell kicks off 72 yards, returned by Johnny Knox for 27 yards (tackle by Leodis McKelvin)",0.000,0.610
4,10:18,1,10,CHI 25,14,19,Chester Taylor left guard for 2 yards (tackle by Dwan Edwards and Antonio Coleman),0.610,0.330
4,9:39,2,8,CHI 27,14,19,Jay Cutler pass incomplete short middle intended for Greg Olsen (defended by Bryan Scott),0.330,-0.360
4,9:34,3,8,CHI 27,14,19,Jay Cutler pass incomplete short right intended for Greg Olsen,-0.360,-1.570
4,9:24,4,8,CHI 27,14,19,Brad Maynard punts 44 yards,-1.570,-0.870
4,9:16,1,10,BUF 29,14,19,Ryan Fitzpatrick pass incomplete deep right intended for Steve Johnson is intercepted by Tim Jennings at CHI-38 and returned for 39 yards,0.870,-4.040
4,9:03,1,10,BUF 23,14,19,Matt Forte middle for no gain (tackle by Paul Posluszny and Arthur Moats),4.040,3.500
4,8:25,2,10,BUF 23,14,19,Jay Cutler pass incomplete short right intended for Greg Olsen,3.500,2.810
4,8:20,,,,14,19,Timeout #1 by Chicago Bears,0.000,2.810
4,8:20,3,10,BUF 23,14,19,Jay Cutler pass complete short middle to Greg Olsen for 18 yards (tackle by Donte Whitner),2.810,6.060
4,7:32,1,5,BUF 5,14,19,Jay Cutler pass incomplete short middle intended for Earl Bennett (defended by Reggie Torbor),6.060,5.150
4,7:27,2,5,BUF 5,14,19,Matt Forte right guard for 3 yards (tackle by Paul Posluszny and Jairus Byrd),5.150,4.950
4,6:45,3,2,BUF 2,20,19,"Jay Cutler pass complete short right to Earl Bennett for 2 yards, touchdown. Penalty on Leodis McKelvin: Illegal Use of Hands (Declined)",4.950,7.000
4,,,,,22,19,"Two Point Attempt: Jay Cutler pass complete to Matt Forte, conversion succeeds",1.000,1.000
4,,,,CHI 30,22,19,"Robbie Gould kicks off 74 yards, touchback",0.000,0.280
4,6:41,1,10,BUF 20,22,19,Ryan Fitzpatrick pass incomplete short right intended for Roscoe Parrish,0.280,-0.270
4,6:36,2,10,BUF 20,22,19,Ryan Fitzpatrick pass complete short middle to Steve Johnson for 9 yards (tackle by D.J. Moore),-0.270,0.230
4,5:59,3,1,BUF 29,22,19,C.J. Spiller right end for 3 yards (tackle by Chris Harris),0.230,1.070
4,5:26,1,10,BUF 32,22,19,Ryan Fitzpatrick pass incomplete short middle intended for David Nelson,1.070,0.530
4,5:22,2,10,BUF 32,22,19,Ryan Fitzpatrick pass complete short left to Roscoe Parrish for 9 yards (tackle by D.J. Moore),0.530,1.030
4,4:39,3,1,BUF 41,22,19,Ryan Fitzpatrick middle for 2 yards (tackle by Tommie Harris and Brian Urlacher),1.030,1.800
4,3:59,1,10,BUF 43,22,19,Ryan Fitzpatrick sacked by Israel Idonije and Tommie Harris for -5 yards,1.800,0.580
4,3:26,2,15,BUF 38,22,19,Ryan Fitzpatrick pass complete short right to Fred Jackson for 4 yards (tackle by Tim Jennings and Anthony Adams),0.580,0.430
4,2:48,,,,22,19,Timeout #1 by Buffalo Bills,0.000,0.430
4,2:48,3,11,BUF 42,22,19,Ryan Fitzpatrick pass complete short left to Steve Johnson for 14 yards (tackle by Charles Tillman),0.430,2.650
4,2:41,1,10,CHI 44,22,19,Ryan Fitzpatrick pass incomplete deep left intended for Lee Evans,2.650,2.110
4,2:36,2,10,CHI 44,22,19,Ryan Fitzpatrick pass incomplete deep right intended for David Nelson,2.110,1.420
4,2:31,3,10,CHI 44,22,19,Ryan Fitzpatrick pass incomplete short right intended for Roscoe Parrish,1.420,0.330
,,,,,,,"BUF challenged the incomplete pass ruling, and the play was upheld.",,
4,2:24,4,10,CHI 44,22,19,Ryan Fitzpatrick pass incomplete short right intended for Steve Johnson (defended by D.J. Moore). Penalty on Demetress Bell: Offensive Holding (Declined),0.330,-1.860
4,2:20,1,10,CHI 44,22,19,Matt Forte middle for 2 yards (tackle by Kyle Williams and Reggie Torbor),1.860,1.590
4,2:15,,,,22,19,Timeout #3 by Buffalo Bills,0.000,1.590
4,2:15,2,8,CHI 46,22,19,Matt Forte left tackle for 7 yards (tackle by Kyle Williams and Jairus Byrd),1.590,1.820
4,2:00,,,,22,19,Timeout #2 by Chicago Bears,0.000,1.820
4,2:00,3,1,BUF 47,22,19,Chester Taylor middle for no gain (tackle by Spencer Johnson and Akin Ayodele),1.820,0.130
4,1:15,,,,22,19,Timeout #3 by Chicago Bears,0.000,0.130
4,1:15,4,1,BUF 47,22,19,Brad Maynard punts 46 yards,0.130,0.380
,,,,,,,"Replay Assistant challenged the kick touched ruling, and the play was upheld.",,
4,1:04,1,10,BUF 1,22,19,Ryan Fitzpatrick pass complete short middle to Steve Johnson for 16 yards (tackle by Lance Briggs),-0.380,-0.060
4,0:52,1,10,BUF 17,22,19,Ryan Fitzpatrick pass complete short right to Donald Jones for 8 yards (tackle by Tim Jennings),-0.060,0.620
4,0:32,2,2,BUF 25,22,19,Ryan Fitzpatrick pass incomplete deep middle intended for Donald Jones is intercepted by Chris Harris at BUF-45 and returned for 5 yards,0.620,-2.920
4,0:27,1,10,BUF 40,22,19,Jay Cutler kneels for -1 yards,2.920,2.240
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
