Unnamed: 0,JAX,TEN
First Downs,22,16
Rush-Yds-TDs,30-49-1,21-63-1
Cmp-Att-Yd-TD-INT,22-38-258-3-0,20-30-208-2-1
Sacked-Yards,2-12,3-17
Net Pass Yards,246,191
Total Yards,295,254
Fumbles-Lost,1-1,0-0
Turnovers,1,1
Penalties-Yards,3-15,11-73
Third Down Conv.,10-17,5-13
Fourth Down Conv.,0-0,0-0
Time of Possession,31:54,28:06
