Quarter,Time,Tm,Detail,JAX,TEN
2.0,7:08,Titans,Chris Brown 15 yard pass from Steve McNair (Rob Bironas kick),0,7
,1:10,Jaguars,Kyle Brady 1 yard pass from Byron Leftwich (Josh Scobee kick),7,7
,0:15,Titans,Chris Brown 1 yard rush (Rob Bironas kick),7,14
3.0,8:57,Jaguars,Byron Leftwich 2 yard rush (Josh Scobee kick),14,14
,7:08,Titans,Antwan Odom 27 yard defensive fumble return (Rob Bironas kick),14,21
,4:02,Jaguars,Ernest Wilford 18 yard pass from Byron Leftwich (Josh Scobee kick),21,21
4.0,9:21,Jaguars,Matt Jones 7 yard pass from Byron Leftwich (Josh Scobee kick),28,21
,1:52,Jaguars,Josh Scobee 31 yard field goal,31,21
,0:10,Titans,Roydell Williams 8 yard pass from Steve McNair (Rob Bironas kick),31,28
