Unnamed: 0,WAS,SFO
First Downs,12,22
Rush-Yds-TDs,16-57-0,41-252-2
Cmp-Att-Yd-TD-INT,18-30-183-1-1,15-28-125-0-1
Sacked-Yards,3-23,2-11
Net Pass Yards,160,114
Total Yards,217,366
Fumbles-Lost,3-2,0-0
Turnovers,3,1
Penalties-Yards,4-35,5-50
Third Down Conv.,4-12,6-14
Fourth Down Conv.,0-0,0-0
Time of Possession,24:05,35:55
