Quarter,Time,Tm,Detail,GNB,CHI
1.0,13:12,Packers,Ryan Grant 62 yard rush (Mason Crosby kick),7,0
,3:35,Packers,Mason Crosby 33 yard field goal,10,0
2.0,13:03,Packers,Mason Crosby 26 yard field goal,13,0
,1:48,Bears,Johnny Knox 19 yard pass from Jay Cutler (Robbie Gould kick),13,7
3.0,9:35,Bears,Devin Aromashodu 10 yard pass from Jay Cutler (Robbie Gould kick),13,14
4.0,12:39,Packers,Ryan Grant 1 yard rush (Greg Jennings pass from Aaron Rodgers),21,14
