Unnamed: 0,JAX,LAC
First Downs,25,16
Rush-Yds-TDs,36-151-1,12-26-0
Cmp-Att-Yd-TD-INT,28-39-262-3-0,25-45-297-1-1
Sacked-Yards,0-0,1-11
Net Pass Yards,262,286
Total Yards,413,312
Fumbles-Lost,0-0,1-1
Turnovers,0,2
Penalties-Yards,2-10,7-54
Third Down Conv.,8-15,5-13
Fourth Down Conv.,2-3,0-2
Time of Possession,38:27,21:33
