Quarter,Time,Down,ToGo,Location,JAX,LAC,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss and deferred, Jaguars to receive the opening kickoff.",,
1,15:00,,,LAC 35,0,0,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,JAX 25,0,0,Trevor Lawrence pass complete short right to Zay Jones for 6 yards (tackle by Michael Davis),0.610,0.870
1,14:21,2,4,JAX 31,0,0,"Penalty on Austin Johnson: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.870,1.330
1,14:08,1,10,JAX 36,0,0,James Robinson left guard for 20 yards (tackle by Bryce Callahan and Derwin James),1.330,2.650
1,13:26,1,10,LAC 44,0,0,Trevor Lawrence pass complete short right to Zay Jones for 4 yards (tackle by Derwin James),2.650,2.650
1,12:56,2,6,LAC 40,0,0,James Robinson up the middle for 1 yard (tackle by Sebastian Joseph-Day),2.650,2.080
1,12:18,3,5,LAC 39,0,0,Trevor Lawrence pass incomplete short left intended for Zay Jones,2.080,0.660
1,12:13,4,5,LAC 39,0,0,Trevor Lawrence pass incomplete short left intended for Marvin Jones,0.660,-1.600
1,12:08,1,10,LAC 40,0,0,Austin Ekeler right end for no gain (tackle by Rayshawn Jenkins),1.600,1.050
1,11:39,2,10,LAC 40,0,0,Justin Herbert pass complete short left to Austin Ekeler for 3 yards (tackle by Foyesade Oluokun and Josh Allen),1.050,0.760
1,10:54,3,7,LAC 43,0,0,Justin Herbert pass incomplete short left intended for Mike Williams (defended by Darious Williams),0.760,-0.520
1,10:49,4,7,LAC 43,0,0,"JK Scott punts 42 yards, fair catch by Jamal Agnew at JAC-15",-0.520,0.220
1,10:40,1,10,JAX 15,0,0,Travis Etienne left tackle for 6 yards (tackle by Joey Bosa and Sebastian Joseph-Day),-0.220,0.210
1,10:01,2,4,JAX 21,0,0,Travis Etienne up the middle for 5 yards (tackle by Kenneth Murray),0.210,0.670
1,9:25,1,10,JAX 26,0,0,Trevor Lawrence pass complete short left to Travis Etienne for 5 yards (tackle by Jerry Tillery),0.670,0.810
1,8:48,2,5,JAX 31,0,0,James Robinson left tackle for 4 yards (tackle by Khalil Mack),0.810,0.630
1,8:08,3,1,JAX 35,0,0,James Robinson left guard for no gain (tackle by Otito Ogbonnia and Derwin James),0.630,-1.040
1,7:31,4,1,JAX 35,0,0,"Logan Cooke punts 56 yards, returned by DeAndre Carter for 6 yards (tackle by Daniel Thomas)",-1.040,0.220
1,7:18,1,10,LAC 15,0,0,Justin Herbert pass complete short middle to Austin Ekeler for 5 yards (tackle by Foyesade Oluokun),-0.220,0.080
1,6:40,2,5,LAC 20,0,0,"Justin Herbert pass incomplete short right intended for Austin Ekeler. Penalty on Rashawn Slater: Offensive Holding, 10 yards (accepted) (no play)",0.080,-1.150
1,6:33,2,15,LAC 10,0,0,Justin Herbert pass complete short middle to Gerald Everett for 14 yards (tackle by Foyesade Oluokun),-1.150,-0.270
1,5:58,3,1,LAC 24,0,0,Austin Ekeler right end for no gain (tackle by Tre Herndon),-0.270,-1.770
1,5:22,4,1,LAC 24,0,0,"JK Scott punts 50 yards, returned by Jamal Agnew for 7 yards (tackle by Zander Horvath)",-1.770,-1.140
1,5:11,1,10,JAX 33,0,0,Trevor Lawrence pass complete short right to Christian Kirk for 14 yards (tackle by Asante Samuel and Nasir Adderley),1.140,2.060
1,4:44,1,10,JAX 47,0,0,Trevor Lawrence pass complete short right to Marvin Jones for 8 yards (tackle by Michael Davis),2.060,2.600
1,4:13,2,2,LAC 45,0,0,Trevor Lawrence pass incomplete short left intended for Christian Kirk (defended by Chris Rumph),2.600,1.880
1,4:11,3,2,LAC 45,0,0,Trevor Lawrence pass complete short right to James Robinson for 4 yards (tackle by Drue Tranquill),1.880,2.850
1,3:28,1,10,LAC 41,0,0,"Penalty on Christian Kirk: False Start, 5 yards (accepted) (no play)",2.850,2.520
1,3:07,1,15,LAC 46,0,0,Trevor Lawrence pass incomplete deep right intended for Marvin Jones,2.520,1.630
1,3:01,2,15,LAC 46,0,0,Trevor Lawrence pass complete short middle to Jamal Agnew for 17 yards (tackle by Kenneth Murray and Derwin James),1.630,3.640
1,2:40,1,10,LAC 29,0,0,Trevor Lawrence pass complete short left to James Robinson for 5 yards (tackle by Kyle Van Noy),3.640,3.780
