Unnamed: 0,NOR,TAM
First Downs,18,11
Rush-Yds-TDs,18-44-0,34-149-1
Cmp-Att-Yd-TD-INT,25-47-296-2-3,9-23-119-1-0
Sacked-Yards,1-8,4-14
Net Pass Yards,288,105
Total Yards,332,254
Fumbles-Lost,0-0,2-1
Turnovers,3,1
Penalties-Yards,5-45,1-5
Third Down Conv.,5-13,2-15
Fourth Down Conv.,0-1,2-2
Time of Possession,30:44,29:16
