Unnamed: 0,CHI,KAN
First Downs,21,16
Rush-Yds-TDs,26-87-0,25-117-0
Cmp-Att-Yd-TD-INT,26-45-252-2-0,16-30-181-1-0
Sacked-Yards,2-11,3-11
Net Pass Yards,241,170
Total Yards,328,287
Fumbles-Lost,2-1,0-0
Turnovers,1,0
Penalties-Yards,6-49,3-49
Third Down Conv.,6-14,5-14
Fourth Down Conv.,0-1,0-0
Time of Possession,33:37,26:23
