Quarter,Time,Down,ToGo,Location,CHI,KAN,Detail,EPB,EPA
1,8:54,1,14,CHI 5,0,0,Jay Cutler pass complete short right to Matt Forte for 3 yards (tackle by Derrick Johnson),-0.530,-0.850
1,8:18,2,11,CHI 8,0,6,"Jay Cutler sacked by Allen Bailey and Jaye Howard for -8 yards. Jay Cutler fumbles (forced by Allen Bailey), recovered by Ramik Wilson at CHI--2, touchdown",-0.850,-7.000
1,8:13,,,CHI 8,0,7,Cairo Santos kicks extra point good,0.000,0.000
1,8:13,,,KAN 35,0,7,"Cairo Santos kicks off 65 yards, touchback",0.000,-0.280
1,8:13,1,10,CHI 20,0,7,Matt Forte right guard for 5 yards (tackle by Derrick Johnson),0.280,0.410
1,7:44,2,5,CHI 25,0,7,Jay Cutler pass complete short left to Marquess Wilson for 9 yards (tackle by Sean Smith),0.410,1.200
1,7:26,1,10,CHI 34,0,7,Jay Cutler pass incomplete short right intended for Martellus Bennett (defended by Ron Parker),1.200,0.660
1,7:20,2,10,CHI 34,0,7,Matt Forte left end for 7 yards (tackle by Dee Ford and Nicholas Williams),0.660,0.890
1,6:41,3,3,CHI 41,0,7,"Penalty on Charles Leno: False Start, 5 yards (no play)",0.890,0.230
1,6:14,3,8,CHI 36,0,7,Jay Cutler pass complete short right to Marquess Wilson for 12 yards (tackle by Marcus Peters),0.230,2.130
1,5:41,1,10,CHI 48,0,7,"Jeremy Langford right guard for 4 yards (tackle by Derrick Johnson and Husain Abdullah). Penalty on Martellus Bennett: Offensive Holding, 10 yards (no play)",2.130,1.470
1,5:13,1,20,CHI 38,0,7,Jeremy Langford right end for -2 yards (tackle by Jaye Howard and Allen Bailey),1.470,-0.040
1,4:32,2,22,CHI 36,0,7,Jay Cutler pass complete short left to Cameron Meredith for 4 yards (tackle by Ramik Wilson),-0.040,-0.160
1,3:51,3,18,CHI 40,0,7,Jay Cutler pass complete short left to Matt Forte for 18 yards (tackle by Dontari Poe and Tyvon Branch),-0.160,2.790
1,3:03,1,10,KAN 42,0,7,Jay Cutler pass incomplete short left intended for Martellus Bennett,2.790,2.240
1,2:53,2,10,KAN 42,0,7,Jay Cutler pass complete short middle to Jeremy Langford for 14 yards (tackle by Eric Berry),2.240,3.710
1,2:18,1,10,KAN 28,0,7,Jeremy Langford left tackle for no gain (tackle by Husain Abdullah),3.710,3.170
1,1:42,2,10,KAN 28,0,7,Matt Forte middle for 2 yards (tackle by Allen Bailey),3.170,2.740
1,1:01,3,8,KAN 26,0,7,Jay Cutler pass incomplete short left intended for Matt Forte,2.740,1.740
1,0:58,4,8,KAN 26,3,7,Robbie Gould 44 yard field goal good,1.740,3.000
1,0:58,,,CHI 35,3,7,"Robbie Gould kicks off 42 yards, returned by Anthony Sherman for 11 yards (tackle by Sam Acho)",0.000,-1.200
1,0:47,1,10,KAN 34,3,7,Alex Smith pass incomplete short right intended for Chris Conley,1.200,0.660
1,0:43,2,10,KAN 34,3,7,Alex Smith pass complete short right to Chris Conley for 6 yards (tackle by Shea McClellin),0.660,0.760
Quarter,Time,Down,ToGo,Location,CHI,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,4,KAN 40,3,7,Alex Smith pass incomplete short middle intended for Jeremy Maclin,0.760,-0.720
2,14:57,4,4,KAN 40,3,7,"Dustin Colquitt punts 55 yards, out of bounds",-0.720,0.380
2,14:47,1,10,CHI 5,3,7,Matt Forte middle for 3 yards (tackle by Jaye Howard),-0.380,-0.560
2,14:08,2,7,CHI 8,3,7,Matt Forte right end for 3 yards (tackle by Marcus Peters),-0.560,-0.720
2,13:39,3,4,CHI 11,3,7,Jay Cutler pass incomplete short right intended for Josh Bellamy,-0.720,-2.490
2,13:35,4,4,CHI 11,3,7,"Pat O'Donnell punts 46 yards, returned by De'Anthony Thomas for 3 yards (tackle by Thomas Gafford)",-2.490,-1.990
2,13:25,1,10,KAN 46,3,7,Alex Smith pass complete short right to Travis Kelce for 15 yards (tackle by Harold Jones-Quartey),1.990,2.980
2,12:44,1,10,CHI 39,3,7,Jamaal Charles middle for no gain (tackle by Shea McClellin and Jay Ratliff),2.980,2.440
2,12:02,2,10,CHI 39,3,7,Jamaal Charles middle for 3 yards (tackle by Eddie Goldman),2.440,2.150
2,11:21,3,7,CHI 36,3,7,"Alex Smith for 8 yards. Penalty on Sherrick McManis: Defensive Holding, 5 yards",2.150,4.040
2,10:50,1,10,CHI 23,3,7,Alex Smith pass incomplete short middle intended for Jamaal Charles,4.040,3.500
2,10:45,2,10,CHI 23,3,7,Jamaal Charles right guard for 4 yards (tackle by Lamarr Houston),3.500,3.340
2,10:03,3,6,CHI 19,3,13,"Alex Smith pass complete short left to De'Anthony Thomas for 19 yards, touchdown",3.340,7.000
2,10:03,,,CHI 19,3,14,Cairo Santos kicks extra point good,0.000,0.000
2,10:03,,,KAN 35,3,14,"Cairo Santos kicks off 65 yards, touchback",0.000,-0.280
2,9:57,1,10,CHI 20,3,14,Matt Forte left guard for 5 yards (tackle by Dontari Poe),0.280,0.410
2,9:23,2,5,CHI 25,3,14,Matt Forte middle for 4 yards (tackle by Justin Houston),0.410,0.230
2,8:53,3,1,CHI 29,3,14,Matt Forte middle for -1 yards (tackle by Jaye Howard),0.230,-1.500
2,8:15,4,2,CHI 28,3,14,"Pat O'Donnell punts 49 yards, returned by De'Anthony Thomas for 4 yards. Penalty on Husain Abdullah: Illegal Block Above the Waist, 10 yards",-1.500,0.060
2,8:05,1,10,KAN 17,3,14,Alex Smith pass complete short right to Jeremy Maclin for 9 yards (tackle by Mitch Unrein),-0.060,0.750
2,7:23,2,1,KAN 26,3,14,Alex Smith pass complete short left to De'Anthony Thomas for 5 yards (tackle by Harold Jones-Quartey),0.750,1.000
2,6:41,1,10,KAN 31,3,14,Alex Smith pass incomplete deep left intended for Jeremy Maclin,1.000,0.460
2,6:35,2,10,KAN 31,3,14,Alex Smith pass complete short middle to Jamaal Charles for 26 yards (tackle by Shea McClellin),0.460,2.720
2,5:50,1,10,CHI 43,3,14,Alex Smith pass incomplete short left intended for Jamaal Charles,2.720,2.180
2,5:42,2,10,CHI 43,3,14,De'Anthony Thomas left end for 5 yards (tackle by Lamarr Houston),2.180,2.150
2,4:58,3,5,CHI 38,3,14,Alex Smith sacked by Pernell McPhee for -2 yards,2.150,0.590
2,4:13,4,7,CHI 40,3,14,"Dustin Colquitt punts 40 yards, touchback",0.590,-0.280
2,4:05,1,10,CHI 20,3,14,Jay Cutler pass incomplete short right intended for Martellus Bennett,0.280,-0.270
2,4:02,2,10,CHI 20,3,14,Matt Forte middle for 4 yards (tackle by Dontari Poe),-0.270,-0.430
2,3:24,3,6,CHI 24,3,14,Jay Cutler pass incomplete short right intended for Marc Mariani,-0.430,-1.770
2,3:19,4,6,CHI 24,3,14,"Pat O'Donnell punts 49 yards, out of bounds",-1.770,-0.740
2,3:09,1,10,KAN 27,3,14,Jamaal Charles right end for 5 yards (tackle by Mitch Unrein),0.740,0.870
2,2:39,2,5,KAN 32,3,14,Alex Smith pass complete short left to Jeremy Maclin for no gain,0.870,0.170
2,2:00,3,5,KAN 32,3,14,Alex Smith pass complete short middle to Jeremy Maclin for 12 yards (tackle by Adrian Amos),0.170,1.860
2,1:27,1,10,KAN 44,3,14,Alex Smith pass complete short right to Jeremy Maclin for 10 yards (tackle by Tracy Porter),1.860,1.860
2,1:17,1,10,KAN 44,3,14,Timeout #1 by Kansas City Chiefs,1.860,2.520
2,1:17,1,10,CHI 46,3,14,Alex Smith pass incomplete short left intended for Chris Conley (defended by Sam Acho),2.520,1.980
2,1:13,2,10,CHI 46,3,14,Jamaal Charles middle for 7 yards (tackle by Sam Acho),1.980,2.210
2,0:35,3,3,CHI 39,3,14,Alex Smith pass complete short right to Travis Kelce for 16 yards (tackle by Shea McClellin),2.210,2.210
2,0:27,3,3,CHI 39,3,14,Timeout #2 by Kansas City Chiefs,2.210,4.040
2,0:27,1,10,CHI 23,3,14,Alex Smith sacked by Willie Young for -8 yards,4.040,4.040
2,0:21,1,10,CHI 23,3,14,Timeout #3 by Kansas City Chiefs,4.040,2.420
2,0:21,2,18,CHI 31,3,14,Alex Smith pass complete short left to Jeremy Maclin for 9 yards,2.420,2.420
2,0:17,2,18,CHI 31,3,14,Timeout #1 by Chicago Bears,2.420,2.940
2,0:17,3,9,CHI 22,3,14,Alex Smith pass complete short right to Jeremy Maclin for 6 yards,2.940,2.480
2,0:12,4,3,CHI 16,3,17,Cairo Santos 35 yard field goal good,2.480,3.000
2,0:12,,,KAN 35,3,17,"Cairo Santos kicks off 65 yards, touchback",0.000,-0.280
2,0:07,1,10,CHI 20,3,17,Jay Cutler kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,CHI,KAN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CHI 35,3,17,"Robbie Gould kicks off 65 yards, touchback",0.000,-0.280
3,15:00,1,10,KAN 20,3,17,Jamaal Charles middle for 6 yards (tackle by Shea McClellin),0.280,0.540
3,14:31,2,4,KAN 26,3,17,Jamaal Charles right guard for 3 yards (tackle by Jay Ratliff),0.540,0.230
3,13:50,3,1,KAN 29,3,17,Jamaal Charles middle for 3 yards (tackle by LaRoy Reynolds),0.230,1.070
3,13:12,1,10,KAN 32,3,17,Jamaal Charles right end for 15 yards (tackle by Harold Jones-Quartey),1.070,2.060
3,12:28,1,10,KAN 47,3,17,Charcandrick West middle for 9 yards (tackle by Christian Jones),2.060,2.730
3,11:53,2,1,CHI 44,3,17,Charcandrick West left guard for 6 yards (tackle by Ego Ferguson and Christian Jones),2.730,3.050
3,11:14,1,10,CHI 38,3,17,Alex Smith for 6 yards,3.050,3.320
3,10:54,2,4,CHI 32,3,17,Jamaal Charles right guard for 7 yards (tackle by Christian Jones),3.320,3.910
3,10:15,1,10,CHI 25,3,17,Alex Smith pass complete short middle to Jeremy Maclin for 16 yards (tackle by LaRoy Reynolds),3.910,5.140
3,9:33,1,9,CHI 9,3,17,Jamaal Charles middle for no gain (tackle by Sam Acho),5.140,4.380
3,8:57,2,9,CHI 9,3,17,Alex Smith pass incomplete short left intended for Travis Kelce,4.380,3.360
3,8:53,3,9,CHI 9,3,17,Alex Smith pass incomplete short left intended for Charcandrick West,3.360,2.830
3,8:49,4,9,CHI 9,3,17,"Cairo Santos 27 yard field goal no good, blocked by Pernell McPhee, recovered by Anthony Sherman and returned for 27 yards",2.830,0.220
3,8:42,1,10,CHI 15,3,17,Jay Cutler pass complete short left to Josh Bellamy for 4 yards (tackle by Tamba Hali),-0.220,-0.110
3,8:01,2,6,CHI 19,3,17,Matt Forte right tackle for 10 yards (tackle by Ramik Wilson),-0.110,0.870
3,7:31,1,10,CHI 29,3,17,Matt Forte right guard for 1 yard (tackle by Derrick Johnson),0.870,0.460
3,6:51,2,9,CHI 30,3,17,Jay Cutler pass complete short right to Josh Bellamy for 8 yards (tackle by Husain Abdullah),0.460,0.830
3,6:08,3,1,CHI 38,3,17,Jacquizz Rodgers middle for 2 yards (tackle by Tamba Hali),0.830,1.600
3,5:33,1,10,CHI 40,3,17,Jay Cutler pass complete deep left to Marquess Wilson for 33 yards (tackle by Sean Smith). Penalty on Sean Smith: Defensive Pass Interference (Declined),1.600,3.780
3,5:09,1,10,KAN 27,3,17,Matt Forte middle for 10 yards (tackle by Jaye Howard and Ramik Wilson),3.780,4.440
3,4:25,1,10,KAN 17,3,17,Jay Cutler pass incomplete deep right intended for Zach Miller (defended by Ron Parker),4.440,3.850
3,4:19,2,10,KAN 17,3,17,Jay Cutler pass complete short right to Josh Bellamy for 5 yards (tackle by Marcus Peters),3.850,3.880
3,3:40,3,5,KAN 12,3,17,Jay Cutler pass incomplete short middle intended for Marquess Wilson. Penalty on Charles Leno: Illegal Use of Hands (Declined),3.880,2.680
3,3:32,4,5,KAN 12,6,17,Robbie Gould 30 yard field goal good,2.680,3.000
3,3:32,,,CHI 35,6,17,"Robbie Gould kicks off 65 yards, touchback",0.000,-0.280
3,3:29,1,10,KAN 20,6,17,Charcandrick West right guard for 6 yards (tackle by Christian Jones and Pernell McPhee),0.280,0.540
3,2:56,2,4,KAN 26,6,17,Charcandrick West right end for 5 yards (tackle by Christian Jones),0.540,1.000
3,2:23,1,10,KAN 31,6,17,Alex Smith pass incomplete short right intended for Travis Kelce,1.000,0.460
3,2:15,2,10,KAN 31,6,17,Charcandrick West middle for 1 yard (tackle by Eddie Goldman),0.460,-0.100
3,1:33,3,9,KAN 32,6,17,Alex Smith left end for 7 yards (tackle by Adrian Amos). Penalty on Eric Fisher: Offensive Holding (Declined),-0.100,-0.780
3,1:16,4,2,KAN 39,6,17,"Dustin Colquitt punts 52 yards, returned by Marc Mariani for 5 yards (tackle by Frankie Hammond)",-0.780,0.280
3,1:03,1,10,CHI 14,6,17,Matt Forte left guard for 4 yards (tackle by Dee Ford),-0.280,-0.210
3,0:31,2,6,CHI 18,6,17,Jay Cutler pass complete short right to Josh Bellamy for 7 yards (tackle by Ron Parker),-0.210,0.610
Quarter,Time,Down,ToGo,Location,CHI,KAN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,CHI 25,6,17,Jay Cutler pass complete short left to Josh Bellamy for -1 yards (tackle by Marcus Peters),0.610,-0.070
4,14:27,2,11,CHI 24,6,17,Matt Forte middle for 5 yards (tackle by Allen Bailey),-0.070,-0.100
4,13:51,3,6,CHI 29,6,17,Jay Cutler sacked by Allen Bailey for -3 yards,-0.100,-1.630
4,13:13,4,9,CHI 26,6,17,"Pat O'Donnell punts 48 yards, out of bounds",-1.630,-0.670
4,13:04,1,10,KAN 26,6,17,Alex Smith pass complete short left to Charcandrick West for 5 yards (tackle by Sam Acho),0.670,0.810
4,12:26,2,5,KAN 31,6,17,Alex Smith sacked by Lamarr Houston for -1 yards,0.810,-0.030
4,11:41,3,6,KAN 30,6,17,Alex Smith pass incomplete short right intended for Travis Kelce (defended by Christian Jones),-0.030,-1.370
4,11:36,4,6,KAN 30,6,17,"Dustin Colquitt punts 45 yards, returned by Marc Mariani for 13 yards (tackle by Jamell Fleming)",-1.370,-1.470
4,11:27,1,10,CHI 38,6,17,Jay Cutler pass complete short right to Martellus Bennett for 8 yards (tackle by Husain Abdullah and Ramik Wilson),1.470,2.000
4,10:53,2,2,CHI 46,6,17,Jay Cutler right tackle for 4 yards (tackle by Jaye Howard),2.000,2.260
4,10:18,1,10,,6,17,Jay Cutler pass incomplete short right intended for Marc Mariani,2.260,1.710
4,10:12,2,10,,6,17,Jay Cutler pass complete short left to Martellus Bennett for 7 yards (tackle by Eric Berry),1.710,1.950
4,9:32,3,3,KAN 43,6,17,Jay Cutler pass incomplete short left intended for Martellus Bennett (defended by Eric Berry),1.950,0.400
4,9:28,4,3,KAN 43,6,17,Jay Cutler pass incomplete short right intended for Marc Mariani,0.400,-1.860
4,9:25,1,10,KAN 44,6,17,Knile Davis middle for 4 yards (tackle by Jay Ratliff),1.860,1.860
4,8:45,2,6,KAN 48,6,17,Knile Davis left tackle for -2 yards (tackle by LaRoy Reynolds),1.860,0.890
4,8:04,3,8,KAN 46,6,17,Alex Smith pass incomplete short right intended for De'Anthony Thomas,0.890,-0.320
4,7:58,4,8,KAN 46,6,17,"Dustin Colquitt punts 42 yards, fair catch by Marc Mariani",-0.320,0.350
4,7:51,1,10,CHI 12,6,17,Jay Cutler left end for 7 yards (tackle by Derrick Johnson),-0.350,0.100
4,7:21,2,3,CHI 19,6,17,Matt Forte left end for no gain (tackle by Sean Smith),0.100,-0.600
4,6:36,3,3,CHI 19,6,17,Jay Cutler middle for 5 yards (tackle by Derrick Johnson),-0.600,0.540
4,5:54,1,10,CHI 24,6,17,Jay Cutler pass incomplete short left intended for Jeremy Langford,0.540,0.000
4,5:49,2,10,CHI 24,6,17,Jay Cutler pass complete short left to Cameron Meredith for 18 yards (tackle by Sean Smith),0.000,1.730
4,5:17,1,10,CHI 42,6,17,Jay Cutler pass incomplete short left intended for Martellus Bennett (defended by Eric Berry),1.730,1.190
4,5:12,2,10,CHI 42,6,17,Jay Cutler pass complete short right to Martellus Bennett for 11 yards (tackle by Tyvon Branch),1.190,2.460
4,4:36,1,10,KAN 47,6,17,Jay Cutler pass complete short right to Marquess Wilson for 6 yards (tackle by Marcus Peters),2.460,2.720
4,4:01,2,4,KAN 41,6,17,"Jay Cutler pass incomplete deep right intended for Martellus Bennett. Penalty on Jaye Howard: Roughing the Passer, 15 yards (no play)",2.720,3.840
4,3:54,1,10,KAN 26,6,17,Matt Forte middle for 4 yards (tackle by Dontari Poe and Mike DeVito),3.840,3.840
4,3:18,2,6,KAN 22,6,17,Jay Cutler pass incomplete deep right intended for Khari Lee (defended by Marcus Peters),3.840,3.140
4,3:11,3,6,KAN 22,12,17,"Jay Cutler pass complete deep left to Marquess Wilson for 22 yards, touchdown",3.140,7.000
4,3:11,3,,KAN 22,12,17,"Two Point Attempt: Jay Cutler pass complete to Marc Mariani, conversion fails",3.140,-1.000
,,,,,,,"CHI challenged the runner broke the plane ruling, and the play was upheld.",,
4,3:11,,,CHI 35,12,17,"Robbie Gould kicks off 65 yards, touchback",0.000,-0.280
4,3:05,1,10,KAN 20,12,17,Charcandrick West right guard for 2 yards (tackle by Christian Jones),0.280,0.280
4,3:01,1,10,KAN 20,12,17,Timeout #2 by Chicago Bears,0.280,0.000
4,3:01,2,8,KAN 22,12,17,Charcandrick West left guard for 2 yards (tackle by Sam Acho),0.000,0.000
4,2:15,2,8,KAN 22,12,17,Timeout #1 by Kansas City Chiefs,0.000,-0.430
4,2:15,3,6,KAN 24,12,17,Alex Smith pass incomplete short right intended for Jeremy Maclin (defended by Tracy Porter),-0.430,-1.770
4,2:11,4,6,KAN 24,12,17,"Dustin Colquitt punts 43 yards, fair catch by Marc Mariani",-1.770,-1.140
4,2:04,1,10,CHI 33,12,17,Jay Cutler pass incomplete deep right intended for Josh Bellamy (defended by Tyvon Branch),1.140,0.590
4,1:58,2,10,CHI 33,12,17,Jay Cutler pass complete deep right to Cameron Meredith for 20 yards (tackle by Marcus Peters),0.590,2.460
4,1:25,1,10,KAN 47,12,17,Jay Cutler pass incomplete short right intended for Martellus Bennett,2.460,1.910
4,1:22,2,10,KAN 47,12,17,Jay Cutler pass complete short right to Cameron Meredith for 10 yards,1.910,3.120
4,1:16,1,10,KAN 37,12,17,Jay Cutler pass incomplete deep right intended for Martellus Bennett (defended by Tyvon Branch),3.120,2.570
4,1:10,2,10,KAN 37,12,17,Jay Cutler pass incomplete deep left intended for Marquess Wilson,2.570,1.880
4,1:03,3,10,KAN 37,12,17,"Jay Cutler pass incomplete deep right intended for Marquess Wilson. Penalty on Marcus Peters: Defensive Pass Interference, 24 yards (no play)",1.880,4.710
4,0:57,1,10,KAN 13,12,17,Jay Cutler pass complete short left to Martellus Bennett for 6 yards (tackle by Eric Berry),4.710,5.150
4,0:23,2,4,KAN 7,18,17,"Jay Cutler pass complete short left to Matt Forte for 7 yards. Jay Cutler fumbles, recovered by Jay Cutler at KAN-12, touchdown",5.150,7.000
4,0:23,2,,KAN 7,18,17,"Two Point Attempt: Jay Cutler pass incomplete intended for Matt Forte, conversion fails. Penalty on Charles Leno: Illegal Shift (Declined)",5.150,-1.000
4,,,,CHI 35,18,17,"Robbie Gould kicks off 70 yards, returned by De'Anthony Thomas for 19 yards. Penalty on LaRoy Reynolds: Face Mask (15 Yards), 15 yards",,
4,0:11,1,10,KAN 29,18,17,Alex Smith pass complete deep middle to Jeremy Maclin for 23 yards (tackle by Tracy Porter),0.870,0.870
4,0:06,1,10,KAN 29,18,17,Timeout #2 by Kansas City Chiefs,0.870,2.390
4,0:06,1,10,CHI 48,18,17,Alex Smith pass incomplete short right intended for Jeremy Maclin,2.390,2.390
4,0:02,1,10,CHI 48,18,17,Timeout #3 by Chicago Bears,2.390,1.850
4,0:02,2,10,CHI 48,18,17,Cairo Santos 66 yard field goal no good,1.850,2.590
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
